ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   National Treasury, Office of the Chief Justice, Office of the Public Service Commision, Planning, Monitoring and Evaluation, Public Enterprises",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 1:47:53 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
National Treasury,National Treasury,National,Programme 5: Financial Accounting and Supply Chain Management Systems,Programme 5: Financial Accounting and Supply Chain Management Systems,Quarterly,5.1.6 Implementation of the IFMS II plan,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"Readiness
Assessment for
system on-boarding
completed","Readiness
Assessment for
system on-boarding not completed
",Underperformance is attributed to the dependency on the procurement of a service provider and the consideration of the cloud solution through an RFI process. ,"Review of the RFI response is currently underway, the outcome of the evaluation will determine the procurement strategy for the IFMS. ",,,"e-Recruitment
module Systems
Configuration
at 4 selected
departments
completed",,,,,,"Training on
e-Recruitment
module
at 4 selected
departments
conducted",,,,,,"Roll-out of
e-Recruitment
module at
4 selected
departments

IFMS system
developed",,,,,,"Roll-out of
e-Recruitment
module at
4 selected
departments

IFMS system
developed",-,,,,,,,178
National Treasury,National Treasury,National,Programme 5: Financial Accounting and Supply Chain Management Systems,Programme 5: Financial Accounting and Supply Chain Management Systems,Quarterly,5.1.7 Number of quarterly compliance reports produced,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,1,1,N/A,N/A,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
National Treasury,National Treasury,National,Programme 5: Financial Accounting and Supply Chain Management Systems,Programme 5: Financial Accounting and Supply Chain Management Systems,Quarterly,5.1.8 Percentage of approved SCM directives,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,100 %,100 %,N/A,N/A,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,178
National Treasury,National Treasury,National,Programme 5: Financial Accounting and Supply Chain Management Systems,Programme 5: Financial Accounting and Supply Chain Management Systems,Quarterly,5.1.9 Number of progress reports on SCM institutional support programme conducted,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",1,1,N/A,N/A,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,178
National Treasury,National Treasury,National,Programme 6: International Financial Relations,Programme 6: International Financial Relations,Annually,6.1.2 Number of advocacy forums hosted for uptake of development finance,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,178
National Treasury,National Treasury,National,Programme 6: International Financial Relations,Programme 6: International Financial Relations,Annually,6.1.3 Number of country partnership framework progress reports produced,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,178
National Treasury,National Treasury,National,Programme 6: International Financial Relations,Programme 6: International Financial Relations,Annually,6.1.5 Number of analysis reports on the outcomes of South Africa’s engagements in regional and global forums produced,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,178
National Treasury,National Treasury,National,Programme 6: International Financial Relations,Programme 6: International Financial Relations,Quarterly,6.1.1 Percentage of economic surveillance reports responded to,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,100 %,100 %,N/A,N/A,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,178
National Treasury,National Treasury,National,Programme 6: International Financial Relations,Programme 6: International Financial Relations,Quarterly,6.1.4 Number of engagement strategies and priorities developed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",1,1,N/A,N/A,,,0,,,,,,0,,,,,,1,,,,,,2,1,,,,,,,178
National Treasury,National Treasury,National,Programme 6: International Financial Relations,Programme 6: International Financial Relations,Quarterly,6.1.6 Percentage of policy positions developed,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,N/A,N/A,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,178
National Treasury,National Treasury,National,"Programme 7: Civil and Military Pensions, Contributions to Funds and Other Benefits","Programme 7: Civil and Military Pensions, Contributions to Funds and Other Benefits",Annually,7.1.2 Percentage reduction of fraudulent claims,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,98 %,,,,,,,,178
