Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.4:Steve Biko Academic Hospital,Quarterly,Death in facility under 5 years (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",64,,129,,194,195,259,261,259,261,,,,,Less than 259,,,,,Target not achieved due to challenges with IPC because of overcrowding in the Neonatal Units; and high patient to nurse ratio,ICU and high care expansion; IPC trainings; motivate for more nursing staff,"Target not achieved due to illness such as Prematurity, Respiratory Failure, Nosocomial Sepsis, 
Prematurity/Extreme Low Birth Weight, Respiratory Distress Syndrome,  
Multiple organ failure, Jaundice and Perinatal asphyxia
","OPEN PICU/HC, non-formalised use of Ward 8 HCU/PICU has improved outcomes, organizational structure review by GDoH taking place, improve IPC measures, outbreak measures implemented (Ongoing) and focus on Cleaning of Unit and Equipment (Ongoing). Continue to highlight shortage of beds with authorities – Cluster meeting – Started in October 2024 and Awaiting Gauteng Neonatal Management Document to instruct on categories of Neonatal Care – Gestational age and weight",283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.4:Steve Biko Academic Hospital,Quarterly,Diarrhoea death under 5 years,Standardized,Max,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",3 %,0 %,3 %,5.3 %,3 %,2 %,3 %,,3 %,0 %,,,,,,Target achieved as there were no deaths reported during the reporting period,N/A,"Target not achieved due to Inadequate equipment not enough working infusion pumps to mane severe hypokalaemia successfully, delayed results from laboratory and lack of high care to manage patient","IExpedite transfers to SBAH, strengthen cluster support. 
Engage NHLS on turnaround times and other quality assurance matters. 
Bed re-allocation for establishment of more high care beds 
","Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",Training on inter-osseous lines and CVPs,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.4:Steve Biko Academic Hospital,Quarterly,Diarrhoea deaths under 5 years (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",1,,2,,3,,4,4,4,4,,,,,Less than 4,,,,,,,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.4:Steve Biko Academic Hospital,Quarterly,Maternal deaths in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",3,4,5,9,7,,10,,10,13,,,,,,Target not achieved due to late referrals including a large number of sick women from Mpumalanga. Lack of resources including staff and ICU beds,"Improved care in cluster, especially with hypertensive disorders in pregnancy","Target not achieved, because maternal deaths increased by 1% compared to Q1 2024/25 financial year ",Strengthen M&M Committee meetings,,,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.4:Steve Biko Academic Hospital,Quarterly,Maternal deaths in facility (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",1,,2,,4,22,6,21,6,21,,,,,Less than 6,,,,,"Target not achieved due to delays in referral of critically ill patients and conditions such as cardiac arrest, acute respiratory failure/HIV & AIDS, TTP, Acute Tubal necrosis, Liver rupture, cardiac arrest and acute respiratory failure, hypovolaemic shock, septic shock following abortion, multiorgan failure and septic shock following viable pregnanc",Cluster peer reviews and support,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.4:Steve Biko Academic Hospital,Quarterly,Patient safety incident (PSI) case closure rate,Non-Standardized,Average,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",75 %,62 %,75 %,61.9 %,75 %,92.2 %,75 %,76.6 %,75 %,62 %,,,,,,Target not achieved because cases are still under investigation. The cases are still to be discussed in PSI meetings and redress to be conducted to close the cases while observing the 60 days of closure.,"Enforce Management of PSIs according to PSI national guideline.
Conduct investigation immediately after PSIs are reported and conduct Ad-hoc meeting to close cases within the reported quarter whilst observing the 60 days closure rate
",Target not achieved due to late submission of closing reports from managers in the units contributed to the delay in closure of PSIs. PSI Meetings prioritized for overlapping PSIs from previous months to close within 60 days and PSIs are still under investigation observing the 60 days of closure.,"Enforce Management of PSIs according to PSI national guideline.
Conduct investigation immediately after PSIs are reported and conduct Ad-hoc meeting to close cases within the reporting quarter. To distribute compliance to al managers where PSIs occurred and QA unit to follow-up for timeous closure of PSIs.
",Target achieved because emails were sent to remind units that have outstanding PSIs to complete their investigations; and meetings were held to discuss and close PSIs,n/a,"Target achieved.
The investigations that are conducted immediately after the PSIs are reported for closure on the register.  
","N/A

",283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.4:Steve Biko Academic Hospital,Quarterly,Percentage of Hospitals with functional hospital boards,Non-Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,,,,,,Target achieved because the hospital had a functional hospital board,N/A,Target achieved because the hospital had a functional board,N/A,Target achieved because the hospital has a functional board,n/a,Target achieved. Hospital boards were functional for this hospital.,N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.4:Steve Biko Academic Hospital,Quarterly,Pneumonia death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",2.9 %,2.6 %,2.9 %,4 %,2.9 %,,2.9 %,,2.9 %,0 %,,,,,,Target achieved because of the implementation of continued monitoring and follow-up of M&M committee meeting resolutions,"Continue strengthening M&M Committee meetings, outreach support to referring facilities  ","Target not achieved due to the low admission rates. Patient self-referred from Mpumalanga, possibly preventable if presented earlier at local facility, private GP did not refer early for access to health care and late presentation of patients","Strengthen Cluster support.
Continuous health education and health promotion

Lack of high care to manage patient before decompensation.

Engage private General Practitioners (GPs) on referral matters in the cluster
",,,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.4:Steve Biko Academic Hospital,Quarterly,Pneumonia death under 5 years (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",7,,14,,21,,28,5,28,5,,,,,Less than 28,,,,,,,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.4:Steve Biko Academic Hospital,Quarterly,Severe Acute Malnutrition (SAM) death under 5 years,Standardized,Max,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",3.8 %,0 %,3.8 %,0 %,3.8 %,,3.8 %,,3.8 %,0 %,,,,,,Target achieved as there were no deaths reported during the reporting period,N/A,Target achieved. Allocation of IMCI trained clinicians in Child Health rooms and mentoring of IMCI trained clinicians on the implementation of guidelines,Continue mentoring and support to IMCI clinicians,,,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.4:Steve Biko Academic Hospital,Quarterly,Severe acute malnutrition (SAM) death under five years (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",10,,2,,5,0,7,0,8,0,,,,,Less than 8,,,,,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",Continue mentoring and support to IMCI clinicians,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.4:Steve Biko Academic Hospital,Quarterly,Severity assessment code (SAC) 1 Incident reported within 24 hours rate,Standardized,Average,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",95 %,88 %,95 %,100 %,95 %,76.9 %,95 %,96 %,95 %,188 %,,,,,,"Target not achieved due to delayed reporting to QA office from units, some cases were hospital associated Infections that the staff did not know that it was SAC 1 and one case was a capturing error",Enforce verifying of information after a case has been captured by another senior person.,Target achieved as all SAC 1 cases were reported within 24 hours due to timeous reporting of SAC 1 PSIs by managers,N/A,"Target not achieved due to six SAC1 cases reported late. Four were Health care Associated Infections (HAI) that were discovered and reported on time, but blood culture results were received 3 days later to verify the HAI; and two SAC1 cases were not reported on time as units were not aware of the PSIs.","Conduct PSI in-service training with focus on prioritisation of PSI and classification thereof.
Manage PSIs according to PSI national guideline that indicate the definition of PSI.
","Target overachieved due to
the investigations that are conducted immediately after the PSIs are reported for closure on the register.  
",N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5 Dr George Mukhari Academic Hospital,Annually,Cervical cancer screening,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,40 %,,40 %,,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5 Dr George Mukhari Academic Hospital,Annually,Ideal hospital status obtained rate ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,100 %,,100 %,,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5 Dr George Mukhari Academic Hospital,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,82 %,,82 %,,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5 Dr George Mukhari Academic Hospital,Annually,Patients experience of care satisfaction rate (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,90 %,90 %,90 %,90 %,,"Target achieved. The hospital achieved on four PEC domains: cleanliness, patient safety, staff values and attitudes, and waiting
times
",Facilities developed quality improvement plans (QIPs) that shall be monitored for progress,,90%,,,,,,,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Cervical cancer screening (Revised),Standardized,Max,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",61017,,61018,,61018,142,61017,224,244070,224,,,,,244070,,,,,Target not achieved due to poor provider initiation issues where there are less women offered the cervical cancer screening services.,Strengthen outreach programmes and identification of women that need to be screened,Target not achieved due to poor provider initiation. The screening was mostly done for high-risk patients.,The provider to strengthen outreach services identify both low and high-risk patients to ensure adequate screening for cervical cancer. ,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Complaints resolution within 25 working days rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",95.2 %,100 %,95.2 %,100 %,95.2 %,100 %,95.2 %,                100 %,95.2 %,400 %,,,,,,Target achieved due to timeous investigation of complaints and availability of complainants within the prescribed timelines for redress.,N/A,Target achieved due to timeous investigation of complaints and availability of complainants within the prescribed timelines for ,N/A,Target achieved due to timeous investigation of complaints and availability of complainants for redress meetings within the expected timeframe.,n/a,Target achieved due to timeous investigation of complaints.,N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Death in facility under 5 years ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",90,63,180,60,280,183,318,249,318,555,,,,,,Target achieved because of the implementation of continued monitoring and follow-up of M&M committee meeting resolutions,"Continue strengthening M&M Committee meetings, outreach support to referring facilities",Target achieved. Allocation of IMCI trained clinicians in Child Health rooms. Mentoring of IMCI trained clinicians on the implementation of guidelines,Continue mentoring and support to IMCI clinicians,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",Continue mentoring and support to IMCI clinicians,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Diarrhoea death under 5 years,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",1.8 %,0 %,1.8 %,0 %,1.8 %,,1.8 %,,1.8 %,0 %,,,,,,Target achieved because of the implementation of continued monitoring and follow-up of M&M committee meeting resolutions,"Continue strengthening M&M Committee meetings, outreach support to referring facilities",Target achieved. Allocation of IMCI trained clinicians in Child Health rooms and mentoring of IMCI trained clinicians on the implementation of guidelines,Continue mentoring and support to IMCI clinicians,,,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Diarrhoea deaths under 5 years (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",0,,1,,2,0,3,1,3,1,,,,,Less than 3,,,,,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",Continue mentoring and support to IMCI clinicians,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Maternal death in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",7,4,14,9,21,,30,,30,13,,,,,,Target achieved because of the implementation of continued monitoring and follow-up of M&M committee meeting resolutions,"Continue strengthening M&M Committee meetings, outreach support to referring facilities",Target achieved because of the implementation of continued monitoring and follow-up of M&M committee meeting resolutions,"Continue strengthening M&M Committee meetings, outreach support to referring facilities",,,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Maternal deaths in facility (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",5,,10,,15,15,20,17,20,17,,,,,Less than 20,,,,,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",Continue mentoring and support to IMCI clinicians,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Patient Safety Incident (PSI) case closure rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",95.3 %,97.9 %,95.3 %,98.7 %,95.3 %,98.7 %,95.3 %,100 %,95.3 %,0 %,,,,,,Target achieved as cases are discussed and closed within 60 days.,"Encourage continuous monitoring, PSI meetings discussions of reporting and capturing of SAC 1 PSIs.",Target achieved as cases are discussed and closed within 60 days.,"Encourage continuous monitoring, PSI meetings discussions of reporting and capturing of SAC 1 PSIs.",Target achieved because PSI investigations are done as soon as PSIs are reported. Cases are discussed and closed within 60 days.,n/a,Target achieved because investigations are conducted immediately after PSIs are reported for closure on the register.,"Encourage and support starting of investigation as soon as PSIs are reported.
Encourage PSI committee to convene meetings as scheduled and additional Adhoc meeting to close all PSIs within the reporting quarter. 
Encourage managing PSI according to PSI National guideline.
",283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Percentage of Hospitals with functional hospitals boards,Standardized,Max,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,0 %,100 %,100 %,100 %,100 %,100 %,100 %,,,,,,Target achieved because the hospital had a functional hospital board,N/A,"Target did not achieve The Hospital did not hold meetings or participate in board activities during the period because:
•	Number of confirmations from board members was low and did not form a quorum and the meeting could not be held. 
•	Board members have not been paid since their appointment. They have put on hold board activities until they are paid. 
","The department is in the process of:
•	Engaging the with the hospitals CEO to expedite boards payments.  
Appointing additional board members where there are vacancies so that the board can form a quorum.
",Target achieved because the hospital has a functional board,n/a,Target achieved. Hospital boards were functional for this hospital.,N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Pneumonia death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",1 %,0.58 %,1 %,5.4 %,1 %,,1 %,,1 %,0 %,,,,,,Target achieved because of the implementation of continued monitoring and follow-up of M&M committee meeting resolutions,"Continue strengthening M&M Committee meetings, outreach support to referring facilities",Target not achieved due to critical babies transferred in from referring facilities.,Use PIP from to identify red flag cases. In communication with medical and specialists from ODI and Jubilee hospital to improve clinical governance. DGMAH Paeds specialist allocated to do outreach to these facilities.,,,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Pneumonia death under 5 years (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",3,,5,,8,7,11,8,11,8,,,,,Less than 11,,,,,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",Continue mentoring and support to IMCI clinicians,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Severe acute malnutrition (SAM) death under five years (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",1,,2,,3,2,4,2,4,2,,,,,Less than 4,,,,,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",Continue mentoring and support to IMCI clinicians,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Severe Acute Malnutrition (SAM) deaths under 5 years,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",5,0,5,0,5,,5,,5,0,,,,,,Target achieved because of the implementation of continued monitoring and follow-up of M&M committee meeting resolutions,"Continue strengthening M&M Committee meetings, outreach support to referring facilities",Target achieved. Allocation of IMCI trained clinicians in Child Health rooms and mentoring of IMCI trained clinicians on the implementation of guidelines,Continue mentoring and support to IMCI clinicians,,,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.5: Dr George Mukhari Academic Hospital,Quarterly,Severity assessment code (SAC) 1 incident reported within 24 hours rate,Standardized,Average,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",95 %,100 %,95 %,100 %,95 %,100 %,95 %,100 %,95 %,100 %,,,,,,Target achieved as all SAC 1 cases were reported within 24 hours due to timeous reporting of SAC 1 PSIs by managers,N/A,Target achieved because all SAC 1 cases were reported within 24 hours due to timeous reporting of SAC 1 PSIs by managers.,"Encourage continuous monitoring, reporting, and capturing of SAC 1 PSIs",Target achieved because all SAC 1 cases were reported within 24 hours due to timeous reporting of SAC 1 PSIs by managers.,n/a,Target achieved because all SAC1 cases were reported within 24 hours this was due to completing SAC1 Notification forms and submitting to the managers before the end of shift,Encourage and support continuous monitoring of reporting and capturing of SAC 1 PSIs.,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.6: Tertiary Hospital,Quarterly,Cervical cancer screening (Revised),Standardized,Max,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",61017,,61018,,61018,310,61017,344,244070,344,,,,,244070,,,,,Target not achieved due to poor provider initiation issues where there are less women offered the cervical cancer screening services.,Strengthen outreach programmes and identification of women that need to be screened,Target not achieved due to poor provider initiation. The screening was mostly done for high-risk patients.,The provider to strengthen outreach services identify both low and high-risk patients to ensure adequate screening for cervical cancer. ,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.6: Tertiary Hospital,Quarterly,Complaint resolution within 25 working days rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",95 %,87.8 %,95 %,84.6 %,95 %,87.7 %,95 %,80.7 %,95 %,0 %,,,,,,"Target not achieved due to delays by the units (Managers) to investigate, redress and submit reports to QA office",Workshop was conducted by Provincial QA Customer Care section in collaboration with PSI Section on Complaints management on 20/06/2024 for Tembisa hospital managers.,Target not achieved due to delays in receiving reports from affected departments leading to delays in investigations and resolving complaints; and delays in investigations delayed resolving complaints timely,Conduct weekly follow-up with the units regarding outstanding complaints and keep track.,Target not achieved due to complainant’s inability to attend the redress meeting and complainant failed to honour redress meeting appointment,Enforcement letter shall be written to the CEO regarding outstanding complaints that are long overdue.,"Target not achieved because no handover of complaints to acting managers by managers going on leave and delayed submission of reports by unit managers after they have conducted redress meetings.
Unavailability of complainants for redress meetings, either out of the province or country leading to delays in closing the complaints.
","-Proof of handover of complaints by the manager going on leave.
-Conduct weekly follow-up of all outstanding complaints with unit managers and keep proof.
-Consider conducting telephonic redress meetings with complainants that are unable to come to hospitals or send outcome reports as per guideline.
",283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.6: Tertiary Hospital,Quarterly,Death in facility under 5 years ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",132,130,132,122,132,,132,,528,252,,,,,,Target achieved because of the implementation of continued monitoring and follow-up of M&M committee meeting resolutions,"Continue strengthening M&M Committee meetings, outreach support to referring facilities",Target achieved. Allocation of IMCI trained clinicians in Child Health rooms Mentoring of IMCI trained clinicians on the implementation of guidelines,Continue mentoring and support to IMCI clinicians,,,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.6: Tertiary Hospital,Quarterly,Death in facility under 5 years (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",132,,264,,396,434,528,460,528,460,,,,,Less than 528,,,,,"Target not achieved due to illness such as Prematurity, Respiratory Failure, Nosocomial Sepsis, 
Prematurity/Extreme Low Birth Weight, Respiratory Distress Syndrome,  
Multiple organ failure, Jaundice and Perinatal asphyxia
","OPEN PICU/HC, non-formalised use of Ward 8 HCU/PICU has improved outcomes, organizational structure review by GDoH taking place, improve IPC measures, outbreak measures implemented (Ongoing) and focus on Cleaning of Unit and Equipment (Ongoing). Continue to highlight shortage of beds with authorities – Cluster meeting – Started in October 2024 and Awaiting Gauteng Neonatal Management Document to instruct on categories of Neonatal Care – Gestational age and weight","Target achieved this was due prompt and responsive transfer of potential PICU patients to other hospitals
Infection, prevention and control measures implemented and adhered to. Medical equipment’s from the Neonatal and paediatric units/wards are clean and monitored
",N/A,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.6: Tertiary Hospital,Quarterly,Diarrhoea death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",2.4 %,3.4 %,2.4 %,0 %,2.4 %,,2.4 %,,2.4 %,0 %,,,,,,Target not achieved because two cases were treated with poor prognostic features: One patient with Severe Acute Malnutrition and Diarrhoea and one with Diarrhoea and Hypovolemic Shock) ,"Continue management protocols, intern training and orientation every 3 months. Provide nursing staff to open PICU and outreach visits to Pretoria West Hospital and Laudium CHC (1/month).",Target achieved. Allocation of IMCI trained clinicians in Child Health rooms and mentoring of IMCI trained clinicians on the implementation of guidelines,Continue mentoring and support to IMCI clinicians,,,,,283
Health,Health,Gauteng,Programme 5: Central Hospital Services,Sub-programme 5.6: Tertiary Hospital,Quarterly,Diarrhoea deaths under 5 years (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",3,,5,,8,4,12,5,12,5,,,,,Less than 12,,,,,"Target achieved because of improved training and management of emergencies at PHC, allocation of IMCI trained clinicians in the Child Health rooms, quarterly training on IMCI Community Component and continuous training and mentoring on IMCI",Continue mentoring and support to IMCI clinicians,"Target achieved, Management protocols for diarrhoea patients is in place
Interns are trained and orientated every 3 months
Outreach visits to Pretoria West Hospital and Laudium CHC (1/month)
",N/A,283
