Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q2,OTP_Q3,National_Q1,National_Q2,National_Q3,National_Q4,UID
,Cooperative Governance,Limpopo,Programme 2: Local Governance,"Sub Programme 2.5: Municipal Performance Monitoring, Reporting and Evaluation",Annually,"Number of Section 47 Reports compiled as prescribed by the MSA (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,,1,1,,N/A,N/A,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,"Sub Programme 2.5: Municipal Performance Monitoring, Reporting and Evaluation",Quarterly,"Number of municipalities supported to institutionalize the performance management system (PMS) (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",22,22,22,22,22,22,22,22,Achieved ,22,88,,,,,None,N/A,target met ,N/A,N/A,None,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.1.	Spatial Planning,Annually,"Number of Districts/ Metros monitored on the implementation One Plans (MTSF 2019 – 2024, Priority 5: Spatial integration, human settlements and local government)",Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,Governance and Administration cluster,,,,,,,5,5,,5,5,,N/A,N/A,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.1.	Spatial Planning,Quarterly,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,Cumulative indicator ,,-,,,,,,,default ,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.2.	Land Use Management ,Annually,3.4.3.	Number of municipalities supported with implementation of SDFs in line with SPLUMA ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",6. Spatial transformation for integrated socioeconomic development (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,27,27,,27,27,,N/A,N/A,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.2.	Land Use Management ,Annually,3.4.4.	Number of municipalities supported with demarcation of sites,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",6. Spatial transformation for integrated socioeconomic development (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,22,22,,22,22,,N/A,N/A,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.2.	Land Use Management ,Annually,3.4.5.	Number of municipalities supported with implementation of LUS,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",6. Spatial transformation for integrated socioeconomic development (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,22,22,,22,22,,N/A,N/A,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.2.	Land Use Management ,Annually,3.4.6.	Number of municipalities supported with the Implementation of SPLUMA ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",6. Spatial transformation for integrated socioeconomic development (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,22,22,,22,22,,N/A,N/A,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.2.	Land Use Management ,Annually,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 3: Development and Planning,Sub Programme 3.2.	Land Use Management ,Quarterly,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,Cumulative indicator ,,-,,,,,,,default,,,,,,,,,,,,,185
