Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q2,OTP_Q3,National_Q1,National_Q2,National_Q3,National_Q4,UID
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 4:  Veterinary Services,Sub Programme 4.1:	Animal Health,Quarterly,Number of samples collected for targeted animal disease surveillance,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1258,1150,1258,644,1258,2069,1258,2219,Done,5032,6082,6082,More samples were to collected to prove the absence of FMD in the Disease Management Area (DMA),,,Less samples collected as some areas were not serviced due to vacancies within the program,Continue motivating the necessity of filling all vacant posts,,Less sample collected as some areas are not serviced due to vacancies in areas targeted for surveillance ,Continue motivating the necessity for filing all vacant post,The operation of lifting the Foot and Mouth Disease Management Area (DMA) is a requirement to reduce or remove the restrictions declared through the gazette No 2075 of 22 May 2022 that prevent the movement 0f animals and animal products from Thulamela and Collins Chabane FMD outbreak area diptanks. The absence of FMD must be proven through targeted sero-surveillancethatincludes the collection of samples from cattle. A total 30  samples from 35 diptanks were  collected. Therefore more samples collected due to operation to lift the FMD DMA, Continue to collect samples for targeted disease surveillance in order to complete task of having FMD (DMA) in Limpopo lifted,More samples were collected to prove the absence of FMD in the Disease Management Area (DMA),None,achieved,Achieved,Noted,None,Noted,None,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 4:  Veterinary Services,Sub Programme 4.1:	Animal Health,Quarterly,Number of visits to epidemiological units for veterinary interventions,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1800,3069,2000,3329,2100,2473,2100,3013,Donell,8000,11884,11884,Monitoring for possible disease outbreaks throughout the Province is continuous conducted,,,More units visited due to continuous monitoring for possible disease outbreaks throughout the Province,Continue to do visits to epidemiological units as per inspection programs and as and when requested by clients,,More units visited due to continuous monitoring for possible disease outbreaks throughout the Province,Continue to do visits to epidemiological units as per inspection programs and as and when requested by clients,"
More units visited due to continuous monitoring for possible disease outbreaks throughout the Province. The program also held a campaign in preparation of lifting the Disease Management Area in Vhembe






",Continue to do visits to epidemiological units as per inspection programs and as and when requested by clients,Monitoring for possible disease outbreaks throughout the Province is continuous conducted,None,achieved,Achieved,Noted,noted ,Noted,None,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 4:  Veterinary Services,Sub Programme 4.2: Veterinary International Trade Facilitation,Annually,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 4:  Veterinary Services,Sub Programme 4.2: Veterinary International Trade Facilitation,Quarterly,Number of veterinary certificates issued for export facilitation,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",200,427,250,307,325,550,225,284,,1000,1568,1568,More certificates were issued due to increased export of hunting trophies and the opening of export markets to the Middle East and China,,,More certificates issued due to increased export of hunting trophies and the opening of export markets to the Middle East and China,Continue to issue veterinary health certificates for export facilitation upon clients requests,,More certificates issued due to increased export of hunting trophies and the opening of export markets to the Middle East and China,Continue to issue veterinary health certificates for export facilitation upon clients requests,More certificates issued due to increased export of hunting trophies and the opening of export markets to the Middle East and China,Continue to issue veterinary health certificates for export facilitation upon clients requests,More certificates were issued due to increased export of hunting trophies and the opening of export markets to the Middle East and China,None,achieved,Achieved,Figure to be revised to 428 as per POEs validated during oversight visit.,noted,Noted,None,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 4:  Veterinary Services,Sub Programme 4.3: Veterinary Public Health,Annually,Average percentage of compliance of all operating abattoirs in the Province to the meat safety legislation,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,60 %,76.15 %,,60 %,76.15 %,76,Continuous extension services to abattoir owners/workers led to higher compliance.,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 4:  Veterinary Services,Sub Programme 4.3: Veterinary Public Health,Annually,default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 4:  Veterinary Services,Sub Programme 4.3: Veterinary Public Health,Quarterly,Number of inspections conducted on facilities producing meat,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",115,115,115,121,115,126,115,127,,460,489,489,"As a result of non-conformance of the registered abattoirs, follow up visits had to be undertaken to ensure",,,None,None,,Additional inspections were conducted at registered abattoirs in order to increase compliance to the meat safety act.,Continue with inspections on facilities processing meat to ensure standards are maintained,Additional inspections were conducted at registered abattoirs in order to increase compliance to the meat safety act.,Continue with inspections on facilities processing meat to ensure standards are maintained,"As a result of non-conformance of the registered abattoirs, follow up visits had to be undertaken to ensure compliance in order to increase compliance to the meat safety act.",None,achieved, Achieved,Noted,noted,Noted,None,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 4:  Veterinary Services,Sub Programme 4.4: Veterinary Diagnostics Services,Annually,Default ,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 4:  Veterinary Services,Sub Programme 4.4: Veterinary Diagnostics Services,Quarterly,Number of laboratory tests performed according to approved standards,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",9000,10230,9000,10011,6000,6808,9000,9 019,Not achieved,33000,36068,36068,"Wet weather conditions caused various sicknesses in animals, resulting in increased sample submission.",,,More tests performed as there were an increase in buffalo movements and Brucella sampling,Continue to perform laboratory tests on samples received from internal and external clients,,More tests performed as there were an increase in buffalo movements and Brucella sampling,Continue to perform laboratory tests on samples received from internal and external clients,More tests performed as there were an increase in buffalo movements and Brucellosis sampling,Continue to perform laboratory tests on samples received from internal and external clients,"Wet weather conditions caused various sicknesses in animals, resulting
in increased sample submission.",None,achieved,,The reason for the deviation is noted.,noted.,Noted,None,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 4:  Veterinary Services,Sub Programme 4.5: Veterinary Technical Support Services,Annually,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 4:  Veterinary Services,Sub Programme 4.5: Veterinary Technical Support Services,Quarterly,Number of Performing Animals Protection Act (PAPA) registration licences issued,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",4,4,2,6,2,5,2,6,Not Achieved,10,21,21,More requests for registrations of PAPA facilities were received than anticipated.,,,None,None,,More requests for registrations of PAPA facilities were received than anticipated.,Continue to issue PAPA registrations licenses upon requests by clients., More responses are as a results of the intensified campaign by LDARD to ensure compliance by facilities keeping animals for performance or work.,Continue to issue PAPA registrations licenses upon requests by clients.,More requests for registrations of PAPA facilities were received than anticipated. ,None,achieved, Achieved,Noted,None,Noted,None,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 5:	Research and Technology Development Services,Sub Programme 5.1: Agricultural Research,Annually,Number of research projects implemented to improve agricultural production,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,12,21,,12,21,21,"Continuous collaborative research with various institutions led to over achievements, viz ARC, University of Limpopo, University of Venda

",,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 5:	Research and Technology Development Services,Sub Programme 5.1: Agricultural Research,Quarterly,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Annually,Number of new technologies developed for the smallholder producers,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,,1,1,1,None,None,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Annually,Number of scientific papers published,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,6,15,,6,15,15,"Due to the improved quality of the submitted scientific papers, a greater number of papers where approved and published.   ",None,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Quarterly,Number of demonstration trials conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",2,4,2,2,2,5,1,1,Done,7,12,12,More demonstration trials conducted due to high demand for technical interventions for improved productivity,,,More demonstrations trials conducted due to high demand for technical interventions for improved productivity,Continue to work together with district officials to improve farmers productivity,,None,None,There was a high demand for technical interventions for improved productivity.,Continue to work together with district Officials to improve farmers productivity.,None,None,achieved, Achieved,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Quarterly,Number of research presentations made at peer reviewed events,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,4,25,0,0,4,10,N¨ot Achieved,8,35,35,More abstracts where accepted due to their relevance to address challenges in the agricultural sector.,,,None,None,,"No control over acceptance of submitted abstracts at SASAS, SASAE, IPUF and GSSA
Collaborative research with other stakeholders.
",Continuing to uphold high standards in quality work for abstract submission and fostering collaborative research.,None,None,No control over acceptance of abstracts at combined congress,"
None",achieved,,None,None,None,None,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Quarterly,Number of research presentations made at technology transfer events,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",2,8,4,23,4,14,2,1,Not achieved,12,46,46,More requests were submitted by the farmers and other partners.,,,Demand driven and more requests submitted by farmers and other partners,Continue to accept invitations and assist farmers and of stakeholders,,"More request submitted by  farmers and other partners.
Invitation by other stakeholders to participate.

","Continue to accept the invitations.
Providing on going assistance to farmers and other stakeholders.
","More invitation requests for participation were submitted by the farmers and other stakeholders (external bodies) i.e farmers research councils/centres. Schools, institutions of higher learning, seed and production input companies, industry leaders and district offices","Continue to accept the invitations.
Providing on-going assistance to farmers and other stakeholders. 

",Annual target already achieved in previous quarters,None,achieved, Achieved,None,None,Noted,None,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 5:	Research and Technology Development Services,Sub Programme 5.3: Research Infrastructure Support Services,Annually,Number of research infrastructure managed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,2,,2,2,2,None,None,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 5:	Research and Technology Development Services,Sub Programme 5.3: Research Infrastructure Support Services,Quarterly,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Annually,Number of agri-business supported with Black Economic Empowerment advisory services,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,2,,2,2,2,None,None,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Quarterly,Number of agribusinesses supported with Black Economic Empowerment advisory services,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,0,0,0,2,2,Achieved,2,2,2,None,,,None,None,,None,None,None,None,None,None,,,,None,None,The PDA should provide a reason for not reporting on the planned target ,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Quarterly,Number of agri-businesses supported with marketing services,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",40,46,40,50,40,43,40,41,Achieved,160,180,180,More requests regarding business plans development for CASP funding applications and SAGAP audits were received  ,,,"Agribusiness within the agricultural value chain were supported with market access, which in turn necessitated more farm audits to be conducted",Agricultural economics will continue to explore new markets opportunities to support agribusinesses with marketing services,,"Agribusinesses within the agricultural value chain were supported with market access, which in turn necessitated more farm audits to be conducted.",Agricultural economists will continue to explore new markets opportunities to support agribusinesses with marketing services.,Additional three agribusinesses requested farm audits to assist entry into markets,"Agricultural economists will continue to explore new markets opportunities to support agribusinesses with marketing services.
 
",Requests by farmers for SAGAP audits were attended to which contributed to the over achievement,None,achieved, Achieved,"Revise figure to 45, one POE rejected. Damela Training Development (OID1786)  was not counted due to lack portfolio of evidence",noted,Noted,The reason for deviation and the corrective action are noted,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Quarterly,Number of clients supported with production economic services,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",500,556,875,897,500,576,875,1121,Achieved,2750,3150,3150,Information sharing sessions attracted more farmers / agribusinesses than anticipated,,,Additional clients were supported with production economic services in developing business plans for CASP,Agricultural economists will continue to support agribusiness with production economic services,,Additional clients were supported with production economic services in developing business plans for CASP.,Agricultural economists will continue to support agribusinesses with production economic services,"Additional clients were supported with production economic services in developing business plans required by financial institutions




",  Agricultural economists will continue to support agribusinesses with production economic services,More information sharing sessions were conducted and attracted more farmers/ agribusinesses.,None,achieved, Achieved,Revise figure to 555 as per number of POEs presented during oversight visit.,None,Noted,The reason for deviation and the corrective action are noted,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 6: Agricultural Economic Services,Sub Programme 6.2: Agro-Processing Support,Annually,Number of agri-businesses supported with agro-processing initiatives,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,2,,2,2,2,None,None,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 6: Agricultural Economic Services,Sub Programme 6.2: Agro-Processing Support,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 6: Agricultural Economic Services,Sub Programme 6.3: Macroeconomics Support,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 6: Agricultural Economic Services,Sub Programme 6.3: Macroeconomics Support,Quarterly,Number of economic reports compiled,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",8,8,8,8,8,8,8,8,À chieved,32,32,32,None,None,,None,None,,None,None,None,None,None,None,achieved, Achieved,None,None,None,None,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 7: Agricultural Education and Training,Sub Programme 7.1: Higher Education and Training,Annually,Number of students graduated with agricultural qualification,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,80,,,,,80,,84,Student who could not complete their qualification in the academic year graduated in 2025,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 7: Agricultural Education and Training,Sub Programme 7.1: Higher Education and Training,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 7: Agricultural Education and Training,Sub Programme 7.2: Agricultural Skills Development,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 7: Agricultural Education and Training,Sub Programme 7.2: Agricultural Skills Development,Quarterly,Number of participants trained in skills development programmes in the sector,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",100,83,150,235,150,150,100,92,Not a bieved,500,560,560,Additional training requests made by the  National Youth Development Agency (NYDA) and Mulambwane Communal Property Association.,,,Under achievement was caused by the delay of CASP Capacity Building trainings will be conducted in subsequent quarters,None,,Most of the training for Q1 deferred to Q2 based on unavailability of training venue due to construction.,None,None,None,Target reached in the third quarter ,None,achieved,Achieved,"The last part of the deviation should be the corrective action "" Capacity building training will be conducted in subsequent quarters"" ",Noted.,None,None,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,0,,0,,0,,,0,0,0,,,,0,0,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Quarterly,Number of Farm Assessments conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",10,13,10,10,10,11,10,10,Achieved,40,44,44,Service is delivered at the request from DALRRD. The Department received an extra request for a Farm Assessment,,,Directive from the   Department of Agriculture and Land Reform and Rural Development (DALRRD) to transfer State Land to lessees led to more Farm Assessments being conducted,None,,None,None,"Service is delivered at the request from DALRRD
During the Quarter under review LDARD received an extra request for a Farm Assessment
",None,None,None,achieved, Achieved,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Quarterly,Number of lease agreements facilitated,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",2,5,2,2,2,0,2,2,A hieved,8,9,9,"Emanating from the activity on Farm Assessments, more than the targeted for lease agreements were facilitated",,,"  Emanating from the activity on Farm Assessments, more than targeted for lease agreements were facilitated ",None,,None,None,Process to facilitate two lease agreements was not concluded due to the unavailability    both signatory parties ,Signing of the lease agreements by both parties scheduled for Quarter 4,None,None,achieved,not Achieved,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 8: Rural Development ,Sub Programme 8.2: Social Facilitation ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 8: Rural Development ,Sub Programme 8.2: Social Facilitation ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,185
"Agriculture, Forestry and Fisheries",Agriculture,Limpopo,Programme 8: Rural Development ,Sub Programme 8.2: Social Facilitation ,Quarterly,Number of stakeholder engagements established for post settlement support,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",4,4,4,5,4,4,2,2,À chieved,14,15,15,"Department responded to a request from a farmer due to conflict amongst beneficiaries

",,,None,None,,Request from farmers due to conflicts amongst beneficiaries,None as is request driven,None,None,None,None,achieved,Achieved,,,,,185
