Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q2,National_Q3,National_Q4,UID
Police, Safety and Liaison,Limpopo,Programme 1: Administration,Sub-Programme 1.6: Security,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 1: Administration,Sub-Programme 1.6: Security,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.1: Programme Support,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.1: Programme Support,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.2: Policy and Research ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.2: Policy and Research ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.3: Monitoring and Evaluation,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.4: Safety Promotion,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Police, Safety and Liaison,Limpopo,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Public Works,Public Works,Limpopo,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Annually,Percentage compliance to average vacancy rate on filing of posts.,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,1. Transform the public service for effective and efficient service delivery (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,10%,8.6%,10%,8.6%,"4,82%",None,None,,,,,,,,,,,,,,,,,,154
Public Works,Public Works,Limpopo,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Quarterly,Estimated amount of revenue collected,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,Transform public service for effective and efficient service delivery,"The Economic Sectors, Employment and Infrastructure Development cluster",R 9 200,"R11,874",R 10 210,R13 925 ,R 12 210,"
R 103 433",R 10 221,R 12 062 mil,R 41 841,-,R137 810 mil,the over achievement is due to improvement in the implementation of 2024/25 revenue approved tariffs. ,None,,"- The  overachieved due to the reimbursements by departments in shared buildings for previous year’s expenditure incurred during the 2023/24 financial year.
-The department has also received arrears payments for office rental from SASSA and SARS
","To adjust the revenue target during the 2024/25 adjustment period.

",target met ,None,None,target achieved ,The department over achieved due to surrender of unspent funds by RAL,None,target achieved ,The over achievement is due to improvement in the implementation of 2024/25 revenue approved tariffs,None,target not achieved ,,,,,154
