Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,DesiredPerformance,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q2,CorrectiveAction_Q2,UID
Tourism,Tourism,National,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,Quarterly,Output Indicator 2 - Number of Domestic Tourism Awareness campaigns implemented,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,"• Concept document for the implementation of the four Domestic Tourism Awareness campaigns developed.
• Social Tourism campaign Implemented.",,,,Sports Tourism Campaign implemented.,"Sports Tourism Campaign was implemented  on 27-28 September 2024 in Northern Cape Province, Kimberley.
",Festive Tourism campaign Implemented.,"Festive Tourism campaign was implemented on November 2024 in North West, Moruleng Village.",None,N/A,Easter campaign Implemented.,"Easter campaign was implemented on 4-5 March 2025, Hekpoort Mogale City Local Municipality, Gauteng Province.",None,N/A,"Four Domestic Tourism Awareness Campaigns implemented:

• Social Tourism
• Sports Tourism
• Festive Season
• Easter Season.",-,"Four domestic tourism campaigns were implemented as follows:
•	Social Tourism - 13 to 14 June 2024 in Eastern Cape, Mthatha.
•	Sports Tourism - 27 to 28 September 2024 in Northern Cape, Kimberley.
•	Festive Season - 5 to 6 November 2024 in North West, Moruleng Village.
•	Easter Season - 4 to 5 March 2025 in Hekpoort, Mogale City Local Municipality, Gauteng Province.
",None,N/A,,None,N/A,300
Tourism,Tourism,National,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,Quarterly,Output Indicator 3 - Number of initiatives implemented to support tourism SMMEs - 150 SMMEs supported with compliance and resilience support ,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,"Demand analysis for support required.
",Demand analysis for support required done.,None,N/A,"Matching with SMMEs 
and contracting.
","Matching with SMMEs 
and contracting not conducted.
","Implementation of compliance and resilience support provided to 150 SMMEs.
","Compliance and resilience support was provided to 155 SMMEs.
","The Tourism Incentive Programme database used had an overall declines of 252 businesses. Activities carried out included all of them, an overwhelming response of 155 was received from SMMEs.
",N/A,"Compliance and resilience support provided to 150 SMMEs and annual report developed.
",Compliance and resilience support was provided to 55 SMMEs and annual report developed.,,,"2. 150 SMMEs supported with compliance and resilience support
",-,"155 SMMEs were provided with compliance and resilience support.
",,,,SMMEs not matched due to pending appointment of business advisors/ service providers.,Bid advertisement and appointment of service providers to be finalised in quarter 3.,300
Tourism,Tourism,National,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,Quarterly,Output Indicator 3 - Number of initiatives implemented to support tourism SMMEs - Business Incubation programme implemented,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,"Business Support and Development Incubation Programme implemented through:

•	Community-based Tourism Enterprises Incubator.

•	Business Advisory Services focusing on Women in Tourism in Limpopo implemented.
•	Business Advisory Services focusing on Homestay Pilot Programme implemented in Eastern Cape.
","Business Support and Development Incubation Programme partially implemented through:

•	Community-based tourism enterprises Incubator.
•	Business Advisory Services focusing on Women in Tourism in Limpopo implemented.
•	Business Advisory Services focusing on Homestay Pilot Programme implemented in Eastern Cape.
",Project deliverables delayed due to notice of breach of agreement: unsatisfactory performance by implementer (service provider) in respect of the Community-Based Tourism Enterprise Incubation Programme issued.,"Re-negotiations of the Service Level Agreement timeframes and deliverables to be made.
","Business Support and Development Incubation Programme implemented through:

•	Community-based Tourism Enterprises Incubator.

•	Business Advisory Services focusing on Women in Tourism in Limpopo implemented.
•	Business Advisory Services focusing on Homestay Pilot Programme implemented in Eastern Cape.
","Business Support and Development Incubation Programme partially implemented through:
•	Community-based tourism enterprises Incubator.
•	Business Advisory Services focusing on Women in Tourism in Limpopo implemented.
•	Business Advisory Services focusing on Homestay Pilot Programme implemented in Eastern Cape.","Business Support and Development Incubation Programme implemented through:

•	Community-based Tourism Enterprises Incubator.

•	Business Advisory Services focusing on Women in Tourism in Limpopo implemented.
•	Business Advisory Services focusing on Homestay Pilot Programme implemented in Eastern Cape.
","Business Support and Development Incubation Programme was implemented through:

• Community-based tourism enterprises Incubator.
• Business Advisory Services focusing on Women in Tourism in Limpopo.
• Business Advisory Services focusing on Homestay Pilot Programme in Eastern Cape.",Non,N/A,"Business Support and Development Incubation Programme implemented through:

•	Community-based Tourism Enterprises Incubator.

•	Business Advisory Services focusing on Women in Tourism in Limpopo implemented.
•	Business Advisory Services focusing on Homestay Pilot Programme implemented in Eastern Cape.
","Business Support and Development Incubation Programme was implemented through:

•Community-based tourism enterprises Incubator.
•Business Advisory Services focusing on Women in Tourism in Limpopo implemented.

•Business Advisory Services focusing on Homestay Pilot Programme implemented in Eastern Cape.",None,N/A,"1. Business Incubation programme implemented:

i.	Community-based Tourism Enterprises Incubator

ii.	Business Advisory Services focusing on Women in Tourism in Limpopo

iii.	Business Advisory Services focusing on Homestay Pilot Programme in Eastern Cape.
",-,"Business Incubation Programme was implemented: 

i.	Community-based Tourism Enterprises Incubator.

ii.	Business Advisory Services focusing on Women in Tourism in Limpopo.

iii.	Business Advisory Services focusing on the Homestay Pilot Programme in Eastern Cape.
",None,N/A,,"Recovery implementation plan submitted by service provider signed and under implementation. Year 2 of the programme will only start in January 2025.
None
None
","Recovery Plan developed and signed. Amendment of SLA ending December 2024 being processed to allow for year 2 of the programme to commence in January 2025.
N/A
N/A
",300
Tourism,Tourism,National,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,Quarterly,Output Indicator 3 - Number of initiatives implemented to support tourism SMMEs - Resource Efficiency Cleaner Production (RECP) Training and Business Support Programme implemented,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,"RECP Training and Business Support Programme implemented.
",RECP Training and Business Support Programme implemented.,None,N/A,"RECP Training and Business Support Programme implemented.
",RECP Training and Business Support Programme was implemented.,"RECP Training and Business Support Programme implemented.
",RECP Training and Business Support Programme was implemented.,None,N/A,"RECP Training and Business Support Programme implemented and annual report developed.
",RECP Training and Business Support Programme was implemented.,None,N/A,"3. Resource Efficiency Cleaner Production (RECP) Training and Business Support Programme implemented
",-,"RECP Training and Business Support Programme was implemented.
",None,N/A,,None,N/A,300
Tourism,Tourism,National,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,Quarterly,Output Indicator 4 - Number of programmes implemented to enhance visitor service and experiences - Implement Service Excellence Standard (SANS 1197) with focus on Small towns and Tourism product support,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,"Stakeholder consultation with the Provincial Tourism Office, Municipality and Tourism Stakeholders.
","Stakeholder consultation with the Provincial Tourism Office, Municipality and Tourism Stakeholders conducted.",None,N/A,"Capacity building Provincial Tourism Office, Municipality, and Tourism Stakeholders conducted.
","Capacity building Provincial Tourism Office, Municipality, and Tourism Stakeholders was conducted as follows:
• Mthatha: 6, 7 and 8 August 2024;
• Komani: 13, 14 and 15 August 2024.
","Service Excellence. needs analysis and assessment conducted for tourism service providers and municipality. 
","Service Excellence needs analysis and assessment for tourism service providers and municipality were conducted on 11-15 November 2024 in Mthatha and Queenstown.
",Mone,N/A,"Report on the implementation of the Service Excellence Standard (SANS:1197) focusing on Small Towns and Tourism product support.
",Report on the implementation of the Service Excellence Standard (SANS:1197) focusing on Small Towns and Tourism product support was developed.,None,N/A,"Implementation of Service Excellence Standard (SANS: 1197) with a focus on:

• Small Towns
• Tourism product support.

",-,"Service Excellence Standard (SANS 1197) was implemented with focus on:
•	Small towns and
•	Tourism product support.
",None,N/A,,None,N/A,300
Tourism,Tourism,National,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,Quarterly,Output Indicator 4 - Number of programmes implemented to enhance visitor service and experiences - Implementation of the Tourism Monitors Programme in all provinces,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,"Report on the implementation of the Tourism Monitors Programme, including entities, developed.
","Report on the implementation of the Tourism Monitors Programme, including entities, developed.",None,N/A,"Report on the implementation of the Tourism Monitors Programme, including entities, developed.
","Report on the implementation of the Tourism Monitors Programme, including entities, was developed.","Report on the implementation of the Tourism Monitors Programme, including entities, developed.
","Report on the implementation of the Tourism Monitors Programme, including entities, was developed.",None,N/A,"Report on the implementation of the Tourism Monitors Programme including:

•	SANBI Gardens
•	iSimangaliso Wetland Park
•	ACSA Managed Airports
•	Ezemvelo Nature Reserve.
","Report was developed on the implementation of the Tourism Monitors Programme including:

• SANBI Gardens
• iSimangaliso Wetland Park
• ACSA Managed Airports
• Ezemvelo Nature Reserve",None,N/A,"Implementation of the Tourism Monitors Programme in all provinces including the following entities: 

• SANBI Gardens
•iSimangaliso Wetland Park
• ACSA Managed Airports
• Ezemvelo Nature Reserve.
",-,"The Tourism Monitors was implemented in all provinces including the following entities:
•	SANBI Gardens
•	iSimangaliso Wetland Park
•	ACSA managed Airports
•	Ezemvelo Nature Reserve
",None,N/A,,None,N/A,300
Tourism,Tourism,National,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,Quarterly,Output Indicator 4 - Number of programmes implemented to enhance visitor service and experiences - Joint tourist safety awareness sessions conducted,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,"• Joint tourist safety awareness sessions
conducted. 
• Report on the session developed.
","• Joint Tourist safety awareness session conducted on 13-14 June 2024 in Mthatha.
• Report on the session developed.
",None,N/A,"• Joint tourist safety awareness sessions
conducted. 
• Report on the session developed.
","• Joint tourist safety awareness sessions were conducted in Manguzi, KwaZulu-Natal on 22 August 2024.
• Report on the session was developed.
","• Joint tourist safety awareness sessions
conducted. 
• Report on the session developed.
","• Joint tourist safety awareness sessions were conducted in Sun City, North West Province on 5-7 November 2024.
• Report on the session was developed.
",None,N/A,"• Joint tourist safety awareness sessions
conducted. 
• Report on the joint tourist safety awareness sessions session developed.
 ","• Joint tourist safety awareness session was conducted in West Rand region of the Gauteng Province on 4 - 6 March 2025.
• Report on the joint tourist safety awareness sessions was developed.",None,N/A,"Joint tourist safety Campaigns sessions conducted.
",-,"Four Joint tourist safety awareness sessions were conducted as follows:
•	Eastern Cape - 13 to June 2024 in Mthatha;
•	KwaZulu-Natal - 20 to 22 August 2024 in Manguzi;
•	North West - 5 to 7 November 2024 in Sun City.
•	Gauteng - 4 to 6 March 2025 in Mogale City Local Municipality.
",None,N/A,,None,N/A,300
Tourism,Tourism,National,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,Quarterly,Output Indicator 5 - Number of capacity building programmes implemented - 250 SMMEs trained on norms and standards for safe tourism operations in all nine provinces,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,"Project plan for training of 250 SMMEs developed. 
",Project plan for the training of 250 SMMEs developed.,None,N/A,"Recruitment and selection of SMMEs undertaken.
",Recruitment and selection of SMMEs was undertaken.,"Training of 125 SMMEs on the norms and standards for safe tourism operations in five provinces.
","Training of 194 SMMEs on the norms and standards for safe tourism operations was undertaken in seven provinces.
","The target was overachieved for quarter 3 due to the availability and commitment received from all the provinces.
",N/A,"• Training of 125 SMMEs on the norms and standards for safe tourism operations in four provinces.
• Report compiled on the 250 SMMEs trained on norms and standards for safe tourism operations in all 9 provinces.
"," • Training of 125 SMMEs on the norms and standards for safe tourism operations in four provinces was undertaken.
• Report was compiled on the 250 SMMEs trained on norms and standards for safe tourism operations in all 9 provinces."," • Training of 194 SMMEs on the norms and standards for safe tourism operations 
in 7 provinces undertaken in quarter 3 due to the availability and commitment received from all the provinces . The training of 194 SMMEs in Q3 surpassed the target set of 125. An additional 80 SMMEs were trained in quarter 4 as part of the TSHRD & G target.

 • The  overall annual target of 250 SMMEs trained on norms and standard for safe tourism operations in all 9 province was exceed by 24 SMMEs and a total of 274 SMMEs were trained in all 9 provinces.  


",N/A,"2. 250 SMMEs trained on norms and standards for safe tourism operations in all nine provinces.
",-,"274 SMMEs were trained on norms and standards for safe tourism operations in all nine provinces.
",,N/A,,None,N/A,300
Tourism,Tourism,National,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,Quarterly,Output Indicator 5 - Number of capacity building programmes implemented - 2700 unemployed youth trained on norms and standards for safe tourism operations,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,"675 unemployed youth trained on norms and standards for safe tourism operations.
",,,,"675 unemployed youth trained on norms and standards for safe tourism operations.
","2800 unemployed youth trained on norms and standards for safe tourism operations.
","675 unemployed youth trained on norms and standards for safe tourism operations.
",2305 unemployed youth were trained on norms and standards for safe tourism operations.,The actual number (2305) surpassed the planned quarterly target of 675 for the period under review. This due to the Department responding to the Department of Employment and Labour programme on Massification of Skills Development and Job Creation Opportunities.,N/A,"• 675 unemployed youth trained on norms and standards for safe tourism operations.
• Annual report compiled for training of 2700 unemployed youth on norms and standards for safe tourism operations.
","•2305 unemployed youth were trained on norms and standards for safe tourism operations.

•Annual report was compiled for training of 2700 unemployed youth on norms and standards for safe tourism operations.","The actual number 2305 surpassed the planned quarterly target of 675 for the period under review. This due to the Department responding to the Department of Employment and Labour programme on Massification of Skills Development and Job Creation Opportunities by recruiting more learners.
",N/A,"1. 2700 unemployed youth trained on norms and standards for safe tourism operations.
",-,2800 unemployed youth were trained on norms and standards for safe tourism operations.,"The overachievement of the target was due to the response on the Massification of Skills Development and Job Creation initiative by the Ministry of Employment and Labour.
","N/A
",,"The overachievement of the target was due to the response on the Massification of Skills Development and Job Creation initiative and also the training of Tourism Safety Monitors on norms and standards for safe tourism operations.
",N/A,300
Tourism,Tourism,National,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,Quarterly,Output Indicator 5 - Number of capacity building programmes implemented - 450 unemployed youth trained on identified skills development programmes,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,"Training delivery and placement of 240 unemployed youth with the host employers.
",,,,"Training delivery and placement of 210 unemployed youth with the host employers.
",495 unemployed youth was trained and placed with the host employers.,"Develop Concept Document for the new skills development programmes.
","Concept Document for the new skills development programmes was developed.
",None,N/A,"• Concept Document for the evaluation of skills development programmes approved.
• Annual report compiled for training and placement of 450 unemployed youth on various skills development programmes.
","• Concept Document for the evaluation of skills development 
programmes was approved.
• Annual report was compiled for training and placement of 450 unemployed youth on various skills development programmes.
","The actual number 495 surpassed the planned annual target of 450 for the period under review. This due to the Department responding to the Department of Employment and Labour programme on Massification of Skills Development and Job Creation Opportunities by recruiting more learners.
",N/A,"5. 450 unemployed youth trained on various skills development programmes.
",-,"495 unemployed youth were trained on identified skills development programmes.

The youth were enrolled on the following programmes: 
•	Food and Beverage Training.
•	Professional Cookery.
•	Food Safety Quality Assurers.
","The overachievement can be attributed to the Department responding to the Massification of Skills Development and Job Creation initiative by the Ministry of Employment and Labour.
",N/A,,The overachievement can be attributed to the Department responding to the Massification of Skills Development and Job Creation initiative by the Ministry of Employment and Labour.,N/A,300
Tourism,Tourism,National,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,Quarterly,Output Indicator 5 - Number of capacity building programmes implemented - 50 Chefs undergo an RPL process,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,"Project Plan developed and approved for the RPL of 50 Chefs.
",Project Plan developed and approved for the RPL of 50 Chefs.,None,N/A,"Recruitment, selection, and induction of learners for RPL process.
","Recruitment, selection, and induction of learners for RPL process was conducted.","Report on the implementation of the training of learners for RPL process.
","Report on the implementation of the training of learners for RPL process was developed.
",None,N/A,"Report on the implementation of training for 50 Chefs for RPL process.
",Report on the implementation of training for 50 Chefs for RPL process was developed.,None,N/A,"4. 50 Chefs undergo an RPL process.
",-,"50 Chefs had undergone an RPL process in Gauteng and Free State.
",None,N/A,,None,N/A,300
Tourism,Tourism,National,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,PROGRAMME 4: TOURISM SECTOR SUPPORT SERVICES,Quarterly,Output Indicator 5 - Number of capacity building programmes implemented - NTCE 2024 hosted,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,"Project Plan for hosting of NTCE 2024 developed.
",Project plan for hosting of NTCE 2024 developed.,None,N/A,"NTCE 2024 Project Plan deliverables implemented.
","NTCE 2024 Project Plan deliverables were implemented.
","• NTCE 2024 hosted.
• Draft Close Out Report developed.
","• NTCE 2024 was hosted on 8-10 October 2024 in Limpopo.
• Draft Close Out Report was developed.
",None,N/A,"NTCE 2024 Close Out Report finalised. 
",NTCE 2024 Close Out Report was finalised.,None,N/A,3. NTCE 2024 hosted.,-,"NTCE 2024 was hosted on 8-10 October 2024 in Limpopo.
",None,N/A,,None,N/A,300
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly,% of actions in the approved CFM compliance management plan implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,"CFM Compliance
Management Plan
approved.

86% of actions
in the approved
CFM Compliance
Management Plan for the
quarter implemented","Achieved

100% of actions in the approved CFM Compliance Management Plan for the quarter were implemented
","The Department strives for full compliance, which is, the implementation of 100% of actions in the CFM Compliance Management Plan and thus, for the period under review, the Chief Directorate managed to achieve 100%.",N/A,,"Achieved

100% of actions in the approved CFM Compliance Management Plan for the quarter were implemented
",,"Achieved

100% of actions in the approved CFM Compliance Management Plan for the quarter were implemented
","The Department strives for full compliance and  thus, for the period under review, the Chief Directorate managed to achieve 100%",N/A,,"Achieved

100% of actions in the approved CFM Compliance Management Plan for the quarter were implemented
",These are compliance requirements in line with PFMA and TR hence the overachievement,N/A,86%,-,,,,,"The Department strives for full compliance and thus, for the period under review, the Chief Directorate managed to achieve 100%.",N/A,300
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly,% of compliance indicators in the approved Organisational performance information compliance management plan implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,"Organisational
Performance
Information Compliance
Management Plan
approved

86% of compliance
indicators in the
approved. organisational
performance
information Compliance
Management Plan for the
quarter Implemented

","Achieved

100% of compliance indicators in the approved organisational
Performance information Compliance Management Plan for the quarter were implemented performance
information Compliance
Management Plan for the
quarter were implemented
","The Department strives for 100% compliance with the government timeframes on organisational performance information and thus, for the period under review, the Chief Directorate managed to achieve 100%.",N/A,,"Achieved

86% of compliance indicators in the approved organisational
Performance information Compliance Management Plan for the quarter were implemented performance
information Compliance
Management Plan for the
quarter were implemented
",,"Achieved

86% of compliance indicators in the approved organisational
Performance information Compliance Management Plan for the quarter were implemented 
",N/A,N/A,,"Not Achieved

78% of compliance
indicators in the approved
Organisational performance
Information compliance
management plan for the quarter were implemented 
","The Department did not submit by 31 March 2025, the 2025/2026 APP to the DPME and National Treasury due to the Fiscal Framework not being considered and adopted until 2 April 2025. This led to the tabling of the APP in Parliament on 04 April 2025",Revise the 2025/26 Organizational Performance Information Compliance Management Plan to indicate that the 2026/27 APP will be submitted to the assurance providers a day after tabling in Parliament.,86%,-,,,,,N/A,N/A,300
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly,% of DTA employees trained through various interventions as per the approved Training Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,Training Plan Approved,"Achieved

The Training Plan was approved
",None,N/A,,0,,,,,,"Achieved

103,8% of employees trained on various training interventions
","Training interventions on Ethics Management, Labour Relations were extended to all DTA employees",N/A,65%,-,,,,,0,0,300
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly,% of compliance indicators in the approved Organisational performance information compliance management plan implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0 %,,,,0 %,,0 %,,,,0 %,,,,0 %,0 %,,,,,,,300
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly,% of actions in the approved CFM compliance management plan implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0 %,,,,0 %,,0 %,,,,0 %,,,,0 %,0 %,,,,,,,300
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly, % of DTA employees trained through various interventions as per the approved Training Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0 %,,,,0 %,,0 %,,,,0 %,"Achieved

4 provinces implemented
interventions for the
reduction of GBVF in
traditional leadership
 %",,,0 %,0 %,,,,,,,300
Traditional Affairs,Traditional Affairs,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Number of provinces implementing interventions for the reduction of GBVF in traditional leadership,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,0,,0,0,4,"Achieved

4 provinces implemented
interventions for the reduction of GBVF in traditional leadership
",0,,,,4,"Achieved

4 provinces implemented
interventions for the
reduction of GBVF in
traditional leadership
",,,8,0,,,,,N/A,N/A,300
Traditional Affairs,Traditional Affairs,National,"PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION","PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION",Quarterly,4 kingships/queenships (KQs) and PTL Royal families for which customary laws of succession and genealogies have been documented,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,1,0,None,,1,,1,,,,1,"Achieved

customary law of succession and genealogy was documented for 1  kingship Royal family
",N/A,,4,0,,,,,,,300
Traditional Affairs,Traditional Affairs,National,"PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION","PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION",Quarterly,Draft Customary Initiation Regulations gazetted for public comments,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,0,0,0,0,0,,Consultations with Provincial Departments under which customary initiation matters fall on the draft Ministerial Determinations,"Achieved

Consultations were done  with Provincial Departments under which customary initiation matters fall on the draft Ministerial Determinations
",N/A,N/A,0,"Achieved

Draft Customary Initiation Regulations were published in a government gazette for public comments
",N/A,,Draft Ministerial Determinations on fees paid for customary initiation published in a government gazette for public comments,-,,,,,,,300
Traditional Affairs,Traditional Affairs,National,"PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION","PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION",Quarterly,Draft Ministerial Determinations on fees paid for customary initiation gazetted for public comments,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,"Achieved

Draft Ministerial Determinations on fees paid for customary initiation were published in a government gazette for public comments
",N/A,,,-,,,,,,,300
Traditional Affairs,Traditional Affairs,National,"PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION","PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION",Quarterly,Number of Kingships/Queenships applications processed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0,0,,,0,,0,,,,7,"Achieved

7 Kingships/ Queenships applications were processed 
",N/A,,7,0,,,,,,,300
Traditional Affairs,Traditional Affairs,National,"PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION","PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION",Quarterly,Number of Kingships/Queenships applications processed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,0,0,,,0,,0,,,,7,,,,7,0,,,,,,,300
Traditional Affairs,Traditional Affairs,National,"PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION","PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION",Quarterly,Number of Ministerial Determinations on the fees paid for customary initiation to decommercialise the customary initiation practice submitted to the Minister by 31 March 2025,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,"Draft Ministerial
Determinations on
the fees paid for
customary initiation
to decommercialise
the customary
initiation practice
developed


Consultations
with PICCs, NIOC
and DoH on the
Draft Ministerial
Determinations","Achieved

Draft Ministerial Determinations on the fees paid for customary initiation to decommercialise
decommercialize the customary initiation practice developed
",None,N/A,"Consultations
with National and
Provincial Houses
of Traditional and
Khoi-San Leaders on
the Draft Ministerial
Determinations","Achieved

Consultation with the NHTKL and PHTKL (Secretaries of Houses)
","Consultations with
relevant Provincial
and National
Departments on
the Draft Ministerial
Determinations","Achieved

Consultations were done  with Provincial Departments under which customary initiation matters fall on the draft Ministerial Determinations
",N/A,N/A,"Ministerial
Determinations on
the fees paid for
customary initiation
to decommercialise
the customary
initiation practice
submitted to the
Minister",,,,"Ministerial
Determinations on
the fees paid for
customary initiation
to decommercialise
the customary
initiation practice
developed",-,,,,,N/A,N/A,300
Traditional Affairs,Traditional Affairs,National,"PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION","PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION",Quarterly,Number of PICCs monitored on compliance with the Customary Initiation Act in respect of customary initiation seasons,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,0,0,,,0,,0,,,,8,"chieved

9 PICCs were monitored on compliance with the Customary Initiation Act in respect of customary initiation seasons
",N/A,,8,0,,,,,,,300
Traditional Affairs,Traditional Affairs,National,"PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION","PROGRAMME 2: RESEARCH, POLICY AND LEGISLATION",Quarterly,"Number of PICCs monitored on traditional leaders’ performance of their statutory functions i.r.o conducting inspections in initiation schools and screening of initiation principals, traditional surgeons, caregivers and traditional health practitioners",Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,0,0,None,,0,,0,,,,6,"Achieved

8 PICCs were monitored on traditional leaders’ performance of their statutory functions i.r.o conducting inspections in initiation schools and screening of initiation principals, traditional surgeons, caregivers and traditional health practitioners
","During the planning period (when finalising and tabling the APP) the target was set at six (6) PICCs because one PICC was not established and the other PICC was not fully operational. One PICC was established in June 2024 and became operational during the 2024 summer initiation season, and it was only able to collect initiation data and submit its summer initiation season report in Quarter 4, hence it was also monitored during quarter 4. 

The other PICC became fully operational from the 2024 winter initiation season, and was thus monitored throughout the 2024 initiation seasons, including during quarter 4.  

In view of the above, additional two PICCs were monitored in quarter 4 (for the summer initiation season), 
",,6,0,,,,,,,300
