Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q1,National_Q2,National_Q4,National_Q3,DesiredPerformance,UID
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of service users who completed in-patient treatment services at funded treatment centres,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",1308,149,"Target: Not Achieved
Performance is due to fewer service users accessing the programme as efforts to realise the targets within the quarter could not be concluded pending finalisation of Service Level Agreements.","Department has finalised funding of inpatient treatment centres and  will expand partnership with treatment centres and facilitate re-reregistration of DR FF. This will increase capacity  to improve on performance and access to treatment.  
",Target not achieved. ,1426,"

665
","Target: Not Achieved
Performance is due to fewer funded inpatient treatment beds available.
Comment: 606 inpatient beds discontinued due to on-going investigations.",Department is exploring partnerships with other stakeholders to increase bed capacity.,Target not achieved.,1215,"

699
","Target: Not Achieved
Performance is due to service users discharging themselves before completing treatment programmes.
Comment: 606 inpatient beds discontinued due to on-going investigations.
","Department will strengthen motivational counselling to reduce non completion of treatment.
Furthermore the Department will continue to explore partnerships with other stakeholders to increase bed capacity.","Target not achieved. The RoD and Corrective Action is the same as in Q2, but the target remains underachieved.  ",1252,"

1 025
","Target: Not Achieved
Performance is due to service users discharging themselves before completing treatment programmes.
Comment: 606 inpatient beds discontinued due to on-going investigations.
 



","Department will strengthen motivational counselling to reduce non completion of treatment.
Furthermore, the Department will continue to explore partnerships with other stakeholders to increase bed capacity.
 ",Target not achieved ,5201,2538,2538,"Target: Not Achieved
Performance is due to service users discharging themselves before completing treatment programmes.
Comment: 606 inpatient beds discontinued due to on-going investigations.
","Department will strengthen motivational counselling to reduce non completion of treatment.
Furthermore the Department will continue to explore partnerships with other stakeholders to increase bed capacity.
",,,,,,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Percentage of recovering service users participating in aftercare programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",7276 %,1631 %,"Target: Not Achieved.
Performance is due to fewer beneficiaries accessing the programme than anticipated. Efforts to realise the targets within the quarter could not be concluded pending finalisation of Service Level Agreements.","The Department has since finalised signing of SLAs and will continue to facilitate access to aftercare support services and capacitate Departmental officials to render after care services. 
",,7275 %,,,,,7275 %,"

5662 %","Target: Not Achieved
Performance is due to service users discharging themselves before completing treatment programmes.
Comment: Service depend on service users willingness to participate in after care programme",The Department will strengthen aftercare services and explore creative means  that will encourage participation in aftercare programmes. ,"Target not achieved. The Corrective Action is the same as in Q1, but the target remains underachieved.  ",7271 %,"

100 %","Target: Achieved
Performance is due to service users discharging themselves before completing treatment programmes.
Comment: Service depend on service users willingness to participate in aftercare programme.",The Department will strengthen aftercare services and explore creative means that will encourage participation in aftercare programmes. ,Target not achieved ,29097 %,7393 %,100,"Target: Achieved
Performance is due to service users discharging themselves before completing treatment programmes.
Comment: Service depend on service users willingness to participate in after care programme",The Department will strengthen aftercare services and explore creative means  that will encourage participation in aftercare programmes. ,,,,,,"
Higher performance is desired",76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.2:	Community Mobilisation,Quarterly,Number of people reached through community mobilisation programmes.,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",3184151,4629517,"Target: Exceeded
Performance is due to the intensified Departmental efforts in the implementation of the programme including the use of technological platforms and radio interviews which increased number of people reached.",The Department will continue to facilitate access to the programme.,,8158429,"
12 963 092
","Target: Exceeded
Performance is due to the intensified Departmental efforts in the implementation of the programme including the use of technological platforms and radio interviews which increased number of people reached.",The Department will continue to facilitate access to the programme.,,14328365,"

20 036 536","Target: Exceeded
Performance is due to the intensified Departmental efforts in the implementation of the programme including the use of technological platforms and radio interviews which increased number of people reached.","The Department will continue to facilitate access to the programme.
",,17192733,"

26 563 113
","Target: Exceeded
Performance is due to the intensified Departmental efforts in the implementation of the programme including the use of technological platforms and radio interviews which increased number of people reached.",The Department will continue to facilitate access to the programme.,Target exceeded,17850604,,30748907,"Target 
exceeded
due to the intensified Departmental efforts in the implementation of the programme including the use of technological platforms and radio interviews which increased number of people reached.",The Department will continue to facilitate access to the programme.,,Overachievement is noted for this indicator and this shows an increased awareness efforts on the part of the department.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Overachievement with reason for deviation and corrective action are noted for this indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is overachieved.,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Quarterly,Number of NPOs capacitated ,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",312,404,"Target: Exceeded                                                     
Performance is due to intensified departmental efforts in the implementation of the programme to ensure newly funded NPOs governing structures are capacitated in terms of their roles and responsibilities",The Department will continue to facilitate access to the programme.,,314,"463

","Target: Exceeded                                                     
Performance is due to intensified departmental efforts in the implementation of the programme to ensure newly funded NPOs governing structures are capacitated in terms of their roles and responsibilities",The Department will continue to facilitate access to the programme.,,312,"
1 209
","Target: Exceeded                                                     
Performance is due to intensified departmental efforts in the implementation of the programme to ensure  newly funded NPOs governing structures are capacitated in terms of their roles and responsibilities.",The Department will continue to facilitate access to the programme.,,312,"
376
","Target: Exceeded                                                     
Performance is due to intensified departmental efforts in the implementation of the programme to ensure newly funded NPOs governing structures are capacitated in terms of their roles and responsibilities.",The Department will continue to facilitate access to the programme.,Target exceeded,1250,2452,2452,"Target exceeded                                                     
due to intensified departmental efforts in the implementation of the programme to ensure newly funded NPOs governing structures are capacitated in terms of their roles and responsibilities.",The Department will continue to facilitate access to the programme.,,Overachievement is noted for this indicator.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Overachievement with reason for deviation and corrective action are noted for this indicator.,Overachievement is noted for this indicator.,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of beneficiaries  participating in skills development programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",24075,13941,Target: Not Achieved Performance is due to fewer beneficiaries participating in the programmes. Efforts to realise the target within the quarter could not be concluded pending finalisation of governance processes,"The Department will continue to  facilitate access to the programme.
",Target not achieved.,36553,"
24 688
","Target: Not Achieved 
Performance is affected by governance (Investigations) which led to limited number of funded NPOs.",The Department has revised 2024_25 target and will continue to support the programme.,Target not achieved.,24364,"

23 542

","Target: Exceeded
Performance is due to more beneficiaries participating in skills development programmes ",The Department will continue to facilitate access to the programme.,Target not achieved. Revised indicator has not changed as per the revised APP.,38300,"

32251

","Target: Exceeded                                                         Performance is due to more beneficiaries participating in skills development programmes 
                                                                           ","The Department will continue to support the programme. 
",Target not achieved,123292,94422,95072,"Target exceeded 
due to more beneficiaries participating in skills development programmes. ",The Department will continue to support the programme.,,,,,,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of beneficiaries accessing food relief programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",130600,112519,"Target: Not Achieved 
Performance is due to non-compliant DICs who could not be funded to provide cooked meals as efforts to realise the targets within the quarter could not be concluded. ",The Department will continue to monitor the catch-up plan and fast track the food distribution to the affected beneficiaries to mitigate the shortfall in subsequent quarters. The Department will further raise awareness on compliance requirements to the communities,Target not achieved.,316650,"199 654

","Target: Not Achieved                                 Performance is due to delays in the resolution of governance issues (investigation) for the two FDCs and the food supply tender finalization. Furthermore, non-compliant DICs who could not be funded to provide cooked meals to OVC. Efforts to realise the targets within the quarter could not be concluded.","The SCM plans are under way to advertise, evaluate and award the tender. Investigation in progress. anticipated to be finalised in quarter 3. The Department will continue to monitor the catch-up plan and fast track the food distribution to the affected beneficiaries to mitigate the shortfall in subsequent quarters. Further raise awareness on compliance requirements to the communities.",Target not achieved.,412949,"
331 772
",Target: Not Achieved                                 Performance is due to delays in the resolution of governance issues (investigation) for the two FDCs and the food supply tender finalization.,"The Supply Chain Management (SCM) plans are under way to evaluate and award the tender, including fast tracking of the resolutions of governance matters at NPOs.","Target not achieved. The RoD and Corrective Action is the same as in Q2, but the target remains underachieved.  ",528902,"
404 443
","Target: Not Achieved                             
 Performance is due to delays in the finalisation of food supply tender.",The department will fast track the SCM processes.,Target not achieved,528902,0,404433,Target not achieved                             due to delays in the finalisation of food supply tender.,The Department will fast track the SCM processes.,,Underachievement is noted with reason for deviation and corrective action in place.,,,,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of beneficiaries participating in the Welfare to Work programme,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",5194,1205,Target: Not Achieved.  Performance is due to fewer beneficiaries participating in the programmes due to ongoing investigation of one organisation.,"The Department will continue to facilitate access to the programme.
",Target not achieved.,13372,"
8 202
","Target: Not Achieved 
Performance is affected by governance (Investigations) which led to limited number of funded NPOs.",The Department has revised 2024_25 target and will continue to support the programme.,Target not achieved.,16015,"

13 590
","Target: Not Achieved  
Performance is due to inadequate funded NPOs to implement the programme.
",The Department will continue to  facilitate access to the programme.,"Target not achieved. The RoD and Corrective Action is the same as in Q2, but the target remains underachieved.  ",18657,"

18 677
",Target: Exceeded                                                         Performance is due to more beneficiaries participating in Welfare- to -Work Programme.,The Department will continue to support the programme. ,Target exceeded,18657,18677,18677,"Target exceeded                                                         
due to more beneficiaries participating in Welfare- to -Work Programme.",The Department will continue to support the programme. ,,,,,,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of children provided with pro-poor basket  interventions,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",481050,1266967,"Target: Exceeded
Performance is inclusive of 
the remainder target from 
the previous financial year.","The Department will 
continue to facilitate 
access to the programme.",,962100,,,,,1004150,"
1 382 383
","Target: Exceeded
Performance is inclusive of the remainder target from the previous financial year.",The Department will continue to  facilitate access to the programme.,,1777930,"
1 502 856
","Target: Not Achieved      
Performance is due to delayed distribution as dignity packs tender evaluation is currently underway. 
",The department will fast track the SCM processes.,Target not achieved ,1777930,1502856,1502856,"Target not achieved      
due to delayed distribution as dignity packs tender evaluation is currently underway. ",The department will fast track the SCM processes.,,,,,,"Higher performance is desired
",76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of cooperatives linked to economic opportunities ,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",20,117,"Target: Exceeded 
Performance is due to agriculture cooperatives linked to the food security programme and cooperatives within the clothing and textile industry",The Department will continue to facilitate access to the programme (linking Cooperatives to available opportunities).,,60,"
535
",Target: Exceeded                                     Performance is due to the provincial workshop held with different stakeholders.,The Department will continue to facilitate access to the programme (linking Cooperatives to available opportunities).,,80,"
636
",Target: Exceeded                                     Performance is due to the provincial workshop held with different stakeholders.,The Department will continue to facilitate access to the programme (linking Cooperatives to available opportunities).,,485,"
288
",Target: Not Achieved                                              Performance achieved in previous quarters.                  ,The Department will continue to facilitate access to the programme (linking Cooperatives to available opportunities).,Target not achieved,485,288,645,"Target exceeded                                     
due to the provincial workshop held with different stakeholders.",The Department will continue to facilitate access to the programme (linking Cooperatives to available opportunities).,,Targeted output is overachieved. Reason for deviation and corrective action are noted.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Underachievement with reason for deviation and corrective action are noted for this indicator.,Performance is noted for this indicator.,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of cooperatives trained,Standardized,Average,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",365,112,"Target: Not Achieved. Performance is due to governance dispute caused by contracted cooperatives.
","The Department has since  resolved the dispute and is finalising procurement process to realise performance  in the subsequent quarter.

The Department will further convene more sessions than the regular trend and invite additional attendees. 
",Target not achieved.,365,"
484
",Target: Exceeded                                                     Performance is due to the provincial workshop held with different stakeholders.,The Department will continue to facilitate development and support to cooperatives (Training Cooperatives to access available opportunities).,,365,"
558
",Target: Exceeded                                                     Performance is due to the provincial workshop held with different stakeholders.,The Department will continue to facilitate development and support to cooperatives (Training Cooperatives to access available opportunities).,,365,"201
","Target: Not Achieved                                              Performance achieved in previous quarters.
",The Department will continue to facilitate development and support to cooperatives (Training Cooperatives to access available opportunities).,Target not achieved,365,"338,75",558,"Target exceeded                                                     
due to the provincial workshop held with different stakeholders.",The Department will continue to facilitate development and support to cooperatives (Training Cooperatives to access available opportunities).,,,,,,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of dignity packs distributed,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",444000,1203670,"Target: Exceeded.
Performance is inclusive of the remainder target from the previous financial year.",The Department will continue to  facilitate access to the programme.,,888000,"
1 203 670
","Target: Exceeded
Performance is inclusive of the remainder target from the previous financial year.",The Department will continue to facilitate access to the programme.,,888000,"
1 203 670
","Target: Exceeded
Performance is inclusive of the remainder target from the previous financial year.",The Department will continue to  facilitate access to the programme.,,1521702,"
1 221 979
","Target: Not Achieved      
Performance is due to delayed distribution as dignity packs tender evaluation is currently underway. ",The department will fast track the SCM processes.,Target not achieved,1521702,1221979,1221979,"Target not achieved      
due to delayed distribution as dignity packs tender evaluation is currently underway. ",The Department will fast track the SCM processes.,,,,,,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of households accessing food through DSD food security programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",10000,24070,"Target exceeded.
Performance is inclusive of the remainder target from the previous financial year.
 ",The Department will continue to implement the programme within the allocated budget. ,,35000,"

30 714
",Target: Not Achieved                                 Performance is due to delays in the resolution of governance issues (investigation) for the two FDCs and the food supply tender the finalization.,"The SCM plans are under way to advertise, evaluate and award the tender. 
Fast tracking of the conclusion of investigations.",,75000,"

48 228
",Target: Not Achieved                                 Performance is due to delays in the resolution of governance issues (investigation) for the two FDCs and the food supply tender finalization.,"The Supply Chain Management (SCM) plans are under way to evaluate and award the tender, including fast tracking of the resolutions of governance matters at NPOs.","Target not achieved. The RoD and Corrective Action is the same as in Q2, but the target remains underachieved.  ",100000,"

48 228
","Target: Not Achieved                             
 Performance is due to delays in the finalisation of food supply tender.",The department will fast track the SCM processes.,Target not achieved,100000,48228,48228,"Target not achieved                             
due to delays in the finalisation of food supply tender.",The Department will fast track the SCM processes.,,Overachievement is noted with reason for deviation and corrective action in place.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Underachievement with reason for deviation and corrective action are noted for this indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of people benefitting from poverty reduction initiatives,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",157651,127105,"Target: Not Achieved 
Performance is due to non-compliant DICs who could not be funded to provide cooked meals as efforts to realise the targets within the quarter could not be concluded. ",The Department will continue to monitor the catch-up plan and fast track the food distribution to the affected beneficiaries  to mitigate the  shortfall in subsequent quarters. The Department will further  raise awareness on compliance requirements to the communities,Target not achieved.,365777,"
226 977
","Target: Not Achieved                                 Performance is due to delays in the resolution of governance issues (investigation) for the two FDCs and the food supply tender finalization. Furthermore, non-compliant DICs who could not be funded to provide cooked meals to OVC.","The SCM plans are under way to advertise, evaluate and award the tender. Investigation in progress. anticipated to be finalised in quarter 3. The Department will continue to monitor the catch-up plan and fast track the food distribution to the affected beneficiaries to mitigate the shortfall in subsequent quarters. Further raise awareness on compliance requirements to the communities.",Target not achieved.,468649,"
377 987
", Target: Not Achieved                                 Performance is due to delays in the resolution of governance issues for the two Food Distribution Centres (FDCs) and the finalisation of food supply tender.,The department will fast track the processing of the NPO funding and SCM processes.,"Target not achieved. The RoD and Corrective Action is the same as in Q2, but the target remains underachieved.  ",591279,"
481886
","Target: Not Achieved                             
 Performance is due to delays in the finalisation of food supply tender.",The department will fast track the SCM processes.,Target not achieved,595714,0,487627,Target: not achieved                           due to delays in the finalisation of food supply tender.,The Department will fast track the SCM processes.,,"Targeted output is underachieved, reason for deviation should have been provided.",Reasons for deviation and corrective action acknowledged with underachievement reported.,Underachievement with reason for deviation and corrective action are noted for this indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of people participating in income generating programmes/ economic opportunities,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",22813,14586,"Target: Not Achieved Performance is due to fewer beneficiaries participating in the programmes. Efforts to realise the target within the quarter could not be concluded pending finalisation of governance processes.
","The Department will continue to facilitate access to the programme.
",Target not achieved.,36711,"
27 323
","Target: Not Achieved  
Performance is due to fewer beneficiaries participating in the programmes. Efforts to realise the target within the quarter could not be concluded pending finalisation of governance processes.",The Department will continue to facilitate access to the programme.,Target not achieved.,39685,"

40827
","
Target: Exceeded
Performance is due to  intensified departmental efforts to implement the programme .",The Department will continue to  facilitate access to the programme.,,43720,"

58 766

","Target: Exceeded
Performance is due to intensified departmental efforts to implement the programme.",The Department will continue to facilitate access to the programme.,Target exceeded,48155,,64507,"Target Exceeded
due to intensified departmental efforts to implement the programme .",The Department will continue to facilitate access to the programme.,,,,,,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of recovering service users participating in the Tshepo 1 Million programme ,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",480,79,Target: Not Achieved.  Performance is due to fewer service users accessing the programme as the  efforts to realise the targets within the quarter could not be concluded pending finalisation of Service Level Agreements ,TThe Department has since finalised signing of SLAs and will continue to facilitate access to Tshepo 1 Million programme ,Target not achieved.,580,"
571
","Target: Not Achieved 
Performance is affected by governance (Investigations) which led to limited number of funded NPOs.",The Department has revised 2024_25 target and will continue to support the programme.,Target not achieved.,680,"

596
","Target: Not Achieved 
Performance is affected by governance (Investigations) which led to limited number of funded NPOs.
",The Department has revised 2024_25 target and will continue to support the programme.,"Target not achieved. The RoD and Corrective Action is the same as in Q2, but the target remains underachieved.  ",560,"

1 205

","Target: Not Achieved 
Performance is affected by governance (Investigations) which led to limited number of funded NPOs.",The Department has revised 2024_25 target and will continue to support the programme.,Target exceeded,2300,2451,2560,"Target not achieved. 
Performance is affected by governance (Investigations) which led to limited number of funded NPOs.
",The Department has revised 2024_25 target and will continue to support the programme.,,,,,,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of school uniform packs distributed,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",0,31609,"Comment:
The quarter under review was not targeted. However, there is recorded performance due to the remainder of target from the previous financial year.",The Department will continue to facilitate access to the programme.,"The progress is noted, however the target was not planned for Q1.",0,"
43 712
","Target: Exceeded
Performance is inclusive of the remainder target. from the previous financial year.
Comment: (additional Q1 roll over performance considered in Q2).",The Department will continue to facilitate access to the programme.,"The progress is noted, however the target was not planned for Q2.",0,"
46162
","Target: Exceeded
Performance is inclusive of the remainder target from the previous financial year.
Comment: (additional Q1 roll over  performance  considered in Q2)",The Department will continue to  facilitate access to the programme.,,185000,"
98 010
","Target: Not Achieved           
Performance was affected by the roll-over of previous sub-contracted school uniform awards which yielded lesser numbers than anticipated. 
 

",School Uniform tender to be awarded timeously in the new financial year to avoid roll-overs.  ,Target not achieved,185000,98010,98010,"Target not achieved.           
Performance was affected by the roll-over of previous sub-contracted school uniform awards which yielded lesser numbers than anticipated. ",School uniform tender to be awarded timeously in the new financial year to avoid roll-overs.,,,,,,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of welfare and vulnerable persons participating in  skills development programmes .,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",24555,13941,Target: Not Achieved Performance is due to fewer beneficiaries participating in the programmes. Efforts to realise the target within the quarter could not be concluded pending finalisation of governance processes,"The Department will continue to facilitate access to the programme.
",,37133,,,,,9091,"

23 542
",Target: Exceeded                                                         Performance is due to more beneficiaries participating in skills development programmes,The Department will  continue to support the programme. ,,8971,"
32 251
",Target: Exceeded                                                         Performance is due to more beneficiaries participating in skills development programmes.                        ,The Department will continue to support the programme. ,Target exceeded,79750,69734,95072,"Target exceeded 
due to more beneficiaries participating in skills development programmes. ",The Department will continue to support the programme. ,,,,,,Higher performance is desired,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Number of community- based plans developed,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",5,5,Target achieved.,None,Target achieved.,13,"
14
","Target: Exceeded
Performance is due to the intensified Departmental efforts. Furthermore, additional officials were recruited to profile households.",The Department will continue to facilitate access to the programme.,,19,"
20
","Target: Exceeded
Performance is due to the intensified Departmental efforts. Furthermore additional officials were recruited to profile households.",The Department will continue to facilitate access to the programme.,,26,"
29
","Target: Exceeded
Performance is due to the intensified Departmental efforts. Furthermore, additional officials were recruited to profile households.",The Department will continue to facilitate access to the programme.,Target exceeded,26,29,29,"Target exceeded
due to the intensified Departmental efforts. Furthermore, additional officials were recruited to profile households.",The Department will continue to facilitate access to the programme.,,Targeted output is achieved.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Overachievement with reason for deviation and corrective action are noted for this indicator.,Targeted output achieved.,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Number of households profiled,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",4892,7338,"Target: Exceeded
Performance is due to the intensified Departmental efforts. Furthermore, additional officials were recruited to profile households.",The Department will continue to facilitate access to the programme.,,9784,"
12 626
","Target: Exceeded
Performance is due to the intensified Departmental efforts. Furthermore, additional officials were recruited to profile households.",The Department will continue to facilitate access to the programme.,,14677,"
17 601","Target: Exceeded
Performance is due to the intensified Departmental efforts. Furthermore additional officials were recruited to profile households.",The Department will continue to facilitate access to the programme.,,19569,"
23 070
","Target: Exceeded
Performance is due to the intensified Departmental efforts. Furthermore, additional officials were recruited to profile households.",The Department will continue to facilitate access to the programme.,Target exceeded,19569,23070,23070,"Target exceeded
due to the intensified Departmental efforts. Furthermore, additional officials were recruited to profile households.",The Department will continue to facilitate access to the programme.,,Targeted output is overachieved with reason for deviation and corrective action in place.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Overachievement with reason for deviation and corrective action are noted for this indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is overachieved.,,76
Social Development,Social Development,Gauteng,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Number of unemployment grant beneficiaries profiled,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",0,0,New indicator,New indicator,,0,,,,,6926,"
7 082
","Target: Exceeded
Performance is due to the intensified Departmental efforts. Furthermore additional officials were recruited to profile unemployment grant beneficiaries ",The Department will continue to facilitate access to the programme.,,13852,"
18 511
","Target: Exceeded
Performance is due to the intensified Departmental efforts. Furthermore, additional officials were recruited to profile unemployment grant beneficiaries.",The Department will continue to facilitate access to the programme.,Target exceeded,13852,18511,18511,"Target exceeded
due to the intensified Departmental efforts. Furthermore, additional officials were recruited to profile unemployment grant beneficiaries ",The Department will continue to facilitate access to the programme.,,,,,,Higher performance is desired,76
