Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q1,OTP_Q2,OTP_Q3,OTP_Q4,National_Q2,UID
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.6 Still birth in facility rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",19,17.6,19,16.4 per 1000 births,19,"21 per 1000
births
",19,18.9 per 1000 births,19,0,,,,,Health education on the importance of early ANC bookings ,sustain,Implementation of Basic Antenatal Care Plus strategy and intrapartum care guidelines,Sustain,"Suboptimal Antenatal care –(late booking of ANC and failure to detect high risk pregnancy early ) leading to high number of macerated stillbirths  (71%)







Poor intrapartum
Care hypoxia related fresh still born births 
","To conduct health awareness on early ANC booking through community radio slots, household visits by CHWs, and use of multisectoral drives by other stakeholders within District AIDS Council

District Coordinators to implement audits and supportive supervision to improve quality of antenatal care 

Awareness campaign on danger sign of pregnancy
To conduct health awareness on early ANC booking through community radio slots, household visits by CHWs, and use of multisectoral drives by other stakeholders within District AIDS Council

District Coordinators to implement audits and supportive supervision to improve quality of antenatal care 



To implement outreach program focusing on management of preterm babies targeting district with high fatality 


",Improved intrapartum care through the support and mentorship of the Obstetricians and Gynaecologists specialists.,Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.7 All DS-TB client treatment success  rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",69 %,79.7 %,69 %,"79.3%
(1824/2299)
 %",69 %,"82%
(1960/2382)
 %",69 %,"81% 
(2142/2638)
 %",69 %,0 %,,,,,Facility conducted data quality audits in collaboration with partners ,Sustain ,"Conducted data quality audit meetings with Districts, Local Areas, and facilities",Sustain,"Adherence to TB guidelines and implementation of DOT strategy.
Facility File Audits, Data Verification, Validation and Clean Up Conducted 
",Sustain,"Implementation of the DOT strategy

Tracing of treatment interrupters and linking them back to care. 

",Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.7 Neonatal death in facility rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",12,14.5,12,11.7 per 1000 live births,12,"14.4 per 1000 live births

14.4 per 1000 live births

",12,12.5 per 1000 live births,12,0,,,,,Late antenatal booking which leads to delayed  diagnosis of high risks conditions ,"To conduct Health education on early antenatal booking to identify high risk conditions that can lead to prematurity 
Conduct provincial perinatal mortality review meeting to identify root causes of neonatal mortality and monitor progress on the implementation of interventions recommended to reduce maternal mortality
",Implementation of Basic Antenatal Care Plus strategy and intrapartum care guidelines,Sustain,"Most neonates died from complication of prematurity, hypoxia, Congenital abnormalities and infection. 
Avoidable cause identified included patient related factors in 55% of cases 
which included 
Late antenatal booking, delay in seeking help and not responding to fetal movements

Suboptimal management of preterm babies leading  complication 
","To conduct health awareness on early ANC booking through community radio slots, household visits by CHWs, and use of multisectoral drives by other stakeholders within District AIDS Council

District Coordinators to implement audits and supportive supervision to improve quality of antenatal care 



To implement outreach program focusing on management of preterm babies targeting district with high fatality 

","Late antenatal bookings. 

Of the 324 Neonatal deaths 253 occurred early at 0 -6 days and 71 occurred late at 7-28 days due to Immaturity related (46.3%) Hypoxia (22,7%) and congenital abnormalities at (16.7%)
","To conduct health awareness on early ANC booking through community radio stations and social media platforms 
 
",,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.8 Child under 5 years diarrhoea case fatality rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",2.3 %,1.4 %,2.3 %,"1.1%
(22 /1987)

 %",2.3 %,"1.7%
(26/1574)
 %",2.3 %,"2.6%
(37/1429)
 %",2.3 %,0 %,,,,,Intensified health education on early healthcare seeking behaviour for prompt diagnosis and treatment,Sustain,Health education given to caregivers to identify danger signs and how to administer oral rehydration solution.,Sustain,"Health education given to caregivers to identify danger signs and manage with oral rehydration therapy.

Adherence to IMCI and Paediatric Care Guidelines
",Sustain,Late presentation at the facility. ,"Health education to caregivers on early identification of danger signs and early seeking treatment behaviours, and to promote the ",,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.8 TB Rifampicin resistant/Multidrug – Resistant treatment success rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",66 %,63.3 %,66 %,"69.1%
(47/68)
 %",66 %,"69.6%
(39/56)
 %",66 %,"74.5%
(41/55)
 %",66 %,0 %,,,,,Death rate due to various complications affected performance ,"Intensify TB screening in HIV patient for early TB diagnosis and management 

Intensify TB Preventive Therapy (TPT) initiation amongst the HIV positive clients 
",Conducted data quality audit meetings with decentralized sites,sustain ,Adherence to TB guidelines and implementation of directly observed therapy (DOT) interventions,Sustain,"Implementation of the DOT strategy

Tracing of treatment interrupters and linking them back to care. 
",Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.9 Child under 5 years pneumonia case fatality rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",2.5 %,2.4 %,2.5 %,"1.8%
(18 /1011)

 %",2.5 %,"1.9%
(19/978)

 %",2.5 %,"1.6% 
(16/990)
 %",2.5 %,0 %,,,,,Intensified health education on early healthcare seeking behaviour for prompt diagnosis and treatment,sustain,"Giving of health education to care givers for identification of pneumonia danger signs 


",Sustain,"Health education is given to caregivers to identify danger signs of pneumonia

Adherence to IMCI and Paediatric Care Guidelines
",Sustain,"Intensified 
health education 
on early 
healthcare 
seeking 
behaviour for 
prompt 
diagnosis and 
treatment
",Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.9 TB Rifampicin resistant/Multidrug – Resistant lost to follow-up rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",8 %,6.1 %,8 %,"4.4%
(3/68)
 %",8 %,"14.3%
(8/56)
 %",8 %,"7.3%
(4/55)


 %",8 %,8 %,,,,,"Tracing of TB
treatment
interrupters
",Sustain,Shared provincial export file for patients who were not evaluated for actioning by the decentralized sites,Sustain ,Adherence to TB guidelines and implementation of directly observed therapy (DOT) interventions,Implementation of directly observed therapy (DOT) interventions,Tracing of treatment interrupters and linking them back to care,Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,2.1 Severity assessment code (SAC) 1 incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100% %,100 %,100% %,100 %,100% %,100 %,100 %,,,,,none ,sustain ,None ,Sustain,None ,Sustain,None,Sustain ,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,2.1 Severity assessment code (SAC) 1 incident reported within 24 hours rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",100 %,94.8 %,100 %,       98% %,100 %,96.7% %,100 %,100% %,100 %,0 %,,,,,Failure to report SAC 1 incidents within 24 hours ,Consequence management for the responsible QA and Unit Manager reporting SAC 1 after 24 hours,None compliance to PSI guidelines,"Consequence management
(Written warning was given to the Nurse Manager)

Implementation of PSI guidelines
",Non-compliance to PSI guidelines,"Adherence to implementation of PSI guideline

Consequence management – written warning issued
",None,Sustain ,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,2.2 Patient safety incidents (PSI) case closure rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",90 %,100 %,90 %,83% %,90 %,113% %,90 %,100% %,90 %,100 %,,,,,"Monthly PSI meetings, effective monitoring of PSI and monthly feedback to facilities",sustain ,"Monthly PSI meetings, effective monitoring of PSI and monthly feedback to facilities",Sustain,One incident overlapped from the previous month,Sustain,Monthly PSI meetings and effective monitoring of PSI and feedback to facilities,Sustain ,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,2.2 Patient safety incidents (PSI) case closure rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",90 %,97.4 %,90 %,100% %,90 %,110.7% %,90 %,100% %,90 %,0 %,,,,,"Monthly PSI meetings, effective monitoring of PSI and monthly feedback to facilities",Sustain,"Monthly PSI meetings, effective monitoring of PSI and monthly feedback to facilities",Sustain,Incidences overlapped to the 3rd quarter,Sustain ,Monthly PSI meetings and effective monitoring of PSI and feedback to facilities,Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,4.1 PHC mental disorders treatment rate (new),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",0.1 %,0.01 %,0.1 %,0.01% %,0.1 %,0.01% %,0.1 %,0.01% %,0.1 %,0 %,,,,,Low reporting of the new cases that are started on treatment or referred for psychosocial interventions,To conduct in-service training ,"-Low reporting of the new cases that are started on treatment or referred for psychosocial interventions

- Low detection of mental health disorders at PHC 
","Monitoring all data sources in all service areas to ensure accurate reporting by operational managers 
-Standard operating procedure to be developed to guide PHC on the reporting of the new indicators 
- Strengthening screening for mental health disorders at PHC for early detection 
",Absence of standardized screening tools,"Development and implementation of comprehensive mental health screening protocols and distribution to Local Area Managers (LAMs) through Primary Health Care (PHC) directors and district mental health coordinators.

Multi-Disciplinary Team (MDT) in-service training conducted in Feb 2025 by Provincial Mental Health coordinator.
","Case finding lower than expected







Non-adherence to Adult Primary Care (APC) guidelines
","Intensify case finding screening of all PHC patients (Acute, Chronic & Maternal health) on mental health conditions.
 
Manage patient using APC guidelines

Conduct in-service training on the screening tool, mental health conditions and treatment.
",,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,All DS-TB client LTF rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,All DS-TB Client Treatment Success Rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Antenatal 1st visit before 20 weeks rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART adult remain in care rate (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART adult viral load suppressed rate - below 50 (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART child remain in care rate (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,ART child viral load suppressed rate - below 50 (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Cervical cancer screening coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Child under 5 years diarrhoea case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Child under 5 years pneumonia case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Child under 5 years severe acute malnutrition case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Death under 5 years against live birth rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Delivery 10-14 years in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,-,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,HIV positive 15-24 years (excl. ANC) rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,HIV test positive around 18 months rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Immunisation under 1 year coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Infant PCR test positive around 6 months rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,IUCD Uptake (*IUCD - Intra Uterine Contraceptive Device),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,-,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Measles 2nd dose 1 year coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Mother postnatal visit within 6 days rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Neonatal death in facility rate (Per 1000 live births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Patient Safety Incident (PSI) case closure rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,PHC Mental Disorders Treatment rate new,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Severity assessment code (SAC) 1 incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Still birth in facility rate (Per 1000 births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,TB Pre-XDR loss to follow up rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,TB Pre-XDR treatment success rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,TB Rifampicin resistant/Multidrug - Resistant lost to follow-up rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,TB Rifampicin resistant/Multidrug - Resistant treatment success rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 3: Emergency Medical Services,Programme 3: Emergency Medical Services,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 3: Emergency Medical Services,Programme 3: Emergency Medical Services,Quarterly,1.1 EMS P1 urban response under 30 minutes rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 3: Emergency Medical Services,Programme 3: Emergency Medical Services,Quarterly,1.2 EMS P1 rural response under 60 minutes rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 3: Emergency Medical Services,Programme 3: Emergency Medical Services,Quarterly,EMS P1 rural response under 60 minutes rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",70 %,83.8 %,70 %,"83.8%
(1079/1287) 
 %",70 %,98.7% (3775/3823 %,70 %,"99.3% 
(4076/4103)  
?? 
 %",70 %,0 %,,,,,Commissioned new ambulances ,sustain,Distribution of the new fleet led to an increase in operational ambulances ,sustain,"Distribution of the new fleet led to an increase in operational ambulances?sustain?
Data Cleaning
",Sustain?,Distribution of the remainder of the new fleet led to an increase in operational ambulances? ,sustain ,,,,,,191
Health,Health,Limpopo,Programme 3: Emergency Medical Services,Programme 3: Emergency Medical Services,Quarterly,EMS P1 urban response under 30 minutes rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",65 %,85 %,65 %,86.6% (113/129)    %,65 %,98.2% (718/731) ??  %,65 %,96.1% (539/561) %,65 %,85 %,,,,,Commissioned new ambulances ,sustain,Distribution of the new fleet led to an increase in operational ambulances ,sustain,Distribution of the new fleet led to an increase in operational ambulances? Sustain?,Sustain?,Distribution of the remainder of the new fleet led to an increase in operational ambulances? ,sustain ,,,,,,191
Health,Health,Limpopo,Programme 3: Emergency Medical Services,Sub-programme 1: Emergency Transport,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 3: Emergency Medical Services,Sub-programme 1: Emergency Transport,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Annually,1.1 Patient experience of care satisfaction rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,80 %,,80 %,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Annually,1.1 Patient experience of care satisfaction rate (Specialised Hospital),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,82 %,86 %,,,,,82 %,86 %,,"Improved on 
-	Cleanliness
-	Medicine availability
•	Improved rehabilitation activities

",sustain,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Annually,Maternal deaths in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,28 %,,28 %,,Adherence to protocols and guidelines,Sustain,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,2.1 Severity assessment code (SAC) 1 incident reported within 24 hours rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100% %,100 %,100% %,100 %,100% %,100 %,100 %,,,,,none ,sustain ,None,Sustain,None,Sustain,None ,Sustain ,,,,,,191
Health,Health,Limpopo,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,2.1 Severity assessment code (SAC) 1 incident reported within 24 hours rate (Specialised Hospitals),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100% %,100 %,100% %,100 %,100% %,100 %,100 %,,,,,none ,sustain ,none ,sustain,None,Sustain ,None,Sustain,,,,,,191
Health,Health,Limpopo,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,2.2 Patient safety incidents  (PSI) case closure rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",90 %,94.3 %,90 %,100% %,90 %,107.7% %,90 %,103.4% %,90 %,0 %,,,,,"Effective monitoring of PSI

PSI monthly meetings conducted
",sustain,"Monitoring of PSI
through monthly meetings 
",Sustain,Incidences overlapped from 2nd quarter to 3rd quarter,"To close the 
Incidence within the reporting month
",Monthly PSI meetings and effective monitoring of PSI and feedback to facilities,Sustain,,,,,,191
Health,Health,Limpopo,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,2.2 Patient safety incidents (PSI) case closure rate (Specialised Hospitals),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",100 %,88.9 %,100 %,110% %,100 %,100% %,100 %,96.9% %,100 %,0 %,,,,,Incidences were reported towards the end of the month ,"To close the 
 incidences 
 within a month 
",Incidences overlapped to the 2nd quarter,"To close incidences according to the PSI 
Guidelines
",None,Sustain ,Monthly PSI meetings and effective monitoring of PSI and feedback to facilities,Sustain ,,,,,,191
Health,Health,Limpopo,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,3.2 Diarrhoea death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",5,3,5,8,5,8 ,5,9,20,9,,,,,Implementation of policies and guidelines,sustain,Delay in seeking medical help,"Continuous 
awareness 
campaigns on the importance of 
seeking early medical 
help 

","Delay in seeking medical help



Herbal medicine given at home with negative effect 
","Continuous awareness campaigns on the importance of   seeking early medical help 
-Awareness campaigns onon on the dangers of giving  
children herbal 
medicine.
","Late presentation to the facility 



Herbal medicine given at home with negative effect 
","Continuous awareness campaigns on the importance of  
 seeking early
 medical help

Awareness 
campaigns on
 the dangers of giving  
children herbal 
medicine
",,,,,,191
Health,Health,Limpopo,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,3.3 Pneumonia death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",7,16,7,6,7,5,7,6,28,6,,,,,"Delay in seeking medical Help 
 
 
 
 
Herbal intoxication 
 
","To raise  awareness on the importance of seeking  medical help early when babies are sick 
 
To raise awareness on the dangers of giving herbal medicines to babies.  
 
",Implementation of guidelines and protocols,sustain,"Awareness done. Mothers are 
adhering on 
spotting 
the danger signs
 and bringing 
children early.
",Sustain ,"Implementation
of guidelines 
and protocols 
",Sustain,,,,,,191
