Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,OTP_Q1,OTP_Q2,OTP_Q3,UID
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,Number of beneficiaries receiving Psychosocial Support Services,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",6643,7840,6643,7428,6643,7648,6643,"11176
",6643,11176,,,,,,"The demand for the service increased as a result of referrals from schools
",,The same comment is above applies.,"Training of more implementers resulted in more beneficiaries being reached who needed Psychosocial Support Services.  Mangaung extended services to more Schools, namely: Kamohelo Primary, Grassland Senior secondary and Pontsheng Primary School.  ",,Overachievement is acknowledged for this indicator.,Achieved,,Performance is acknowledged for this indicator.,"The indicator was overachieved due to the addition of 10 new organisations that were funded in the second call for funding from the following districts: Lejweleputswa, Mangaung Metro, and Xhariep District.

",,The same comment as above applies.,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.4:	HIV and AIDS,Quarterly,Number of Implementers trained on Social and Behaviour Change Programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",112,81,127,214,119,128,107,"179
",465,602,,,,,,Delayed replacement of suspended NPOs.,Finalization of the appraised and recommended organisations.,"Targeted output is underachieved, reason for deviation should have been provided.",The overachievement is as a result of integrated training provided to other Sub-Directorate to enable them to address social ills and challenges within their caseloads.,,"Overachievement is acknowledged for this indicator, kindly include reasons for deviation for such performances.",Achieved,,Underachievement with reason for deviation is noted for this indicator.,"The indicator was overachieved due to the addition of 10 new organizations that were funded in the second call for funding from the following districts: Lejweleputswa, Mangaung Metro, Xhariep District.
",,Targeted output is achieved for this indicator.,Please provide reason for deviation and corrective action,,Provide Corrective action,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.5: Social Relief,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.5: Social Relief,Annually,Number of people who benefitted from Social Relief of Distress,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100,148,100,148,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 2:  Social Welfare Services,Sub Programme 2.5: Social Relief,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.1: Management and Support,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.1: Management and Support,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Number of family members participating in Family Preservation Services,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",2675,3093,2650,3276,2550,2466,2275,"3046
",10150,11881,,,,,,Achieved.  More family members participated.,,Targeted output is overachieved.,Achieved,,Performance is noted for this indicator.,"The service depends on the willingness of family members to participate.
",,Underachievement with reason for deviation is noted for this indicator.,"5 additional NPOs were approved in Xhariep and Thabo Mofutsanyana,
 resulting in increased access of services
",,Targeted output is achieved for this indicator.,,Target not achieved. Provide reasons for deviation and corrective action.,Provide Corrective action,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Number of family members participating in Parenting Skills Programme,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",635,848,890,1290,870,1051,840,"935
",3235,4124,,,,,,Achieved. More family members participated.,,Targeted output is overachieved.,"Two funded NPOs in Mangaung (Botshabelo)  reached more beneficiaries. (NGKA and Redlex).
",,The same comment as above applies.,"Training on teenage parenting programme resulted into the increase.
",,Same comment as above applies.,"Completion of training for teenage parents has been successfully achieved in Fezile Dabi and Xhariep.
",,Reason for deviation should have been included for this overachieved indicator.,,Target not achieved. Provide reasons for deviation and corrective action.,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,Number of family members reunited with their families,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",9,9,8,10,5,22,8,"20
",30,61,,,,,,Achieved.,,"Targeted output is underachieved, reason for deviation is noted.",Achieved,,"Underachievement is noted for this indicator, reasons for deviation should have been included. ","Due to high demand, more family members were reunified (Xhariep and Mangaung Districts).
",,Performance is acknowledged for this indicator.,"
Reunification is a process that is based on specific needs
",,Reason for deviation should have been included for this overachieved indicator.,,Target not achieved. Provide reasons for deviation and corrective action.,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Annually,Default,Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Default,Standardized,Not  Applicable,Not Applicable,-,Not Applicable,0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Number of children in foster care reunited with their families,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",5,8,3,12,4,13,3,10,15,43,,,,,,Successful reunification depends on the willingness of family members,,"Targeted output is underachieved, reason for deviation is noted.","Successful reunification depends on the willingness of family members.
",,Overachievement is noted.,"Therapeutic interventions conducted led to children being reunified with their families.
",,Performance is noted for this indicator.,"Reunification is a process that is based on specific needs.
",,Reason for deviation should have been included for this overachieved indicator.,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,Number of children placed in foster care ,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",130,101,140,134,125,121,100,102,495,458,,,,,,Implementation of the Top-Up Grant led to the reduced number of children qualifying.,Output is positive.,"Targeted output is underachieved, reason for deviation should have been provided.","Legislative amendments in the children’s amendment Act, Act 17 of 2022 has assisted in reducing the number of children placed in foster care by introducing the Top Up Grant.
","The output is positive.
",Underachievement is acknowledged for this indicator,"Legislative amendments in the children’s amendment Act, Act 17 of 2022 has assisted in reducing the number of children placed in foster care by introducing the Top Up Grant.

","The output is positive.
",Underachievement with reason for deviation is noted for this indicator.,"More children were placed in foster care with valid foster care orders.
",,Targeted output is achieved for this indicator.,Please provide reason for deviation and corrective action,Target not achieved. Provide reasons for deviation and corrective action.,Provide Corrective action,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.4: ECD and Partial Care,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.4: ECD and Partial Care,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.4: ECD and Partial Care,Quarterly,Number of children accessing registered partial care facilities,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",694,956,694,733,694,810,694,"895
",694,956,,,,,,More children accessed registered facilities.,,"Targeted output is underachieved, reason for deviation should have been reported.",Achieved,,Overachievement is noted for this indicator.,"More children accessed partial care facilities
",,Overachievement is noted for this indicator.,"Additional children from the newly added Partial Care Facilities
",,Reason for deviation should have been included for this overachieved indicator.,Please provide reason for deviation and corrective action,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.4: ECD and Partial Care,Quarterly,Number of registered partial care facilities,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",44,44,44,43,44,44,44,48,44,48,,,,,,Achieved.,,Targeted output is almost achieved.,"Under performance due to deregistration of partial care facility resulting from double dipping.
","Register and fund a new partial care.
",Targeted output is achieved for this indicator.,Achieved,,Targeted output achieved.,"The number of facilities was increased in Thabo Mofutsanyana
",,Targeted output is achieved for this indicator.,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.5: Child and Youth Care Centres,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.5: Child and Youth Care Centres,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.5: Child and Youth Care Centres,Quarterly,Number of children in Child and Youth Care Centres (CYCCs) reunified with their families,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",3,12,1,7,3,5,1,9,8,33,,,,,,Successful reunification is depended on the willingness of families.,,Targeted output is overachieved.,"5 neglected / abandoned babies were re-unified with families from Talita Cumi CYCC (Kids) in Bloemfontein. 
",,The same comment as above applies.,"Children who were placed on temporary safe care were successfully reunified with their families.
",,,"
Reunification is a process that is based on specific needs.

",,Reason for deviation should have been included for this overachieved indicator.,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.5: Child and Youth Care Centres,Quarterly,Number of children placed in Child and Youth Care Centres (CYCCs),Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",1075,1128,1075,1130,1075,1110,1075,"1081
",1075,1130,,,,,,Achieved,,"Targeted output is underachieved, reason for deviation should have been provided.",Achieved,,Overachievement is noted for this indicator.,Achieved,,Overachievement is noted for this indicator.," Additional CYCC was funded in Thabo Mofutsanyana.
",,Reason for deviation should have been included for this underachieved indicator.,Please provide reason for deviation and corrective action,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.6:	Community-Based Care Services for children,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.6:	Community-Based Care Services for children,Annually,Number of Child and Youth Care Workers providing Community-Based Care services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,300,297,300,297,,"3 qualified Child and youth Care workers left the program, in (2 in Qwaqwa and 1 in Kroonstad.
","The program will continue with the 297 qualified child and youth care workers.
",,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.6:	Community-Based Care Services for children,Annually,Number of site / communities were could access services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,35,35,35,35,,Achieved,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.6:	Community-Based Care Services for children,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 3: Children and Families,Sub Programme 3.6:	Community-Based Care Services for children,Quarterly,Number of children reached through Community Based Prevention and Early Intervention Programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",5800,8019,6500,6751,7100,8894,7175,"8839
",7175,8839,,,,,,More children were reached through 35 funded sites with 295 trained Child and Youth Care Workers. ,,"Targeted output is underachieved, reason for deviation should have been provided.",Achieved,,Underachievement is acknowledged.,"More children participated in the programme due to awareness on prevention services available.
",,Overachievement is noted for this indicator.,"Implementation of the training received by Child and Youth Care Workers on Risiha in Lejweleputwsa, Xhariep and Mangaung Metro.
",,Reason for deviation should have been included for this overachieved indicator.,Please provide reason for deviation and corrective action,Target not achieved. Provide reasons for deviation and corrective action.,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.1: Management and Support,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.1: Management and Support,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,Number of children in conflict with the law accessed Secure Care Centres,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"Justice, Crime Prevention and Security cluster",17,49,35,66,53,106,72,131,72,131,,,,,,More children were referred,,,"More children were referred.
",,Overachieved output is noted for this indicator.,"The indicator is depended on the referral from Department of Justice.
",,Same comment as above applies.,"The indicator is demand driven it depends on the referral from court.
",,Reason for deviation should have been included for this overachieved indicator.,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,Number of Developmental Programmes implemented at Secure Care Centres,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",5,5,5,5,5,5,5,5,5,5,,,,,,Achieved,,,Achieved,,,Achieved,,, Achieved,,,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,Number of persons in conflict with the law who completed Diversion Programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",197,212,378,493,586,798,734,"1069
",734,1069,,,,,,Successful completion of the programme depends on the cooperation and willingness of participants,,"Targeted output is underachieved, reason for deviation should have been provided.","Successful completion of the programme depends on the cooperation and willingness of participants.
",,Overachieved output is noted for this indicator.,"The indicator is depended on the referral from Department of Justice.
",,Performance is noted for this indicator but reason for deviation should have been specified for such a huge difference.,"The Indicator is demand driven it depends on the referral from court.
",,Reason for deviation should have been included for this overachieved indicator.,Please provide reason for deviation and corrective action,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,Number of persons reached through Social Crime Prevention Programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",4965,7655,4215,9132,2920,5641,2380,"11371
",14480,33799,,,,,,More people attended the programme,,"Targeted output is overachieved, reason for deviation should have been provided.","Overachievement was due to the spike of contact crimes committed leaners which prompted  accelerated intervention on crime awareness at schools (Mangaung Metro and Lejweleputswa Districts)
",,"Overachievement is noted for this indicator, reasons for deviation should have been included in this report.","Achieved. More schools were reached.
",,Performance is noted for this indicator but reason for deviation should have been specified for such a huge difference.,"The indicator was overachieved due to  additional schools in Lejweleputswa, Thabo Mofutsanyana and Fezile Dabi that requested the Department to address learners in the schools that experience behavioural problems.
",,Reason for deviation should have been included for this overachieved indicator.,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,Number of schools reached through crime prevention programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"Justice, Crime Prevention and Security cluster",0,0,25,36,25,33,25,47,75,116,,,,,,Not planned,,,Overachievement was due to additional requests and invitations from schools.,,,Achieved. More schools were reached.,,," Schools in Lejweleputswa, Thabo Mofutsanyana and Fezile Dabi requested the Department to address learners in the schools that experience behavioural problems.
",,,,Target not achieved. Provide reasons for deviation and corrective action.,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Number of beneficiaries reached through Gender Based Violence Prevention Programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",3940,11774,4920,12157,7620,13 249,2100,"13746
",18580,50926,,,,,,Awareness campaigns  were intensified  and conducted in partnership with other stakeholders ,,,"Prevention programmes were intensified to address GBVF hotspot areas resulting in wider reach of beneficiaries in Mangaung Metro.
",,,"There was high turn-out during 16 Days of Activism events.
",,,"The indicator was overachieved due to additional organizations funded in the second call for funding from Lejweleputswa, Fezile Dabi and Thabo Mofutsanyana.
",,,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Number of victims of crime and violence who accessed support services,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",830,1037,1880,3042,3080,3003,3830,4 431 ,3830,4431,,,,,,Service is need based and voluntary.,,"Targeted output is overachieved, reason for deviation should have been provided.","The service is need based and voluntary.
",,Overachievement is noted for this indicator.,"The service is voluntary and needs based
",,Performance is noted for this indicator with reason for deviation in place.,"The indicator is need driven it depend on the victim ‘s need for assistance.
",,Reason for deviation should have been included for this overachieved indicator.,,,Provide Corrective action,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Number of victims of Gender Based Violence Femicide (GBVF) and crime who accessed sheltering services,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",50,44,55,40,51,39,45,"53
",201,176,,,,,,Service is based on referrals from e.g SAPS and Health and it is also voluntary.,,Same comment as above applies.,"The indicator is demand driven.
It depends on the willingness of the client to be admitted at the shelter or safehouse.
","The Department will continue marketing the services of the shelter and safehouse during awareness campaigns as per the 365 days activities planned across the districts.
",Underachievement is noted for this indicator.,"The service is voluntary and needs based
",,Performance is noted for this indicator with reason for deviation in place.,"The indicator is need driven it depend on the victim ‘s need for assistance with shelter.
",,Reason for deviation should have been included for this overachieved indicator.,,Target not achieved. Provide reasons for deviation and corrective action.,Provide Corrective action,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of people reached through Substance Abuse Prevention Programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",11732,12382,22204,30024,30434,41065,36264,"55 780

",36264,55780,,,,,,"Achieved. Commemoration of International Day Against Drug Abuse and illicit Drug Trafficking on the 26 June at all five Districts including build up activities
",,"Targeted output is overachieved, reason for deviation should have been provided.","There were lot of requests for interventions from schools. (i.e Thabo Mofutsanyana and Fezile Dabi Districts)
",,Overachievement is noted for this indicator.,"There were additional activities that took take place to respond to the increase on the rate of substance use disorder in Petrusburg (awareness campaign) and Parys (implementing outreach programme – Siyalulama)
",,"Performance is noted for this indicator but reason for deviation should have been specified for such a huge difference.

","The indicator was overachieved due to the additional 6 organizations that were funded in the second call for funding from Mangaung Metro, Thabo Mofutsanyana, Lejweleputswa and Fezile Dabi.
",,Reason for deviation should have been included for this overachieved indicator.,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of Service Users who accessed Substance Use Disorder (SUD) treatment services,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",141,249,293,525,386,789,506,"1068
",506,1068,,,,,,"Achieved. Demand for Out Patient service was high in Parys, Sasolburg and Welkom. (Service is demand Driven).
",,"Targeted output is overachieved, reason for deviation should have been provided.","Demand for treatment was high at Out-Patient Treatment programmes (SANCA Goldfields and SANCA Sasolburg) as a result of intensified awareness campaigns. Newly established Out-patient sub-office in Sasolburg also contributed.  
","Service is demand driven
",Overachievement is noted for this indicator.,"The service is demand driven.
",,"Performance is noted for this indicator but reason for deviation should have been specified for such a huge difference.

",The indicator is need driven it depends on the service user’s willingness to access treatment,,Reason for deviation should have been included for this overachieved indicator.,,,,238
Social Development,Social Development,Free State,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of Service Users who accessed Substance Use Disorder Re-Integration and After Care Services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",53,70,109,196,148,278,197,"352
",197,352,,,,,,"Achieved.  Transfer of Service Users from Charlotte Maxeke Treatment Centre to Beyers Naude for after care services. 
",,,"The achievement has been influenced by the increased number of people discharged from the treatment programmes.  
","Service is demand driven
",,"There was an increase in the number of people who accessed reintegration and aftercare services and the service is also demand driven.
",,,"The indicator is need driven it depends on the service user’s willingness to access after Care Services..
",,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Expanded Public Works Programme (EPWP),Annually,Number of EPWP work opportunities created,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1000,1514,1000,1514,,"Additional work opportunities were reported from SWS programmes. 
",,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.1: Management and Support,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.1: Management and Support,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.2:	Community Mobilisation,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.2:	Community Mobilisation,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.2:	Community Mobilisation,Quarterly,Number of people reached through community mobilization programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",550,945,1330,3099,2140,4574,2820,"5553
",2820,5553,,,,,,More people responded to outreach campaigns,,"Targeted output is overachieved, reason for deviation should have been provided.","Joint mobilisation with SAPS in Van Stadensrus to share information on GBV and services to women contributed to the overachievement.

Preparations for outreach programmes.
",,Overachievement is noted for this indicator.,Achieved,,"Performance is noted for this indicator but reason for deviation should have been specified for such a huge difference.
","Overachievement was caused by the intensification of the Molo Makhelwane outreach campaigns and partnerships with Municipalities and other stakeholders. 

",,Reason for deviation should have been included for this overachieved indicator.,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
