Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q1,National_Q2,OTP_Q3,National_Q3,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,UID
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Sub-Programme 2.1: Public Primary Level,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Sub-Programme 2.1: Public Primary Level,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Sub-Programme 2.2: Public Secondary Level,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Sub-Programme 2.2: Public Secondary Level,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,N comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,"Sub-Programme 2.4: School Sport, Culture and Media Services",Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,"Sub-Programme 2.4: School Sport, Culture and Media Services",Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Sub-Programme 2.5: Conditional Grants,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Sub-Programme 2.5: Conditional Grants,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Annually,SOI 301: Percentage of registered independent schools receiving subsidies.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,100 %,42.19 %,100 %,42.19 %,,In terms of Section 176 of the National Norms and Standards for School Funding only schools registered as NPOs are subsidized. All those registered under other different forms of ownership are not eligible.,None,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Annually,SOI 302: Number of learners subsidized at registered independent schools,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,49540,44997,49540,44997,,"The target was based on the estimation  information by previous year, trends",N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
