Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,OTP_Q4,OTP_Q1,OTP_Q2,UID
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Sub-Programme 2.2: Public Secondary Level,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Sub-Programme 2.2: Public Secondary Level,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Sub-Programme 2.3: Human Resource Development,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,"Sub-Programme 2.4: School Sport, Culture and Media Services",Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,"Sub-Programme 2.4: School Sport, Culture and Media Services",Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Sub-Programme 2.5: Conditional Grants,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Sub-Programme 2.5: Conditional Grants,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Annually,SOI 301: Percentage of registered independent schools receiving subsidies.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,18 %,,,,18 %,,18,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Annually,SOI 302: Number of learners subsidised at registered independent schools,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,7791,,7791,,7791,None ,None ,,,,,,,,,,,,,,,,,171
