Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,DesiredPerformance,UID
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of advocacy platforms on social cohesion and nation building implemented,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",5,,5,,5,2,5,6,20,8,,,,,,,,,"Reason for Deviation
-
-
Awarding of the bursaries is at the discretion of universities depending on the cost of their courses and the number of language-related modules that are being registered for, some universities have a cheaper fee structure than others hence the additional 47 students supported.

Two (2) planned projects were not supported due inadequate evidence.
-
-
-
-
-
-
-
The target was not achieved given that previously the indicator was implemented through the SCAs whose term has ended, and the appointment of the new cohort was put on hold. The indicator has now been revised to allow for implementation without the SCAs.
",The outstanding 6 advocacy platforms will be implemented in the 4th quarter in line with the revised indicator.,The programme overachieved due to collaboration request received from the NGOs that had to be commemorated within the quarter 4 such as human rights commemoration.,-,20 or >,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of advocacy platforms on social cohesion implemented by social cohesion advocates,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",5,7,5,5,5,2,5,6,20,20,,,,,"The overachievement of 2, due to the partnership that sought the participation of the SCA in the activation.",,-,-,,,The programme overachieved due to collaboration request received from the NGOs that had to be commemorated within the quarter 4 such as human rights commemoration.,-,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of capacity building projects supported ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,0,0,-,0,-,22,22,22,0,,,,,,,-,-,-,-,-,-,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of community conversations/dialogues implemented to foster social interaction per year,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",5,5,5,5,3,3,2,2,15,15,,,,,,,-,-,-,-,-,-,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of creative industry projects supported through an Open Call.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,0,10,12,20,21,35,40,65,73,,,,,,,"Due to the high quality of applications received, the decision was to support Two (2) more projects within the allocated budget. This is because the cost differs per project (where projects cost less, more can be supported). 

",The likelihood is that the overall achievement in the coming quarters will result in overachievement as the approved number of projects is higher as per the explanation provided in the reasons for deviation.,-,-,More projects were approved for the open call. The higher projection happened on the basis of the analysis of the budgets put forward by the applicants and it was deemed fit to support more based on the availability of budget,-,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of moral regeneration movement projects supported.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",1,1,1,0,0,0,3,3,5,4,,,,,,,"When the 2nd tranche was due for disbursement it was found that the MRM still had a substantial amount of R1.8m unspent. This was due to some of the projects that they had postponed, such as the MRM Summit which was scheduled for September 2024. In this regard, Finance advised that they must spend the remaining amount or commit to spending the remaining funds before any disbursement can be affected. ",The Department has already requested the implementation plan/schedule which outlines the costed activities and timelines. The disbursement of funds will be informed by the aforementioned implementation plan/schedule. ,-,- ,-,-,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of National and Provincial flagship projects supported.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,0,2,2,8,5,15,16,25,23,,,,,,,-,-,"The Moretele Tribute concert that normally takes place in August was rescheduled for December 2024. 

OR Tambo Choral Festival and uMthiza was reported as not achieved due to outstanding evidence i.e. payment stubs as per the MoA requirement.
","The Moretele Tribute is schedule to take place on the 15th  of March 2025.



The department will expedite the support to 2 outstanding projects and make regular follow ups with beneficiary to submit evidence before 31 March 2025 or as per the MoA requirement.
",The Flagships were overachieved due to the fact that a Province like Northern Cape nominated more than two projects than the standard two flagships. The nomination of more was done within the framework of R4m per Province,-,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of progress reports on the implementation of the International Relations Strategy,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,1,1,4,4,,,,,,,-,-,-,-,-,-,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of projects supported to enable Local and International market access.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,0,0,-,9,7,6,7,15,0,,,,,,,-,-,Two (2) planned projects were not supported due inadequate evidence.,The department will expedite the support to 2 outstanding projects and make regular follow ups with beneficiary to submit evidence before 31 March 2025 or as per the MoU/MoA requirement.,One additional project was implemented as the result of backlog from the previous quarter ,-,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of youth focused arts development programmes supported.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,0,1,"1
",1,1,2,2,4,4,,,,,,,-,-,-,-,-,-,,304
