Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q4,OTP_Q3,OTP_Q1,OTP_Q2,UID
,"Sport, Arts and Culture",North West,Programme 3: Library and Archives Services ,Sub Programme Library Services,Quarterly,Number of public awareness activities conducted about libraries,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Fighting Crime,"The Social Protection, Community and Human Development cluster",18,18,N/A,N/A,Achieved as planned.,18,18,N/A,N/A,Achieved.,18,18,N/A,N/A,Achieved.,18,18,N/A,N/A,,72,72,72,N/A,N/A,,Achieved,,,,33
,"Sport, Arts and Culture",North West,Programme 3: Library and Archives Services ,Sub Programme Records and Archives,Quarterly,Number of archival groups arranged for retrieval,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"The Social Protection, Community and Human Development cluster",1,1,N/A,N/A,Achieved as planned.,1,1,N/A,N/A,Achieved.,1,1,N/A,N/A,Achieved.,1,1,N/A,N/A,,4,4,4,N/A,N/A,,Achieved,,,,33
,"Sport, Arts and Culture",North West,Programme 3: Library and Archives Services ,Sub Programme Records and Archives,Quarterly,Number of institutions allocated with disposal authority,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Fighting Crime,"The Social Protection, Community and Human Development cluster",1,1,N/A,N/A,Achieved as planned.,1,1,N/A,N/A,Achieved.,1,1,N/A,N/A,Achieved.,1,1,N/A,N/A,,4,4,4,N/A,N/A,,Achieved,,,,33
,"Sport, Arts and Culture",North West,Programme 3: Library and Archives Services ,Sub Programme Records and Archives,Quarterly,Number of oral history programmes conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Social Protection, Community and Human Development cluster",1,1,N/A,N/A,Achieved as planned.,1,1,N/A,N/A,Achieved.,1,1,N/A,N/A,Achieved.,1,1,N/A,N/A,,4,4,4,N/A,N/A,,Achieved,,,,33
,"Sport, Arts and Culture",North West,Programme 3: Library and Archives Services ,Sub Programme Records and Archives,Quarterly,Number of records management inspections conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,3. Fighting crime and corruption (2019-2024),"The Social Protection, Community and Human Development cluster",4,4,N/A,N/A,Achieved as planned.,4,4,N/A,N/A,Achieved.,4,4,N/A,N/A,Achieved.,4,4,N/A,N/A,,16,16,16,N/A,N/A,,Achieved,,,,33
,"Sport, Arts and Culture",North West,Programme 3: Library and Archives Services ,Sub Programme Records and Archives,Quarterly,Number of records management workshops conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Social Protection, Community and Human Development cluster",2,2,N/A,N/A,Achieved as planned.,2,2,N/A,N/A,Achieved.,2,2,N/A,N/A,Achieved.,2,2,N/A,N/A,,8,8,8,N/A,N/A,,Achieved,,,,33
,"Sport, Arts and Culture",North West,Programme 4: Sport and Recreation,Programme 4 Sports and Recreation,Quarterly,Number of learners participating at the district school sport tournaments,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"The Social Protection, Community and Human Development cluster",3000,142,"There is a deadlock between DBE & DSAC on how regular participation should unfold. 

The deadlock which is expected to be resolved by the end of June 2024 after a meeting that will be held between National DSAC & Provinces.",MEC ACSR & MEC Education have agreed to sign a Memorandum of Agreement to foster collaboration. ,Not achieved,3000,4053,There recovery for quarter 01 led to over achievement. ,Program Managers between the two departments to resolve the impasse.  ,"Achieved, reason for deviation and corrective action provided.",0,0,N/A,N/A,No reporting required for the quarter under review.,2000,4 171,The overachievement is part of the recovery from Quarter 1. ,Improved collaboration with federations in order to implement the programme. ,The department is encouraged to submit improvement plans to OTP for further assessment on the indicators that were not achieved in previous quarters. ,8000,8366,8366,Additional learners participated in the district school sports tournaments due to interest from schools.,N/A,,Overachieved,,,,33
,"Sport, Arts and Culture",North West,Programme 4: Sport and Recreation,Programme 4 Sports and Recreation,Quarterly,Number of people trained in Sports and Recreation Programmes,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Social Protection, Community and Human Development cluster",230,230,N/A,N/A,Achieved,290,302,More participants attended due to marketing of departmental services.,The performance will be used as benchmark for future planning.,"Achieved, reason for deviation and corrective action provided.",110,113,Federations sent more people than requested. ,The performance will be used as benchmark for future planning.,"Over-achieved, reason for deviation and corrective action provided.",50,87,Federation sent more people for the training whom could not be returned. ,Advise federation to submit the list of people attending training before the actual date of the training. ,,680,732,731,Federation sent more people who could not be returned.,N/A,,Overachieved,,,,33
,"Sport, Arts and Culture",North West,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Annually,Default ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
,"Sport, Arts and Culture",North West,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Annually,Number of sport activity coordinators contracted ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",70,60,,,,,,,,,,,,,,,,,,,70,60,71,Additional coordinator appointed to make provision for those that might leave before the end of the contract.,N/A,,,,,,33
