Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,"PROGRAMME 5: EVALUATION, EVIDENCE AND KNOWLEDGE SYSTEMS","PROGRAMME 5: EVALUATION, EVIDENCE AND KNOWLEDGE SYSTEMS",Quarterly,Number of Development Indicators Reports,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,-,-,-,-,Database updated ,"Database updated

DI 2022 data points are already included in the 2021 Development Indicators report
",None,None,Draft report,Draft Development Indicator report produced,None,None,1,1 Development Indicator report was produced,1 produced,-,1 Development Indicator report was produced,None,None,1 Development Indicator report was produced,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,"PROGRAMME 5: EVALUATION, EVIDENCE AND KNOWLEDGE SYSTEMS","PROGRAMME 5: EVALUATION, EVIDENCE AND KNOWLEDGE SYSTEMS",Quarterly,Number of reports produced on technical support provided to the DPME and other government institutions,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,-,-,-,-,Progress report ,Progress report produced,None,None,Progress report ,Progress report produced,None,None,1,"1 Report on 
technical support provided to the DPME and other government institutions was produced",1 produced,-,1 report on technical support provided to the DPME and other government institutions was produced,None,None,1 report on technical support provided to the DPME and other government institutions was produced,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,"PROGRAMME 5: EVALUATION, EVIDENCE AND KNOWLEDGE SYSTEMS","PROGRAMME 5: EVALUATION, EVIDENCE AND KNOWLEDGE SYSTEMS",Quarterly,"Number of CDMAS software solution packages developed, piloted and deployed for use",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,Progress report,Progress report on Phase 1 & 2 of CDMAS functional data was produced,None,None,Progress report,"Progress report produced

CDMAS implementation delayed by 9 months. Project still going through SITA procurement.

CDMAS tender was advertised on 29 September 2022 with a closing date of 21 October 2022. Target to appoint service provider by 3rd week of December 2022
",None,None,Progress report,"Progress report produced

Development of the software solution packages has not started due to delays in the SITA SCM process
",None,None,Progress report,"Progress report was produced 

Development of software solution packages has not started due to: 

Cancelled procurement process as service provider failed to meet tax compliance requirement

Delay in SITA procurement process
","Phase 1 & 2 of 
CDMAS functional. 
Data users can use the platform to
search, retrieve, 
analyse and
visualise data",-,"Development of CDMAS software solution packages has not started

Cancelled procurement process as service provider failed to meet tax compliance requirement

Delay in SITA procurement process
",Phase 1 & 2 CDMAS  functional Data was not deployed ,"Data Integration and Analysis (DIA) will explore other methods for meeting the business need and present a proposal on a way forward at EXCO during quarter 1 of 2023/24
","Not achieved. No
CDMAS software
solution packages
were developed,
piloted or deployed
for use
Phase 1 & 2 of CDMAS
was not realized",None,None,153
Public Enterprises,Public Enterprises,National,Pfrogramme 1: Administration and Corporate Management,Pfrogramme 1: Administration and Corporate Management,Annually,% of vacancy rate reduced ,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Not Applicable,,,,,,,,,,,,,,,,,Not achieved ,"Due to high staff turnover, the vacancy rate was not reduced by 8%",The department to continue fast-tracking the recruitment process with the necessary required skills. ,Not achieved,,,153
Public Enterprises,Public Enterprises,National,Pfrogramme 1: Administration and Corporate Management,Pfrogramme 1: Administration and Corporate Management,Quarterly,% on implementation of signed corporation agreement to reduce SOCs infrastructure vandalism through signing corporation with stakeholders ,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Not Applicable,"Determine the baseline of SOE infrastructure vandalism and theft

Develop corporation agreement with SOE and law enforcement agencies",Not achieved ,Corporation agreement were concluded due to further engagement with relevant stakeholder to be undertaken   ,Engagements to be fasttracked in the next quarters,30% of the corporation agreement milestones achieved,Not Achieved,The amount of work done have not reach the core of the content.,Comms will regularize the current engagements.,40% of the corporation agreement milestones achieved,Not Achieved.,They were delays in finalising the cooperation agreement with relevant stakeholders.,Measures to fast-track the finalisation of the agreement are being implemented to achieve the target in Q4.,50% of the corporation agreement milestones achieved ,Not achieved,50% of the corporation agreement milestone achieved,-,Not achieved,Transnet Memorandum of Understanding was not signed,Follow up to fast track the finalisation of the MoU are underway.,Not achieved,The MoUs were signed with the Transnet and Eskom ,The department to continue to work with relevant stakeholders to achieve critical milestones to address cable theft and vandalism. ,153
Public Enterprises,Public Enterprises,National,Pfrogramme 1: Administration and Corporate Management,Pfrogramme 1: Administration and Corporate Management,Quarterly,% on improvement of ICT infrastructure services and 90% of systems availability maintained,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Not Applicable,90% systems availability maintained,Not achieved,"The report on the 90% of system availability was generated, however, it needs to be aligned to the TIDs",The evidence will be corrected in the next quarter ,90% systems availability maintained,Achieved,None,None,90% systems availability maintained,Achieved.,None.,None,90% systems availability maintained,Achieved,90% systems availability maintained,-,"Achieved

An average of 99.80% systems availability was maintained ",No baseline was available for the previous financial year. Hence the actual performance may seem overstated,None,Achieved,None,None,153
Public Enterprises,Public Enterprises,National,Pfrogramme 1: Administration and Corporate Management,Pfrogramme 1: Administration and Corporate Management,Quarterly,% on media public perception survey achieved ,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Not Applicable,"Establish a baseline on DPE public perception 

Interventions plan to implement recommendations",Not achieved,The development of the intervention plan not yet completed due to additional information that is still outstanding ,catch up plan to be developed to ensure that the targets are achieved ,10% improvement against the baseline achieved,Not Achieved,There were delays in finalising the report ,The report will be finalised in Q3,20% improvement against the baseline achieved,Not Achieved.,The Media perception report was not finalised in time.,Catch up plans are developed to achieve the target.,30% improvement against the baseline achieved ,Not achieved ,30% improvement against the baseline achieved,-,Not achieved ,"DPE media perception was analysed, and the negativity rate was at 47%",DPE to continue to undertake media monitoring in the next financial year ,Not achieved,A survey on public perception was conducted and the outcome was assessed. ,The department to establish mitigation plans to improve the perception. ,153
Public Enterprises,Public Enterprises,National,Pfrogramme 1: Administration and Corporate Management,Pfrogramme 1: Administration and Corporate Management,Quarterly,% on performance management achieved as per individual performance agreements linked to APP and AOP ,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Not Applicable,80% compliance by individuals to due dates for submissions of performance agreement for current performance cycle and for Annual Performance Assessment for Non SMS for previous performance cycle ,Not achieved ,The approval of the performance management report not yet approved,The report on route for approval ,80% of SMS performance agreement aligned to APP targets and annual performance assessment for SMS for previous performance cycle,Achieved,None,None,80% compliance by individual to due dates for submission for bi-annual performance assessments for current performance cycle,"Not Achieved.
",There was less than 80% submission on bi-annual performance assessment.,Follow ups on outstanding performance assessment and ensure full compliance by February 2023 ,80% achievement report after moderation committee,Achieved ,80% achievement as per individual performance agreements linked to APP and AOP targets,-,Achieved,None,None,Achieved,None,None,153
Public Enterprises,Public Enterprises,National,Pfrogramme 1: Administration and Corporate Management,Pfrogramme 1: Administration and Corporate Management,Quarterly,% on population of ICT structure with new capabilities ,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Not Applicable,75% of ICT structure populated,Not achieved,"The sourcing of ICT capacity progressed in this quarter however, the evidence is not in line with the TIDs",The evidence will be corrected in the next quarter ,85% of ICT structure populated ,Not Achieved,The target is at 76% which is below the 85%,They are catch up plans implemented to improve and capacitate the structure,90% of ICT structure populated,Not Achieved.,Some projects were put on hold due to financial constraints.  ,Projects to be reprioritised to ensure that critical ICT projects are implemented.,90% of ICT structure populated ,Not achieved,90% of ICT structure populated,-,Not achieved,1 unfilled funded post,Position to be prioritised in the next financial year,Not achieved ,The achievement was 88% by end of the financial year against the 90% target.,The additional capacity required will be prioritised in the new financial year.,153
Public Enterprises,Public Enterprises,National,Programme 2: SOC Governance and Performance,Financial Assessment and Investment Support,Quarterly,"% of SOCs compliance reporting (ie Corporate Plans, Quarterly Reports, PFMA section 66 applications) ",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,100%  assessment compliance report received,Not achieved,The quarter report on the SOC performance not fully completed due to outstanding reports from other SOCs,The non compliance on outstanding reports to be escalated,100%  assessment compliance report received,Not Achieved,Alexkor shareholder report not submitted on time ,SOC was engaged on the non-compliance and remedies to improve are underway,100%  assessment compliance report received,Achieved.,None.,None.,100%  assessment compliance report received,Achieved,100%  assessment compliance report received,-,Achieved,None,None,Achieved,None,None,153
Public Enterprises,Public Enterprises,National,Programme 2: SOC Governance and Performance,Financial Assessment and Investment Support,Quarterly,Guidelines in SOCs seeking SEP and evaluating shareholding ie majority and minority shareholding approved ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,Draft guidelines for SOC seeking SEP (either majority or minority shareholding),Achieved,None,None,Consultations on guidelines for SOC seeking SEP (either majority or minority shareholding),Achieved,None,None,Finalise guidelines for SOC seeking SEP (either majority or minority shareholding),Not Achieved.,Consultation on the guidelines took longer than anticipated.,Inputs from other stakeholders were solicited and the guidelines is being finalised. ,Approved guidelines,Achieved,Guidelines for seeking SOC SEP (either majority or minority) shareholding approved,-,Achieved ,None,None,Achieved,None,None,153
Public Enterprises,Public Enterprises,National,Programme 2: SOC Governance and Performance,Financial Assessment and Investment Support,Quarterly,Number of DPE and SOC CFO's forum held quarterly ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,DPE and SOC CFO's forum to be held ,Not achieved,The report on the CFOs forum was concluded after the quarter has ended,the evidence will be considered in the next quarter ,DPE and SOC CFO's forum to be held ,Achieved,None,None,DPE and SOC CFO's forum to be held ,Achieved.,None.,None.,DPE and SOC CFO's forum to be held ,Achieved,Four DPE and SOC CFO's forum to be held quarterly,-,Achieved ,None,None,Achieved ,None,None,153
Public Enterprises,Public Enterprises,National,Programme 2: SOC Governance and Performance,Financial Assessment and Investment Support,Quarterly,Number of progress reports on SOCs audit findings ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,None ,None,None,None,Progress report on SOCs audit findings ,Achieved,None,None,None,Achieved.,None.,None.,Progress report on SOCs audit findings ,Achieved,Two progress reports on SOCs audit findings ,-,Achieved,None,None,Achieved,None,None,153
Public Enterprises,Public Enterprises,National,Programme 2: SOC Governance and Performance,Financial Assessment and Investment Support,Quarterly,Number of SOCs business plan developed and restructuring unit established  ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,Draft of the establishment of restructuring unit,Not achieved,The business plan on the establishment of the restructuring unit not yet concluded,the outstanding work to be fasttracked in the quarters ,Business plan of the restructuring unit,Not Achieved,Limited resources to action the target,Units are working towards an action plan to unpack the target requirements and will be discussed with all relevant stakeholders ,Consultation of the draft business plan of the establishment of the restructuring unit,Not Achieved.,The consultative progress with relevant stakeholders still underway.,Inputs from the consultative process will be consolidated for endorsement. ,Finalisation of the establishment of the restructuring unit ,Not achieved,SOCs business plan developed and restructuring unit established,-,Not achieved,Framework was developed as a guide for the restructuring process. ,None,Not achieved,The development of the business case on the establishment of the restructuring unit is currently still under way. ,The business case will be finalised in Q1 of 2023/24 financial year.,153
Public Enterprises,Public Enterprises,National,Programme 2: SOC Governance and Performance,Financial Assessment and Investment Support,Quarterly,Report on preferred option to resolve Eskom debt,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,Engagement with Eskom and key stakeholders on Eskom debt,Not achieved,The report was signed after the quarter has ended,the evidence will be considered in quarter 2,Assessment of options to resolve Eskom debt,Achieved,None,None,Assessment of options to resolve Eskom debt,Achieved.,None.,None.,Assessment of options to resolve Eskom debt,Achieved,Report on the preferred option to resolve Eskom debt,-,Achieved,None,None,Achieved,None,None,153
Public Enterprises,Public Enterprises,National,Programme 2: SOC Governance and Performance,"Governance, Legal Assurance, Risk Profiling and Mitigation",Annually,Report o activities and recommendations of PSEC,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,Annual PSEC Report on activities and recommendations ,,Achieved,None,None,Achieved,,,153
Public Enterprises,Public Enterprises,National,Programme 2: SOC Governance and Performance,"Governance, Legal Assurance, Risk Profiling and Mitigation",Quarterly,Centre of Excellence on Governance established,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,None,None,None,None,Completion of Governance Handbook,Achieved,None,None,Workshop on governance of SOCs,Achieved.,None.,None.,Governance centre of excellence on Governance established ,Achieved,Governance Centre of Excellence on Governance established,-,Achieved,None,None,Achieved,None,None,153
Public Enterprises,Public Enterprises,National,Programme 2: SOC Governance and Performance,"Governance, Legal Assurance, Risk Profiling and Mitigation",Quarterly,Government Shareholder Management Bill adopted into law by 2023,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",Shareholder Management Policy finalised,Achieved ,None,None,Development of SOE Bill,Achieved,None,None,Submission of draft Bill to Cabinet ,Not Achieved.,Drafting of the business case for HoldCo still underway.,The business case is expected to be finalised in Q4.,Introduction of Bill to Parliament ,Not achieved,SOE Bill submitted to Cabinet and Parliament,-,Not achieved,Further consultation on the Bill required,Bill to be finalised in the 2023/24 financial year,Not achieved,The consultation on the Bill is still underway.,The SEIAS process and consultation process will be finalised in 2023/24 financial l year. ,153
Public Enterprises,Public Enterprises,National,Programme 2: SOC Governance and Performance,"Governance, Legal Assurance, Risk Profiling and Mitigation",Quarterly,Number of Governance Tools (MOI) revised and approved,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,None,None,None,None,None,None,None ,None,Socialising the MOI template with Alexkor and Denel,Achieved.,None.,None.,MOI approved and standardised by the Minister ,Not achieved,Denel and Alexkor MOIs revised and approved,-,Not achieved,Further consultation with SOC on the MOI required,Engagements are set to take place in the new financial year ,Not achieved,Alexkor and Denel have not yet submitted the revised MOIs. ,The SOCs to be engaged further in the new financial year. ,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Business Enhancement Services,Quarterly,% on SOC public procurement spent on Women Owned Business,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,12% on public procurement spent on Women Owned Business,Not achieved ,The report on the procurement spent was not fully completed because of outstanding information from other SOCs,Follow up with SOCs on the outstanding information ,12% on public procurement spent on Women Owned Business,Achieved,None,None,12% on public procurement spent on Women Owned Business,Achieved.,None.,None.,12% on public procurement spent on Women Owned Business,Achieved,12% on public procurement spent on Women Owned Business,-,Achieved,None,None,Achieved,None,None,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Business Enhancement Services,Quarterly,Number of Gender Responsive Plans approved and implemented ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,Gender responsive plan developed and approved,Not achieved,the gender responsive plan not yet concluded due to protracted engagement process,The soliciting of inputs from stakeholder to be completed in the next quarter ,Report on implementation of gender responsive plan ,Achieved,None,None,Report on implementation of gender responsive plan ,Achieved.,None.,None.,Report on implementation of gender responsive plan ,Achieved,Gender responsive plan approved and implemented,-,Achieved,None,None,Achieved,None,None,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Business Enhancement Services,Quarterly,SOCs Local content verification framework developed and tested,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,Development and testing of a local content verification framework with SABS,Achieved,None,None ,Test and evaluation of the framework with one capital programme,Not Achieved,The framework was test with one capital project. ,Evaluation of the Framework will be completed in quarter 3,Test and evaluation of the framework with one capital expenditure ,Achieved.,None.,None.,Transfer capability to independently perform verification to the SOE,Achieved,Development and testing of a local content verification framework with SABS,-,Achieved,None,None,Achieved,None,None,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Energy and Resources,Quarterly,Eskom planned capacity adherence (Infrastructure/Build Programme),Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,Quarterly progress report of the infrastructure programme ,Achieved,None,None ,Quarterly progress report of the infrastructure programme ,Achieved,None,None,Quarterly progress report of the infrastructure programme ,Achieved.,None.,None.,Quarterly progress report of the infrastructure programme ,Not achieved,Four progress reports on Eskom delivery of infrastructure programme ,-,Achieved,None,None,Achieved ,Site visit as part of the monitoring of infrastructure programme will be undertaken in the year financial year. ,Site visits will be done in 2023/24 financial year.,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Energy and Resources,Quarterly,"Eskom Roadmap for reformed electricity supply industry implemented (unbundling process: transmission, generation and distribution)",Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","Engagement with Eskom, National Treasury and Department of Mineral Resources and Energy on the corporatisation of Distribution and Generation companies",Not achieved,The report on the Eskom roadmap was concluded after the quarter has ended,The evidence to be considered in the next quarter ,Progress report on the corporatisation and distribution and generation companies,Achieved,None,None,"Engagement with Eskom, National Treasury and Department of Mineral Resources and Energy on the corporatisation of distribution and generation companies ",Achieved.,None.,None.,Final report on the corporatisation and distribution and generation companies,Not achieved,Corporatisation of Distribution and Generation companies finalised,-,Not achieved,The process of corporatizing distribution and generation is still underway ,The corporatization of both distribution and generation prioritised for the 2023/24 FY ,Not achieved ,Distribution and Generation not yet corporatised ,Distribution and Generation to be corporatised in 2023/24 financial year ,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Energy and Resources,Quarterly,Increased electricity reserve margin by 15% by 2024,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",15% reserve margin achieved ,Achieved,None,None ,15% reserve margin achieved ,Not Achieved,Reserve Margin was at 1.08%,The sector to work with Eskom and other stakeholders in improving the reserved margin,15% reserve margin achieved ,Not Achieved.,Reserve margin was below 15%.,Continuous monitoring of Eskom's interventions on the implementation the generation recovery plan. ,15% reserve margin achieved ,Not achieved,15% reserve margin achieved ,-,Not achieved,reserve margin was below 15% due to low  EAF,Eskom to continue implementing performance improvement plan,Not achieved ,reserve margin performed below 15%,The department continue to engage with Eskom and monitor interventions to improve the reserve margin. ,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Energy and Resources,Quarterly,Increased energy availability factor ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Report on site visits to four power stations on monitoring implementation of Eskom interventions to increase energy availability ,Not achieved,Incomplete evidence on the number of site visits undertaken during the quarter ,Additional evidence to be submitted and considered in the next quarter ,Report on site visits to four power stations on monitoring implementation of Eskom interventions to increase energy availability,Not Achieved,3 sites visit took place during the quarter under review ,Monitor Eskom's plans to improve the energy availability factor,Report on site visits to four power stations on monitoring implementation of Eskom interventions to increase energy availability,Achieved.,None,None,Report on site visits to four power stations on monitoring implementation of Eskom interventions to increase energy availability,Achieved,Monitor implementation of Eskom interventions to increase energy availability to above 70% by 2022/23,-,Achieved,None,None,Achieved,None,None,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Energy and Resources,Quarterly,Number of progress reports on addition 1000 MW commissioned by 2024 produced,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Progress report on additional embedded generation capacity added ,Achieved,None,None ,Progress report on additional embedded generation capacity added,Achieved,None,None,Progress report on additional embedded generation capacity added,Achieved.,None.,None.,Progress report on additional embedded generation capacity added,Achieved,Four progress report on additional embedded generation capacity added,-,Achieved,None,None,Achieved,None,None,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Energy and Resources,Quarterly,Number of reports on the maintenance of the energy levels,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Quarterly progress report on Koeberg r life extended,Achieved,None,None,Quarterly progress report on Koeberg r life extended,Achieved,None,None,Quarterly progress report on Koeberg r life extended,Achieved.,None.,None.,Quarterly progress report on Koeberg r life extended,Achieved,Four reports on Koeberg Nuclear Power Plant life extended ,-,Achieved,None,None,Achieved ,None,None,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Energy and Resources,Quarterly,Signed Shareholder Compact per year (Alexkor) ,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Not Applicable,Provision of inputs on the Q4 SHC performance for 2021/2022 FY and commencement of internal consultations for 2023/24 Shareholder Compact,Not achieved ,The engagement of the SHC process to be carried over into the next quarter,Progress on the SHC process and draft compact to be submitted in the next quarter ,Provision of inputs on the Q1 SHC performance for 2021/2022 FY and commencement of internal consultations for 2023/24 Shareholder Compact,Achieved,None,None,One 2023/24 Shareholder Compacts signed (Alexkor),Not Achieved.,The negotiations took longer than expected.,Negotiation process to be concluded to ensure finalisation of the SHC by Q4.,,,One 2023/24 Shareholder Compact signed (Alexkor),-,Not achieved,"Due to further engagement required, the finalisation of the SHC was delayed ",Draft SHC finalised. The compact is expected to be signed in Q1,Not achieved ,,,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Energy and Resources,Quarterly,Signed Shareholder Compact per year (Eskom) ,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Not Applicable,Provision of inputs on the Q4 SHC performance for 2021/2022 FY and commencement of internal consultations for 2023/24 Shareholder Compact,Not achieved,the engagement of the SHC process to be carried over into the next quarter,Progress on the SHC process and draft compact to be submitted in the next quarter ,Provision of inputs on the Q1 SHC performance for 2021/2022 FY and commencement of internal consultations for 2023/24 Shareholder Compact,Not Achieved,Draft compact in place ,Consultation with all stakeholders to be finalised during Q3,One 2023/24 Shareholder Compacts signed (Eskom),Not Achieved.,The negotiations took longer than expected.,Negotiation process to be concluded to ensure finalisation of the SHC by Q4.,,,One 2023/24 Shareholder Compact signed (Eskom),-,Not achieved,finalisation of the SHC was delayed due to prolonged engagements to ensure alignment between the Department and SOC,Draft SHC finalised and is expected to be signed before end of Q1,Not achieved,,,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Energy and Resources,Quarterly,Signed Shareholder Compact per year (SAFCOL) ,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Not Applicable,Provision of inputs on the Q4 SHC performance for 2021/2022 FY and commencement of internal consultations for 2023/24 Shareholder Compact,Not achieved ,The engagement of the SHC process to be carried over into the next quarter,Progress on the SHC process and draft compact to be submitted in the next quarter ,Provision of inputs on the Q1 SHC performance for 2021/2022 FY and commencement of internal consultations for 2023/24 Shareholder Compact,Not Achieved,Draft compact in place ,Consultation with all stakeholders to be finalised during Q3,One 2023/24 Shareholder Compacts signed (SAFCOL),Achieved.,None.,None.,,,One 2023/24 Shareholder Compact signed (SAFCOL),-,Achieved,None,None,Achieved,,,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Research and Economic Modelling,Quarterly,Number of industry-specific research working papers conducted ,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Not Applicable,One industry specific research working papers conduced ,Achieved,None,None ,One industry specific research working papers conduced ,Achieved,None,None,One industry specific research working papers conduced ,Achieved.,None.,None.,One industry specific research working papers conduced ,Achieved,Four industry specific research working papers conducted ,-,Achieved ,None,None,Achieved,None,None,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Research and Economic Modelling,Quarterly,Number of reports on the implementation of Just Energy Transition Framework ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,Monitoring report on the implementation of Just Energy Transition Framework ,Achieved,None,None,Monitoring report on the implementation of Just Energy Transition Framework ,Achieved,None,None,Monitoring report on the implementation of Just Energy Transition Framework ,Achieved.,None.,None.,Monitoring report on the implementation of Just Energy Transition Framework ,Achieved,Four quarterly monitoring reports on the implementation of Just Energy Transition Framework ,-,Achieved,None,None,Achieved ,None,None,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Transport and Defence,Annually,Number of Diagnostic Reports on the root causes to the challenges of the Denel Badge/Hoefyster contract and lessons produced,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,,,,,,,,,,,,,,,Diagnostic Report on the root causes to the challenges of the Denel Badger/Hoefyster contract and lessons learned ,,Achieved,None,None,Achieved,,,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Transport and Defence,Quarterly,% increase of rail friendly commodities moved from road to rail by Transnet Freight Rail (6.2 million tons by 2023/24),Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"10% improvement of rail friendly commodities moved from road to Transnet rail, not less than 2,12mt",Not achieved,Report could not be finalised due to outstanding information ,The report to be finalised in the next quarter ,10% improvement of rail friendly commodities moved from road to Transnet rail by Transnet ,Achieved,None,None,10% improvement of rail friendly commodities moved from road to Transnet rail by Transnet ,Not Achieved.,Additional information required to monitor improvement of rail friendly commodities,Continuous engagement with the SOCs to monitor the volumes moved from road to rail  ,10% improvement of rail friendly commodities moved from road to Transnet rail by Transnet ,Not achieved,"10% improvement of rail friendly commodities moved from road to rail not less than 2,12 mt",-,Not achieved,"Improvement of rail commodities was negatively impacted by, amongst others, cable theft, vandalism of infrastructure. and shortages of locomotives.",Progress on road to rail movement is being monitored.,Not achieved ,Transnet was affected by theft and vandalism which resulted in the loss of volumes. ,Mitigation plans to be monitored to curb the scourge of theft and vandalism. ,153
Public Enterprises,Public Enterprises,National,Programme 3 - Business Enhancement and Industrialisation ,Transport and Defence,Quarterly,Framework for the Shareholder Oversight Model for SOCs with a minority Government Shareholding developed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,None,Not achieved ,Report could not be finalised due to outstanding information ,The report to be finalised in the next quarter ,None,None,None,None,Draft Proposal Framework for the Shareholder Oversight Model for SOCs with a minority Government Shareholding,Not Achieved.,Draft Proposal framework not finalised ,Engagement with the service provider on the framework developed were finalised. It is anticipated that the framework will be finalised in Q4. ,Final Proposal Framework for the Shareholder Oversight Model for SOCs with a minority Government Shareholding developed ,Not achieved ,Proposal Framework for the Shareholder Oversight Model for SOCs with a minority Government Shareholding developed,-,Not achieved,Engagements with relevant stakeholders to solicit inputs. ,Engagements took longer than anticipated.,Not achieved ,Draft framework was developed,It is anticipated that the draft will be finalised in Q1 of 2023/24 after soliciting inputs from relevant stakeholders. ,153
