Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,OTP_Q2,DesiredPerformance,National_Q1,National_Q2,National_Q3,National_Q4,UID
Social Development,Social Development,Eastern Cape,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,  Number of persons reached through Gender Based Violence prevention programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",20688,32633,"There’s overachievement in the
eight (8) Districts on number of
people reached during this period.
Intensification on prevention
programmes is due to escalating
rate of GBVF in the Province.","Prevention programmes are key
as they play major role in the
fight against the scourge of
GBVF.",,25387,36793,There’s overachievement in the eight (8) Districts on number of people reached during this period. Intensification on prevention programmes is due to escalating rate of GBVF in the Province. ,Prevention programmes are key as they play major role in the fight against the scourge of GBVF. ,30319,33 442 ,There’s overachievement in the eight (8) Districts on number of people reached during this period. Intensification on prevention programmes is due to escalating cases of GBVF in the Province. ,-,20574,28 817 ,The overachievement is due to positive response as increased number of people attended the prevention programme.,Prevention programmes are key as they play major role in the fight against the scourge of GBVF. ,,96968,131685,,,,,,,,,,,"Overachievement is noted for this indicator, reason for deviation and corrective action are acknowledged.",295
Social Development,Social Development,Eastern Cape,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,0,-,-,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Number of victims of crime and violence accessing support services,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",4631,5074,"Over achievement in the 7 Districts
namely; Alfred Nzo, Amathole,
BCM, Chris Hani, Joe Gqabi, NMM
and Sarah Baartman – NMM with
more victims accessed support
services.
Under achievement in OR Tambo
District.","Intensification of prevention
programmes to prevent
escalating incidences of
victimisation and the scourge of
gender based violence and
femicide.",,9402,10631,"Over achievement in the following Districts; Alfred Nzo, Amathole, BCM, Chris Hani, Joe Gqabi and NMM due to increased incidences of gender based violence and femicide in the Province. 

Underachievement in OR Tambo Sarah Baartman.
",Intensification of prevention programmes to prevent escalating incidences of victimisation and the scourge of gender based violence and femicide. ,14511,15201,Over achievement is due to the increase of reported social ills inclusive of escalating cases of gender-based violence and femicide in the Province. ,Intensification of prevention programmes to prevent escalating incidences of victimization and the scourge of gender-based violence and femicide. ,19748,20713,Over achievement is due to the increase of reported social ills inclusive of escalating cases of gender-based violence and femicide in the Province. ,"Intensification of prevention programmes to prevent escalating incidences of victimization and the scourge of gender-based violence and femicide. 

",,19748,20713,,,,,,,,"Targeted output is overachieved, reason for deviation and corrective action are noted.",Overachievement is noted with reason for deviation and corrective action in place.,Performance is noted for this indicator with reason for deviation and corrective action in place.,Performance is noted for this indicator with overachievement reported.,295
Social Development,Social Development,Eastern Cape,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,0,-,-,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of people reached through substance abuse prevention programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",30054,34028,"The over-achievement is due
to an increased number of
people who attended
substance abuse prevention programmes",-,,30010,37440,The over-achievement is due to an increased number of people reached through substance abuse prevention programmes.,-,27349,31659,The over-achievement is due to an increased number of people who voluntarily attended substance abuse prevention programmes.,-,23783,32 721,The over-achievement is due to an increased number of people who voluntarily attended substance abuse prevention programmes.,-,,111196,135848,,,,,,,,Overachievement is noted for this indicator.,Overachievement is noted for this indicator.,Overachievement for this indicator is noted,"Overachievement is noted for this indicator, reason for deviation is acknowledged.",295
Social Development,Social Development,Eastern Cape,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of service users who accessed Substance Use Disorder (SUD) treatment services,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",397,478,"The over-achievement is due to an
increase in the number of service
users who approached the
Department for treatment and
rehabilitation",-,,797,954,The over-achievement is due to an increase in the number of service users who accessed Substance Use Disorder Treatment Services,-,1294,1261,The under – achievement  is due to a decrease  in the number of service users who approached the Department for treatment and rehabilitation.,Intensify implementation of public education campaigns to create greater awareness about available substance use disorder service,1921,1700,The under – achievement  is due to a lesser number of service users who approached the Department and registered treatment centres for treatment and rehabilitation,Intensify implementation of public education campaigns to create greater awareness about available substance use disorder services.,,1921,1700,,,,,,,,"The same comment as above applies, submission is noted.",The same comment as above applies.,Performance is noted for this indicator with reason for deviation in place.,"Overachievement is noted for this indicator, reason for deviation is acknowledged.",295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.1: Management and Support,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.1: Management and Support,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,,,,,0,,,,0,0,,,0,,,,,0,0,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.1: Management and Support,Quarterly,Number of External Stakeholders managed to support Programme Implementation,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",0,0,-,-,,7,0,The stakeholders are in the pipeline to be approved,The signing of agreements will be considered in the next quarter,8,5,The stakeholders are in the pipeline to be approved,The signing of agreements will be considered in the next quarter,0,0,-,-,,15,5,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.1: Management and Support,Quarterly,Number of management support services coordinated,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",8,8,-,-,,8,8,-,-,8,8,-,-,12,12,-,-,,36,36,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.2:	Community Mobilisation,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.2:	Community Mobilisation,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,,,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.2:	Community Mobilisation,Quarterly,Number of communities organized to  coordinate their own Development,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",80,93,The achievement is as a result of positive interest shown by communities working closely with other stakeholders in the advancement of their developmental matters,Districts will have to align and plan according to their targets,,63,62,The under-achievement is as result of some districts which over -achieved their targets during the First Quarter,The districts will have to align their targets according to their plans.,46,53,Engagement of communities with DSD officials through dialogues and community profiling and partnership with other stakeholders led to more community development structures established.,-,19,19,-,-,,208,19,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.2:	Community Mobilisation,Quarterly,Number of people reached through  Community Mobilization  Programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",8008,9583,"The over achievement is as a result of collaboration and integrated approach between district officials, sector departments and other critical stakeholders when rendering social mobilization programmes and integrated service delivery into communities",Districts will have to align and plan according to their targets,,17364,20 232,The over – achievement is as a result of engagement with other stakeholders including sector departments and other activities conducted through community mobilization programmes,The districts will have to align their targets according to their plans.,25244,29 375,"The over–achievement is as a result of engagement with other stakeholders including sector departments during October Month,16 days of Activism, World Aids Day and other activities conducted through community mobilization programmes.",-,34007,37 544,"The over achievement is as a result of collaboration and integrated approach between district officials, sector departments and other critical stakeholders when rendering social mobilization programmes and integrated community registration outreach programmes into communities.","Joint planning with other stakeholders and sector departments when setting targets is of paramount importance to minimize over-achievements.
",,34007,37544,,,,,,,,Overachievement with reason for deviation is noted.,Overachievement is noted for this indicator.,Performance is noted for this indicator with reason for deviation in place.,"Overachievement is noted for this indicator, reason for deviation is acknowledged.",295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,,,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Quarterly,Number of Cooperatives capacitated,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",42,61,"Collaboration with Stakeholders in Financial Sector to assist with capacity Building on Basic Bookkeeping & Financial Management, Marketing as well as Governance.
This has resulted to over achievement.
",Collective planning with Stakeholders will be implemented,,60,81,The change of strategy to utilise government entities to train at no cost and partnerships created led to increased interest from the identified partners,The annual target to increase in the next financial year,81,59,"Under performance  is evident at Amathole : DRDAR could not conduct training due  to  competing priorities
Chris Hani: Bad weather conditions affected the  planned activities
O.R.Tambo: Shortage of staff  to conduct training 
Sarah Baartman:  Transport challenges  
NMM: Delays from the Stakeholders in implementing the planned training
",Recovery plans developed  by all districts and implementation is closely monitored,14,61,"The over performance occurred in Nelson Mandela Metro, Sarah Baartman, OR Tambo & Joe Gqabi due to the partnerships with other stakeholders.",-,,197,262,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Quarterly,Number of NPOs capacitated ,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",79,117,"In- house collaborated with other Stakeholders in Financial Sector, to assist with capacity building on Basic Bookkeeping and Financial Management.
This has resulted to over achievement
",Collective planning with Stakeholders will be implemented,,179,168,This was a mitigation measure for the over performance in the previous quarter,The Department will endeavor to work according to set targets in the next Quarter ,144,145,"There was an increased interest of organizations (non-funded) to join the trainings after the advertisement of Financial Awards,
OR Tambo had an urgent request from the man’s forum to be trained due to lack of project management skills and
2 NPOs that were not targeted requested the training at Sarah Baartman.
",-,41,44,"The overperformance occurred in Nelson Mandela Metro, Sarah Baartman & Joe Gqabi due to the partnerships with other stakeholders",-,,443,474,,,,,,,,Overachievement is noted for this indicator.,Performance is noted for this indicator.,Overachievement for this indicator is noted.,"Overachievement is noted for this indicator, reason for deviation is acknowledged.",295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Quarterly,Number of work opportunities created  through EPWP,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",3646,2682,Upon verification for the month of June it was noted that Districts are busy compiling and consolidating a database for the remaining  962 work opportunities created,The EPWP Unit is working with the affected Districts for final verification.,,3646,3638,"The transition in rolling out new strategies intended to improve governance and working towards institutionalization of the EPWP, unintentionally resulted in delays in the completion of other processes by the end of the Quarter.",Working and speeding up the outstanding process to ensure they are completed by the end of the October.,3646,3653,Additional work opportunities were created as part of the recovery plan. ,"The Department to ensure that implementation is per planned targets 
",3646,3 683, This is due to a recovery plan that resulted in the creation of additional work opportunities.,The Department will be working on ensuring that implementation is as planned,,3646,3683,,,,,,,,Underachievement is noted for this indicator with reason for deviation and corrective action in place.,Performance noted for this indicator.,,Performance is noted for this indicator with underachievement reported.,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,,,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of Anti-Poverty initiatives coordinated in line with the 5 Pillars of the Anti-Poverty Strategy,Non-Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",5,5,-,-,,5,5,-,-,5,5,-,-,5,5,-,-,,5,5,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of CNDC participants involved  in developmental initiatives,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",133,273,"Partnership with Dept of health, DRDAR, TARDI cooks’ trainings and participation on ICROP programmes increased the number of CNDC participants involved on developmental activities.","Continue engaging more relevant partners for integrated service delivery approach  


",,231,256,"Partnership with Dept of health, DRDAR, TARDI cooks’ trainings and participation on ICROP programmes increased the number of CNDC participants involved on developmental activities.",-  ,196,209,"Partnership with Dept of health, DRDAR, and Private companies on CNDC beneficiary trainings and participation on ICROP during October month increased the number of CNDC participants involved on developmental activities.",-,90,177,"NDSD training on Quality assurance food Nutrition Programme in BCM, NMM and Sarah Baartman, and Partnership with Dept of health, DRDAR, and Private companies on CNDC beneficiary trainings, increased the number of CNDC participants involved on developmental activities",Continue engaging more relevant partners for integrated service delivery approach  ,,650,915,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of cooperatives linked to  economic opportunities ,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",21,28,Sarah Baartman and Joe Gqabi good working relations with local Municipality and economic development including mobilization of potential local suppliers with quality produce to supply CNDCs and other DSD feeding Centers on continuous bases increased the number cooperatives linked to economic opportunities.,To continue working closely with local Municipalities and economic development for database access and support of external cooperative with potential supply,,45,53,Sarah Baartman and Joe Gqabi good working relations with local Municipality and economic development including mobilization of potential local suppliers with quality produce to supply CNDCs and other DSD feeding Centers on continuous bases increased the number cooperatives linked to economic opportunities,-,41,56,"Nelson Mandela, Sarah Baartman and Joe Gqabi good working relations with local Municipality, private companies and economic development including mobilization of potential local suppliers with quality produce to supply CNDCs and other DSD feeding Centers on continuous bases increased the number cooperatives linked to economic opportunities.",-,28,29,"NMM, Sarah Baartman, Alfred Nzo and Chris Hani good working relations with local Municipality, Private companies on Local Economic development. Continuous Mobilization of potential local suppliers with quality produce to supply CNDCs and other DSD Feeding Centers increased the number cooperatives linked to economic opportunities",To continue working closely with local Municipalities and economic development for database access and support of external cooperative with potential supply.,,135,166,,,,,,,,Overachievement is noted for this indicator.,Targeted output achieved for this indicator.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Performance is noted for this indicator with overachievement reported.,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of households accessing food  through DSD food security programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",55,165,"Early disbursement of funds Resulting to implementation of crop production activities to Alfred Nzo, BCM, Amathole and Chris Hani Household food gardens ","To continue maintaining support all   households to comply to DSD procurement policies   for an improved service delivery.




",,181,275,"implementation of crop production activities as CNDC developmental activities in NMM, Amathole and O.R. Tambo increased the number    Household accessing food through DSD food security programmes",-,287,289,"implementation of crop production activities as CNDC developmental activities in NMM, Amathole, BCM, Alfred Nzo and O.R. Tambo increased the number    Household accessing food through DSD food security programmes",-,302,316,"implementation of crop production activities as CNDC developmental activities in NMM, Amathole and O.R. Tambo increased the number    Household accessing food through DSD food security programmes",-To motivate more CNDC beneficiaries and households to strengthen crop production as part of sustainability plan all year round ,,302,316,,,,,,,,Targeted output is overachieved with reason for deviation in place.,Overachievement noted for this indicator.,Overachievement is noted for this indicator with reason for deviation in place.,Performance is noted for this indicator with overachievement reported.,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of people accessing food  through DSD feeding programmes  (centre-based).,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",5033,5839,Early approval of master list and Early disbursement of funds to existing CNDCs in all districts resulted to the increased number of people accessing food on DSD feeding Centres,"To continue monitoring and support of all CNDCs in order comply to DSD procurement policies   for an improved service delivery.


",,5409,6041,"Continuous household profiling, ICROP interventions and household with child malnutrition referrals to CNDCs increased the number of people benefiting from poverty reduction Initiatives ",-  ,6168,6494,"Continuous household profiling on intake of CNDC beneficiaries in NMM, Chris Hani and Sarah Baartman and integration of shelter residents in NMM and BCM to nearby CNDC increased the number of people benefiting from poverty reduction Initiatives","-
",6346,6 618,"Continuous household profiling, ICROP interventions and household with child malnutrition referrals to CNDCs increased the number of people benefiting from poverty reduction Initiatives ",To mobilize more additional resource from private donors in order to afford support of additional beneficiaries to poverty Reduction and nutrition programme,,6346,6618,,,,,,,,The same comment as above applies.,Reasons for deviation and corrective action provide for this indicator with overachievement. ,Same comment as above applies.,Performance is noted for this indicator with overachievement reported.,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of people benefiting from  poverty reduction initiatives,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",5167,6135,Early approval of masterlist and allocation letters resulted to early disbursement of funds and increased number of people benefiting from poverty reduction initiatives.,To continue maintaining support of all CNDCs and households to comply to DSD procurement policies   for an improved service delivery.,,5625,6344,"Continuous household profiling, ICROP interventions and household with child malnutrition referrals to CNDCs increased the number of people benefiting from poverty reduction Initiatives ",-,6462,6662,"Continuous household profiling on intake of CNDC beneficiaries in NMM, Chris Hani and Sarah Baartman and integration of shelter residents in NMM and BCM to nearby CNDC increased the number of people benefiting from poverty reduction Initiatives. ",-  ,6648,7 093,"Continuous household profiling, ICROP interventions and household with child malnutrition referrals to CNDCs increased the number of people benefiting from poverty reduction Initiatives ",To mobilize more additional resource from private donors in order to afford support of additional beneficiaries to poverty Reduction and nutrition programme.  ,,6648,7093,,,,,,,,Overachievement is noted for this indicator.,Overachievement is noted for this indicator. reasons for deviation and corrective action are noted. ,Overachievement is noted for this indicator with reason for deviation in place.,Performance is noted for this indicator with overachievement reported.,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of Stakeholders mobilized for implementation of the Provincial Integrated Anti- Poverty Strategy,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",2,2,-,-,,2,3,Overachievement is due to new stakeholders being conscientized and willing to respond to the needs of the targeted poorest wards,-,2,5,Stakeholders responded positively on provided services to poorest wards,.,2,4,Stakeholders responded positively on providing services to poorest wards,"-
",,8,14,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,,,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Number of Communities profiled in a  ward,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",31,31,-,- ,,67,82,Employment of EPWP participants has led to the overachievement as the CDPs managed to focus on development of community profiles.,-,51,56,Community profiles were made as a result of the high number of call for proposals submitted. In order for the project to access funds it has to be assessed through a PRA document.,-,14,17,More PRAs were achieved,-,,163,186,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Number of Community-Based Plans  developed,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",8,10,Chris has developed more CBPs due to request from stakeholders,-,,36,43,During the second quarter the department advertised the call for proposal for the Cooperatives and NPOs to apply for funding. Community Based Plan is one of the crucial requirements to access the funds and more were developed through the application processes which led to overachievement of the planned targets.,-,99,112,Community based plans are a requirement for the projects to access departmental funds for the community project,-,155,166,Community based plans are a requirement for the projects to access departmental funds for the community project,-,,155,166,,,,,,,,"The same comment as above applies, submission is noted.","Targeted output not achieved, reason for deviation and corrective action noted. ",Overachievement with reasons for deviation is noted.,"Reason for deviation is noted with targeted output overachieved for this indicator.

",295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Number of households profiled ,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",7521,7691,ICROP has led to more profiling of households.,-,,16030,17275,Due to Child Poverty & Malnutrition program that had households to be profiled. NYS and expanded public works program participants are more focusing on household profiling.,-,22472,24 619,The national events held around the province had an impact in the overachievement in the indicator,-,29013,30 251,"Employment of EPWP participants, Icrop events and the national events held around the province had an impact in the overachievement in the indicator",-,,29013,30251,,,,,,,,Overachievement is noted for this indicator.,Overachievement is noted for this indicator.,Performance is acknowledged for this indicator.,"Reason for deviation is noted with targeted output overachieved for this indicator.

",295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Number of profiled households linked to  sustainable Livelihood programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",716,888,ICROP events have created more opportunities for empowerment programs.,-,,1538,1806,Newly partnerships created for sustainability programs to the profiled households,-,2192,2488,More internal arrangement partnerships of programs have led to overachievement. There are arrangements for sustainable livelihood programs with outside stakeholders for profiled households.,,2764,2 895,Support from the local and districts informal partnerships at district level has caused the overachievement. There are arrangements for sustainable livelihood programs with outside stakeholders for profiled households.,-,,2764,2895,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,,,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Social Development,Social Development,Eastern Cape,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,Number of youth development  structures supported,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",158,156,Two youth development structure could not be supported due to limited resources,"Strengthening the existing and proper allocation of resources to achieve the required norms and standards

",,158,161,More youth structures were reached to drive the youth developmental agenda of curtailing high levels of unemployment and poverty among young people,-,158,163,More Youth development structures supported due to partnerships with stakeholders. ,-,158,157,One (1) Youth development structure could not be supported due to limited resources.,Strengthening the existing and proper allocation of resources to achieve the required norms and standards,,158,163,,,,,,,,Targeted output is achieved for this indicator.,Targeted output achieved for this indicator.,Targeted output achieved for this indicator.,"Reason for deviation is noted with targeted output overachieved for this indicator.

",295
