Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Government Financial Statistics,Annually,12.1 Number of releases on the financial statistics of national government with audited data published: 1 annual release on the financial statistics of national government with audited data published by June 2022 ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Government Financial Statistics,Annually,12.10 Number of research reports on the feasibility study for QFSSM administrative data compiled: 1 research report on feasibility study for QFSSM administrative data compiled by March 2023,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Government Financial Statistics,Annually,12.11 Number of research reports on the inclusion of the TVET in HEI release compiled: 1 research report on the inclusion of the TVET in the HEI release compiled by March 2023,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Government Financial Statistics,Annually,12.2 Number of releases on the financial census of municipalities published: 1 annual release on the financial census of municipalities published by July 2022,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Government Financial Statistics,Annually,12.3 Number of releases on the capital expenditure of the public sector published: 1 annual release on the capital expenditure of the public sector published by October 2022,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Government Financial Statistics,Annually,12.4 Number of releases on the financial statistics of extra-budgetary accounts and funds with audited data published: 1 annual release on the financial statistics of extra-budgetary accounts and funds with audited data published by August 2022,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Government Financial Statistics,Annually,12.5 Number of releases on the financial statistics of provincial government with audited data published: 1 annual release on the financial statistics of provincial government with audited data published by September 2022,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Government Financial Statistics,Annually,12.6 Number of releases on the financial statistics of higher education institutions with audited data published: 1 annual release on the financial statistics of higher education institutions with audited data published by October 2022,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Government Financial Statistics,Annually,12.7 Number of releases on the financial statistics of consolidated general government with audited data published: 1 annual release on the financial statistics of consolidated general government with audited data published by November 2022,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Government Financial Statistics,Annually,12.9 Number of releases on the non-financial census of municipalities published: 1 annual release on the non-financial census of municipalities published by March 2023,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,Achieved early due to reprioritisation,,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Government Financial Statistics,Quarterly,12.8 Number of releases on financial statistics of municipalities published with a four month lag: 4 quarterly releases on financial statistics of municipalities published,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,4,,,4,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Price Statistics,Annually,10.5 Number of reports with experimental Residential Property Price Indices compiled: 1 report with experimental Residential Property Price Indices compiled by December 2022,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,,1,Compiled in March later than scheduled due to internal processes,NA,1,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Price Statistics,Quarterly,10.1 Number of CPI releases published within one month of the reference period: 12 monthly CPI releases published as scheduled ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,3,3,3,3,3,12,12,12,,,12,,,,,3,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Price Statistics,Quarterly,10.2 Number of PPI releases published within one month of the reference period: 12 monthly PPI releases published as scheduled,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,3,3,3,3,3,12,12,12,,,12,,,,,3,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Price Statistics,Quarterly,10.3 Number of CMPI releases published within one month of the reference period: 12 monthly CMPI releases published as scheduled ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,3,3,3,3,3,12,12,12,,,12,,,,,3,,,,246
