Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Transport,Transport,North West,Programme 4: Transport Regulation ,Sub-Programme 4.1: Programme Support Regulation,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 4: Transport Regulation ,Sub-Programme 4.1: Programme Support Regulation,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 4: Transport Regulation ,Sub-Programme 4.2: Transport Administration and Licensing,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 4: Transport Regulation ,Sub-Programme 4.2: Transport Administration and Licensing,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,0,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 4: Transport Regulation ,Sub-Programme 4.2: Transport Administration and Licensing,Quarterly,Number of compliance inspections conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",25,25,25,25,26,26,25,23 ( 9 RA & 6 DLTC & 8 VTS),101,76,99,The sub-programme experienced a delay from SAPO regarding the anticipated re-opening of the previously operated sites,The sub-programme will readjust its annual performance target to include active sites only and revisits its target upon final activation of the SAPO.,,None,None,None,None,None,None,The sub-programme experienced a delay from SAPO regarding the anticipated re-opening of the previously operated sites,The sub-programme will readjust its annual performance target to include active sites only and revisits its target upon final activation of the SAPO,44
Transport,Transport,North West,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of drunken driving operations conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",320,320,280,280,330,330,250,250,1180,1180,1180,None ,None ,,None,None,None,None,None,None,None,None,44
Transport,Transport,North West,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of pedestrian operations conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",90,90,56,56,105,105,56,56,307,307,307,None,None,,None,None,None,None,None,None,None,None,44
Transport,Transport,North West,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of road safety awareness interventions conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,0,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of schools involved in road safety education,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,0,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of speed operations conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",3100,3100,2900,2900,3200,3200,2800,2800,12000,12000,12000,None ,None,,"None
",None,None,None,None,None,None,None,44
Transport,Transport,North West,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of vehicles stopped and checked,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",319000,319005,310000,310001,321360,321360,309000,309000,1259360,1259366,1259360,None,None,,None,None,None,None,None,None,None,None,44
Transport,Transport,North West,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of vehicles weighed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",63075,89623,63075,"	
95025",63075,85744,63075,75 154,252300,345546,358849,The indicator is demand driven. Target was set based on the previous year baseline with no idea as to what the  actual weighed traffic flow will be will be higher than the planned.,,,"The 
overachievement of 26 548 was due re-directing of trucks at weighbridges as a result of non-functioning weigh-in Motion systems at the Potchefstroom Lichtenburg weighbridges. And also to deal with the operators who have outstanding warrants of arrest due to non-compliant drivers at all weighbridges which this also led to an overachievement at Bapong, Koster and Zeerust weighbridges.",None,"Overachievement of 31950 is due to demand at our Provincial weighbridges.	
",None, An overachievement of 22 669 was as a result of demand at the weighbridges..,None,The overachievement could not be avoided due to the indicator being demand driven.,None,44
