Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,UID
Transport,Transport,Free State,Programme 3: Transport Operations ,Sub-Programme 3.5: Infrastructure Operations,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.2: Transport Administration and Licensing,Quarterly,Collected outstanding eNATIS dept. ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,Not Applicable,18750000,28135755.05,18750000,21262984,18750000,"
21886077",18750000,18915386,75000000,28135755,90202202.05,"The over collection is a result of penalties and arrears collected when clients are settling their outstanding motor licenses. Further over the achievement is as result of debt recovery strategy of the department. To enhance recovery of debt the department has embark instalment settlement strategy and placing admin mark on all defaulting accounts. After final verification, a typo was identified in Quarter 2 submission which resulted in a shortfall of R2000.
",,,,The over collection is a result of penalties and arrears collected when clients are settling their outstanding motor licenses. Further over the achievement is as result of debt recovery strategy of the department. To enhance recovery of debt the department has embark instalment settlement strategy and placing admin mark on all defaulting accounts.,,,"The over collection is a result
of penalties and arrears
collected when clients settle
their outstanding motor 
licenses. Further, the over achievement is as result of 
debt recovery strategy of the department. To enhance 
recovery of debt the 
department has embarked on instalment settlement strategy and placing admin mark on all defaulting accounts.
",,, The over collection is a result of penalties and arrears collected when clients are settling their outstanding motor licenses. Further over the achievement is as result of debt recovery strategy of the department. To enhance recovery of debt the department has embark instalment settlement strategy and placing admin mark on all defaulting accounts.,,,"The over collection is a result of penalties and arrears collected when clients are settling their outstanding motor licenses. Further over the achievement is as result of debt recovery strategy of the department. To enhance recovery of debt the department has embark instalment settlement strategy and placing admin mark on all defaulting accounts.
",,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.2: Transport Administration and Licensing,Quarterly,Departmental revenue collection.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,Governance and Administration cluster,209701250,,210990750,272075918,226500000,"
226876896
",200000000,"230883
373
",847192000,498953044,914895633,"Over Achievement is because of the following:
•Increase of the vehicle population for both used and new during the 2024/25 financial year
•Vehicle renewal cycle
•Reopening of Vredefort and Koppies Registration authorities
•Demand for compliance document (such as Permits, Learners Licences,  Driving Licenses etc), as Law Enforcement efforts has been intensified throughout the Province.
Over Achievement is because of the following:
•Increase of the vehicle population for both used and new during the 2024/25 financial year
•Vehicle renewal cycle
•Reopening of Vredefort and Koppies Registration authorities
•Demand for compliance document (such as Permits, Learners Licences,  Driving Licenses etc), as Law Enforcement efforts has been intensified throughout the Province.


",,,,,,,"Challenges relating to supply of face values were addressed.
Reconciliations were performed between the Historically after Covid more vehicles are due for renewals in the 2nd and 3rd Quarters of the financial year.
",,,"The over achievement is because of the following:
- Festive season journeys
- Number of new vehicles registered 
- Renewal circle of all class of vehicles

",,,"Over Achievement due to:
•Increase of the vehicle population for both used and new during the 2024/25 financial year
•Vehicle renewal cycle
•Reopening of Vredefort and Koppies Registration authorities
•Demand for compliance document (such as Permits, Leamers,  License etc), as Law Enforcement efforts has been intensified throughout the Province.

",,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.2: Transport Administration and Licensing,Quarterly,Departmental revenue collection.,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,Not Applicable,209701250,185059446,209701250,Target is revised ,209701250,,209701250,re tabled ,838805000,185059446,185059446,Annual target amended and re-tabled in Q1,,,,"The under collection was due to non-availability of face value documents throughout the Province. This emanates from Government Printing works supply challenges, due to production deficiencies. Further there were account discrepancies between the department and GPW.

Face value documents were received on 26 June 2024 and distributed to all registration authorities and active posts offices
","1.	Perform a reconciliation between departmental and GPW accounts (SCM)
2.	Settlement of GPW outstanding amounts by all affected directorates (Finance)
3.	Order enough stock in advance, to address future shortages. (TAL)

Time frame: 
30 September 2024
",,Target is revised ,Target is revised ,,,,,,,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.2: Transport Administration and Licensing,Quarterly,Number of compliance inspections conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",64,64,64,64,64,"
64",64,64,256,256,256,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of drunken driving operations conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",15,8,15,20,15,"
18",15,15,60,61,61,"Consistent planning is 
concentrating on the reduction of 
fatal crashes. Planned alcohol operations in the province were conducted whereby all 5 regions participated at random areas on identified critical areas in the regions. 
These operations were held in collaboration with stakeholders
Taking part in the operations namely SAPS, EMS ( Emergency Medical Services ) & RTMC ( National Traffic Police )

",,,,"Due to insufficient number of blood kits. The Department is still awaiting the delivery from the supplier. 
","Officers will utilize the Alcohol Evidence units to address the arrears

Time frame:
31 March 2025
",,"Normal Law Enforcement activities with enough 
resources resulted in
achieving the target and focus on the shortfall of the first quarter.
",,,"Three (3) additional sporadic 
alcohol operations were added to
the initial plan to address
emerging law enforcement challenges.
",,,,,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of GG vehicles screened (Government fleet).,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",750,455,750,1011,750,"
843",750,781,3000,3090,3090,"More focus on GG Vehicles were identified and screened during Law Enforcement activities around the province. This resulted in curbing the misuse of government vehicles.

",,,,"Few GG Vehicles were identified and screened during Law Enforcement activities around the province. 
","Extra activities for screening will be conducted to cover for under achievement of Q1
 
",,More focus on GG Vehicles were identified and screened during Law Enforcement activities around the Province. ,,,More focus on GG Vehicles were identified and screened during Law Enforcement activities around the province  ,,,"More focus on GG Vehicles were 
identified and screened during Law Enforcement activities around the 
province.
",,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of K78 roadblocks held,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",90,97,90,95,90,"
92
",90,90,360,374,374,"Planned Roadblocks in the province were conducted where all 5 regions participated, mainly on identified critical areas. These were held in collaboration with stakeholders taking part in the operations namely RS 
SAPS EMS etc.
 
",,,,"More Law Enforcement activities took place during this quarter period,
inclusive of the Easter period, which resulted in more roadblocks that was conducted in the Province.
",,,"More Law Enforcement activities took place during Quarter 2 as more roadblocks were conducted aligned with woman month activities and school holidays.
",,,Over achievement due Intensified Law Enforcement operations during festive period.,,,,,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of Law Enforcement staff provided with training on prescribed legislation / regulations.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Education, innovation and skills development","Justice, Crime Prevention and Security cluster",175,175,175,175,100,"

100",150,150,600,600,600,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of pedestrian operations conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",15,13,15,15,15,"
22",15,15,60,65,65,"Continuous visible policing at the Pedestrian hiking spots discouraged pedestrians from hiking. Continuous policing at these areas resulted in much lessor hiking. The enforcement 
of visible policing at early morning hours are key.


",,,,"Two planned operations were deferred due to an emergency that needed re-deployment of  officers to an obstruction on the  N8  north . 
","More activities will be conducted to cover for the under achievements in Q1.
",,,,,Over achievement due Intensified Law Enforcement operations during festive period.,,,,,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of road safety awareness interventions conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",100,100,50,50,150,150,50,50,350,350,350,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of schools involved in road safety education,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",125,125,100,100,50,50,125,125,400,400,400,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of speed operations conducted,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",528,26,264,0,528,"
74",528,0,1848,100,100,"The non-issuing of Type approval certificate from NRSC (National Regulator for Compulsory Specifications) made speed operations not executable. 

","continuous engagements with
National Regulator for Compulsory Specifications ",,,All three speed measuring equipments in the Province had to be taken in for repairs due to mechanical breakages. This resulted in us not achieving the planned target ,"Follow up with the service provider when will the equipments be repaired. 
 

",,"Follow up with the service provider was made in order to determine the status of repairs for the equipment. It was found that the equipment is beyond economical repair and therefore, no speed operations were conducted. Awaits approval from NRCS for the Prolaser 4 speed machines before speed operations can be conducted. 
","Still awaits Type Approval from NRCS for Prolaser 4 before speed operations can be conducted. 
Time frame: 
March 2025
",,"Based on the pending matter
regarding Prolaser 4 speed 
machines, 74 speed operations 
were conducted in Q3. However,
they were put on hold after the
DPP discouraged the usage thereof
due to the pending matter of the Type approval certification.
",,,Waiting for the issuing of Type approval certificate from NRSC   (National Regulator for Compulsory Specifications). ,,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of vehicles stopped and checked,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",225000,220822,225000,237462,225000,"
216010",225000,255313,900000,929607,929607,"The focus is on the fitness of the vehicles and the drivers for promotion of road safety.
This activity is executed on each and every route where there is road public usage and provincial road traffic officers are deployed.

",,,,Due to a shortage of white paper for copies of VS 001 documentation as an accrual of the previous FY and the delivery of white paper in the current FY,"More screening will be conducted to cover for under achievement of Q1


",,"The over achievement is because of the catch-up plan for the under achievement recorded in Quarter1 and planned activities for Quarter 2, more  Law Enforcement activities took place.
",,,"Due to the high volume of traffic experienced over the festive period during this quarter, the focal areas on law enforcement activities were changed in order to focus on moving violations as well as more visibility on the critical routes.","More operations to be conducted during the Q4 period to achieve the annual target 

",,"The focus is on the fitness of the vehicles and the drivers for promotion of road safety.
This activity is executed on each and every route where there is public road usage and provincial traffic officers are deployed.
",,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of vehicles weighed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",24000,26914,24000,24477,24000,"
31136
",24000,21649,96000,104176,104176,"The flow of cargo traffic on the respective N1 & N5 routes made the weighing operations to result in 
over achievement throughout the year. The continuous focus of these overload control centres is to ensure overloaded cargo is prohibited in order to avoid damage to infrastructure in the country. 

",,,,"Kroonstad & Senekal 
Weighbridges operates 
optimally. 
More vehicles were directed to
the weighbridge.
",,,"Kroonstad & Senekal Weighbridges operates 
optimally. 
More vehicles were directed to the two weighbridges.
",,,Kroonstad & Senekal Weighbridges operate optimally. More vehicles were directed to the two weighbridges. ,,,"Road construction works on the
N5 route as well as weather conditions in the Northern Free 
State made weighing operations lessor during the 4th quarter.
",,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Sub-Programme 4.3: Law Enforcement,Quarterly,Number of warrant of arrests executed.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"Justice, Crime Prevention and Security cluster",400,400,400,400,400,"
576",400,400,1600,1776,1776,"All warrants of arrest from courts are executed and tracing unit managed to trace more offenders/perpetrators than the annual target during 
the 24/25 FY requires. Workload were monitored 
weekly in order to achieve target.
 
",,,,,,,,,,"Intensified law enforcement operations during festive period resulted in over achievement of
the quarter target.
",,,,,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Transport Safety and Compliance,Annually,Number of schools educated on Scholar patrol. ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,,,168,168,168,168,168,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 4: Transport Regulation ,Transport Safety Compliance ,Quarterly,Number of junior traffic training centres sessions held.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",20,20,20,20,10,10,20,20,70,20,70,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 5: Community Based Programmes,Sub-Programme 5.4: EPWP Coordination and Monitoring,Quarterly,Number of full-time equivalents (FTEs).,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",575,170,805,459,575,"
253",345,803,2300,803,1685,"Jobs were created but actual person days worked was not achieved due to late appointment of beneficiaries
",Realignment of budget  ,,,"Although adequate job opportunities  were created, actual person days worked (full-time equivalence)  could not be achieved due to late appointment of beneficiaries (Qwaqwa Roads Project, Reseal and Fog Spray Programme)
","Maximise working days for beneficiaries
Time frame:  Sept 2024
",,"Although adequate job opportunities were created, actual person days worked (full-time equivalent ) could not be achieved due to beneficiaries appointed late in the quarter. 
","Monitoring of validation process
Time frame: March 2025
",,The late implementation of projects and the termination of projects negatively impact on number of participants and days worked,"FTE’s will be monitored 
 ",,Person days for the labourers appointed in the last quarter were maximised for the full duration of the quarter ,Realignment of budget  ,,164
Transport,Transport,Free State,Programme 5: Community Based Programmes,Sub-Programme 5.4: EPWP Coordination and Monitoring,Quarterly,Number of persons with disabilities employed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",48,1,21,2,39,"
1",30,27,138,27,31,"Advocacy programme / Social Facilitation meetings initiated by the Department increased the numbers of disabled persons but there is still reluctance from the population group to submit disability forms which is a requirement for reporting a participant as a person with a disability. 
",Realignment of budget  ,,,"Advocacy programme / Social Facilitation meetings initiated by the Department not well attended by the population group with disabilities.

","Continued facilitation with communities to ensure more employment opportunities for women
Time frame:  Sept 2024
",,"Advocacy programme / Social Facilitation meetings initiated by the Department not well attended by the population group with disabilities. 
","Monitoring of validation process

Time frame: March 2025
",,Advocacy programme / Social Facilitation meetings initiated by the Department increased the numbers of disabled persons. Information captured on the EPWPRS system but not yet validated by NDPWI,"Monitor the validation process to ensure opportunities created on site are reflected on the system 
",,Advocacy programme / Social Facilitation meetings initiated by the Department increased the numbers of disabled persons but there is still reluctance from the population group to submit disability forms which is a requirement for reporting a participant as a person with a disability. ,"Continued facilitation with communities to ensure more employment opportunities for persons living with disabilities

",,164
Transport,Transport,Free State,Programme 5: Community Based Programmes,Sub-Programme 5.4: EPWP Coordination and Monitoring,Quarterly,Number of women employed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",1440,1247,657,801,1180,"
421
",863,"807
",4140,807,3276,"Work opportunities are reported as part of a set of documents that include proof of payment. Delays in payment from the contractor renders the reported figures incomplete and therefore results in under-reporting, while the system also validates the submitted information and may have different disqualifying criteria, such as unclear ID Copies, which is only communicated to the Department at a later stage
",Realignment of budget  ,,," Advocacy programme / Social Facilitation meetings initiated by the Department not well attended by women.
","Follow up consultations with NDPWI to ensure validation process is fast-tracked
Time frame: Sept 2024  
",,"Due to the increase in employment on ongoing projects such as Ficksburg – Rosendal, Sasolburg- Heilbron and Tweespruit – Hobhouse 
","Monitoring of validation process

Time frame: March 2025
",,"Termination of projects and legal disputes on projects (Kroonstad – Steynsrus, Tweespruit Excelsior) as well as community unrest (Virginia-  Hennenman, Jacobsdal – Koffiefontein)","Funds from terminated projects have been re-directed and job creation will be monitored to ensure achieving of targets on ongoing projects planned for Q4

",,"Work opportunities are reported as part of a set of documents that include proof of payment. Delays in payment from the contractor renders the reported figures incomplete and therefore results in under-reporting, while the payment system also validates the submitted information and may have different disqualifying criteria, such as unclear ID Copies, which is only communicated to the Department at a later stage.","Realignment of budget 
",,164
Transport,Transport,Free State,Programme 5: Community Based Programmes,Sub-Programme 5.4: EPWP Coordination and Monitoring,Quarterly,Number of work opportunities created,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",2400,2410,1095,1438,1967,"
745",1438,"1 608
",6900,1608,6201,"Work opportunities are reported as part of a set of documents that include proof of payment. Delays in payment from the contractor renders the reported figures incomplete and therefore results in under-reporting, while the system also validates the submitted information and may have different disqualifying criteria, such as unclear ID Copies, which is only communicated to the Department at a later stage
",Realignment of budget  ,,,Due to the increase in employment on ongoing projects such as Koffiefontein Havenga Bridge and Senekal Lindley,,," Due to the increase in employment on ongoing projects such as Ficksburg – Rosendal, Sasolburg- Heilbron and Tweespruit – Hobhouse 
","Monitoring of validation process

Time frame: March 2025
",,"Termination of projects and legal disputes on projects (Kroonstad – Steynsrus, Tweespruit Excelsior) as well as community unrest (Virginia-  Hennenman, Jacobsdal – Koffiefontein)"," Funds from terminated projects have been re-directed and job creation will be monitored to ensure achieving of targets on ongoing projects planned for Q4

",,"In an effort to prevent roll-overs on projects that displayed challenges, funds were directed to well performing projects and more job opportunities were created on these projects. 
",,,164
Transport,Transport,Free State,Programme 5: Community Based Programmes,Sub-Programme 5.4: EPWP Coordination and Monitoring,Quarterly,Number of youths employed (18 – 35),Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",1320,1362,604,777,1081,"
347",790,"775
",3795,775,3261,"Work opportunities are reported as part of a set of documents that include proof of payment. Delays in payment from the contractor renders the reported figures incomplete and therefore results in under-reporting, while the system also validates the submitted information and may have different disqualifying criteria, such as unclear ID Copies, which is only communicated to the Department at a later stage
",Realignment of budget  ,,,"Due to the high number of unemployed youths, more youths were nominated for employment by the community",,," Due to the increase in employment on ongoing projects such as Ficksburg – Rosendal, Sasolburg- Heilbron and Tweespruit – Hobhouse 
","Monitoring of validation process

Time frame: March 2025
",,"Termination of projects and legal disputes on projects (Kroonstad – Steynsrus, Tweespruit Excelsior) as well as community unrest (Virginia-  Hennenman, Jacobsdal – Koffiefontein)","Funds from terminated projects have been re-directed and job creation will be monitored to ensure achieving of targets on ongoing projects planned for Q4

",,"Work opportunities are reported as part of a set of documents that include proof of payment. Delays in payment from the contractor renders the reported figures incomplete and therefore results in under-reporting, while the payment system also validates the submitted information and may have different disqualifying criteria, such as unclear ID Copies, which is only communicated to the Department at a later stage.","Realignment of budget 
",,164
