Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,UID
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Programme 3: Library and Archives Services ,Quarterly,Number of public awareness programmes conducted about archival services,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",0,0,0,,0,,0,,0,0,,,,,,,"The output indicator is planned as an annual target and therefore  re-captured under ""Annual/Yearly Targets"" under sub-promme 3.3: Archive Services.",,,,No Reporting Required,,,No reporting required for the quarter under review.,,,No Reporting required for the quarter under review.,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 1: Management,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,0,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 1: Management,Annually,Number of literacy programmes implemented,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,1,0,,,1,0,0,The indicator is reported as indicator No 4 under sub-section 3.2 ,,,Higher,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 1: Management,Annually,Number of new library material procured,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,,,21000,19252,21000,19252,19252,Book prices escalated resulting in procurement of lesser number of copies.,The targets will be reviewed in the new financial year to align it with the resources and unforeseen price increases. ,,Higher,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 1: Management,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,-,0,,,,,,,Annual and quarterly target not set. ,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 1: Management,Quarterly,Number of awareness programmes implemented in libraries,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,1,0,0,0,,1,1,2,2,2,,,,On target,,,,,,No Reporting Required,,,No reporting required for the quarter under review.,,,Achieved as planned,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 1: Management,Quarterly,Number of capacity building programmes implemented,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",0,0,1,1,2,2,1,1,4,4,4,,,,Higher,,,,,,achieved as planned ,,,Achieved as planned.,,,Achieved as planned ,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 1: Management,Quarterly,Number of libraries supported with internet connectivity,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",172,175,175,175,175,175,175,175,175,175,175,,,,Higher,The 3 more libraries were struggling with internet connection and the Department had to provide them with 3G connections. This was done after the targets were planned.,The target will be revised during the next APP revision.,,,,Achieved as planned,,,Achieved as planned.,,,Achieved as planned,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 1: Management,Quarterly,Number of mini-libs for visually impaired users provided,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",27,27,27,27,27,27,30,30,30,30,30,,,,On target,,,,,,Achieved as planned,,,Achieved as planned.,,,Achieved as planned ,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 1: Management,Quarterly,Number of municipalities supported for the administration of public libraries,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",0,0,2,0,0,2,2,2,2,2,2,,,,On target ,,,,"Transfers to 2 municipalities (Mangaung Metro and Dihlabeng) could not be effected due to late submission of required documents, i.e. audited financial statements and Q4 reports (from previous transfer payment effected in March 2023/24)",The target will be achieved in the third quarter,not achieved reasons provided,"Transfer payment made to Dihlabeng and Mangaung Metro municipalities. Payment was planned for the Q2, but due to late submission of audited financial statements by municipalities, payment had to be diverted to Q3.",No corrective measure required. The under achievement in the second quarter is now corrected.,"No reporting required for the quarter under review, however the progress reported is noted.",,,Achieved as planned.,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.1: Library Services (Voted Funds),Annually,Number of capacity building programmes implemented,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,1,0,,,1,0,,Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see indicator No 3 under the sub-programme (Management),,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.1: Library Services (Voted Funds),Annually,Number of new library materials procured,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,,,1000,,1000,,,"See indicator 2 under the Sub-programme (Management) captured as ""Number of new library material procured"".

The Output Indicator was reviewed to ensure the usefulness and reliability of its reporting.

The targets for the output indicator “Number of new library material procured: Public Libraries and “Number of Library material procured: Dual purpose (school libraries), were combined because the three indicators were measuring the same thing according to their Technical Indicator Descriptions.  
",,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.1: Library Services (Voted Funds),Quarterly,Number of municipalities refunded for the administration of public libraries ,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,0,0,,1,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see the revised output indicator No. 2 captured as ""Number of municipalities supported for the administration of public libraries"" under the Sub-programme (Management)",0,"Output Indicator was reviewed to ensure the usefulness and reliability of its reporting. Please see the revised output indicator No. 2 captured as ""Number of municipalities supported for the administration of public libraries"" under the Sub-programme (Management)",1,0,0,"The annual target and indicator was revised to address usefulness & reliability of its reporting. See revised indicator and target under the Sub-programme ""Management"" in Library Services.",,,,The target was incorrectly captured in the first quarter instead of second quarter.,The target will be achieved in the second quarter as planned.,"Not achieved, reason for deviation provided.",,,,,,Revised on the APP.,,,,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.2: Library Services (Conditional Grant Indicators),Annually,Number of literacy programmes implemented,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.2: Library Services (Conditional Grant Indicators),Annually,Number of new library materials procured: Dual purpose (school) libraries,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,,,8000,,8000,,0,"See indicator 2 under the Sub-programme (Management) captured as ""Number of new library material procured"".

The Output Indicator was reviewed to ensure the usefulness and reliability of its reporting.

The targets for the output indicator “Number of new library material procured: Public Libraries and “Number of Library material procured: Dual purpose (school libraries), were combined because the three indicators were measuring the same thing according to their Technical Indicator Descriptions.  ",,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.2: Library Services (Conditional Grant Indicators),Annually,Number of new library materials procured: public libraries,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,,,12000,,12000,,0,"See indicator 2 under the Sub-programme (Management) captured as ""Number of new library material procured"".

The Output Indicator was reviewed to ensure the usefulness and reliability of its reporting.

The targets for the output indicator “Number of new library material procured: Public Libraries and “Number of Library material procured: Dual purpose (school libraries), were combined because the three indicators were measuring the same thing according to their Technical Indicator Descriptions.  
",,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.2: Library Services (Conditional Grant Indicators),Annually,Number of officials provided with bursaries ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",,,,,,,15,24,15,24,24,"8 more bursary applications were received and accepted to study towards Librarianship, as it is a scarce skill in the Free State province",The target is demand driven and more officials were accepted to study towards Librarianship to build a pool of qualified librarians as the profession is a scarce skill in the Free State province.,,,,,,,,,,,,,,,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Sub-programme 3.2: Library Services (Conditional Grant Indicators),Quarterly,Number of awareness programmes implemented in libraries,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,1,0,0,0,,1,1,2,2,2,,,,,,,Achieved as planned.,,,No Reporting Required ,,,No reporting required for the quarter under review.,,,Achieved as planned ,164
