Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,National_Summary,OTP_Q2,DesiredPerformance,National_Q1,National_Q2,National_Q3,OTP_Q4,National_Q4,UID
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Quarterly,Number of government boarding schools provided with nutritiouns food,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",7,6,The new government boarding school at Mkhondo is not yet operational,The Department of Education currently in the process of recruitment,7,"

6

","The 7th school is not yet opened due delays from the DoE, that is currently in the recruitment processes.

",The Department of Education is currently in the recruitment process,7,6,The 7th boarding school was supposed to be officially opened in April 2024. The Department of Education is still in the recruitment processes.,The boarding school is planned to be opened in January 2025 by the Department of Education,7,6,The 7th boarding school was not opened as initially planned. ,"The boarding school will be opened officially in April 2025 by Department of
Education.
",7,6,6,The 7th boarding school was not opened as initially planned. ,,,,,,,,Noted.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 6: Agricultural Economic Services,Sub Programme 6.2: Agro-Processing Support,Annually,Number of agri-businesses supported with agro-processing initiatives,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 6: Agricultural Economic Services,Sub Programme 6.2: Agro-Processing Support,Quarterly,Number of agri-businesses supported with agro-processing initiatives,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",10,11,There was a need to support agribusinesses on food safety (HACCP) and other ago-processing initiatives,Demand driven,12,"

12

","

None
","

None
",12,"21

","More requests were received on agro-processing, food safety
and HACCP. 
Furthermore, the programme hosted HACCP workshops in October and December
",None,6,7,"More agribusinesses
needed support on agro-processing initiatives such as funding for agro-processing equipment,
food safety (HACCP) and value addition.
",None,40,51,51,More requests received than anticipated ,,,,It is important to ensure that future target setting is informed by current performance trends.,,,Noted,Performance target achieved as planned.,Noted.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 6: Agricultural Economic Services,Sub Programme 6.3: Macroeconomics Support,Quarterly,Number of economic reports compiled,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,"
None","
None",1,"
1","
None","
None",1,"
1","
None","
None",1,1,None,None,4,4,4,None,,,,"None, target achieved as planned.",,,None ,Performance target achieved as planned.,Achieved as planned.,,"None, target achieved as planned.",202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 7: Agricultural Education and Training,Sub Programme 7.1: Higher Education and Training,Annually,Number of students graduated with agricultural qualification,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,PDA does not have su-programme 7.1 in its budget programme structure.,,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 7: Agricultural Education and Training,Sub Programme 7.2: Agricultural Skills Development,Quarterly,Number of farmers completing formal skills programmes,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Planned for second quarter,None,262,"
369",More farmers trained than planned due to SETA accredited programmes that had to be offered earlier than planned before the migration of the SETA and QCTO,This will have no additional budget requirement because this was part of the annual target,225,"
272",More farmers completed formal skills due to Sector Education and Training Authority (SETA) accredited programmes were offered earlier than planned before the migration of the SETA programmes to Quality Council for Trades & Occupations (QCTO,None ,113,0,More farmers completed formal skills during the 3rd quarter due to migration of Sector Education and Training Authority (SETA) to Quality Council for Trades & Occupations (QCTO).,,600,641,641,More farmers completed formal skills programme because of the one additional formal skills programme offered,,,,,,,,Noted.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 7: Agricultural Education and Training,Sub Programme 7.2: Agricultural Skills Development,Quarterly,Number of formal skills programmes offered,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Planned for second quarter,None,7,"
10",All Sector Education and Training Authority (SETA) accredited programmes planned for 2024/25 had to be offered earlier than planned before the migration of the SETA programmes to Quality Council for Trades & Occupations (QCTO). This led to extra 3 programmes offered ,This will have no additional budget requirement because this was part of the annual target,6,"
7",Sector Education and Training Authority (SETA) accredited programmes were offered earlier than planned before the migration of the SETA programmes to Quality Council for Trades & Occupations (QCTO).  ,None ,3,0,More farmers completed formal skills during the 3rd quarter due to migration of Sector Education and Training Authority (SETA) to Quality Council for Trades & Occupations (QCTO).,None,16,17,17,One more additional formal skills programme was offered. before the migration of the SETA programmes to Quality Council for Trades & Occupations (QCTO).  ,,,,,,,,Noted.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 7: Agricultural Education and Training,Sub Programme 7.2: Agricultural Skills Development,Quarterly,Number of participants trained in skills development programmes in the sector,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1134,1145,More request were received than anticipated,None,1728,"

1 739 
",More training requests received from participants than planned, None,1512,1 518 ,More requests were received than planned,None,1026,1 038 ,More participants attended the training,None,5400,5440,5440,Additional farmers were trained on skills development than anticipated,,,,Noted ,,,Noted,t is important to constantly track the changes in demand to inform future realistic planning.,Noted. ,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Annually,Number of Rural Economy plans developed,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",1,1,,,,,,,,,,,,,,,1,1,1,None,None,,,,,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Quarterly,Number of Fortune 40 graduates learners supported,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",5,5,"
None","
None",5,"
5","
None","
None",5,"
5","
None","
None",5,5,None ,None ,20,5,20,None,,,,,,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Quarterly,Number of Rural Economy reports compiled,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",1,1,"
None","
None",1,"
1","
None","
None",1,"
1","
None","
None",1,1,None ,None ,4,4,4,None,,,,,,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 8: Rural Development ,Sub Programme 8.2: Social Facilitation ,Quarterly,Number of Departmental projects provided with social facilitation,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",25,25,"
None","
None",25,"
25","
None","
None",25,"
25","
None","
None",25,25,None,None,100,100,100,None,,,,,,,,,,,,202
